stockDate,start,high,low,end,前日比,前日比%,volume,flag
22/10/12,1730.0,1740.0,1682.0,1695.0,－,－,10925200.0,1
22/10/13,1705.0,1735.0,1697.0,1712.0,+17,+1.0,7451600.0,2
22/10/14,1762.0,1772.0,1730.0,1757.0,+45,+2.6,10721600.0,1
22/10/17,1712.0,1745.0,1710.0,1745.0,-12,-0.7,5219600.0,2
22/10/18,1770.0,1780.0,1742.0,1770.0,+25,+1.4,7745600.0,0
22/10/19,1767.0,1795.0,1760.0,1785.0,+15,+0.8,6657200.0,2
22/10/20,1770.0,1780.0,1737.0,1750.0,-35,-2.0,7202400.0,1
22/10/21,1757.0,1802.0,1752.0,1782.0,+32,+1.8,7999600.0,2
22/10/24,1820.0,1867.0,1820.0,1837.0,+55,+3.1,11130800.0,2
22/10/25,1835.0,1865.0,1830.0,1857.0,+20,+1.1,7676800.0,2
22/10/26,1865.0,1872.0,1845.0,1852.0,-5,-0.3,7770000.0,1
22/10/27,1855.0,1902.0,1850.0,1880.0,+28,+1.5,8842000.0,2
22/10/28,1905.0,1967.0,1865.0,1925.0,+45,+2.4,20442400.0,2
22/10/31,1985.0,2002.0,1955.0,1965.0,+40,+2.1,9962400.0,1
22/11/01,1940.0,1982.0,1930.0,1967.0,+2,+0.1,6310000.0,2
22/11/02,1955.0,1965.0,1930.0,1940.0,-27,-1.4,6059600.0,1
22/11/04,1875.0,1905.0,1870.0,1895.0,-45,-2.3,9057200.0,2
22/11/07,1930.0,1950.0,1905.0,1942.0,+47,+2.5,5711200.0,2
22/11/08,1957.0,2005.0,1950.0,2000.0,+58,+3.0,6992800.0,2
22/11/09,2037.0,2062.0,2025.0,2045.0,+45,+2.2,9794400.0,2
22/11/10,2015.0,2060.0,2010.0,2042.0,-3,-0.1,8000000.0,2
22/11/11,2230.0,2255.0,2202.0,2227.0,+185,+9.1,20820400.0,1
22/11/14,2265.0,2292.0,2220.0,2222.0,-5,-0.2,8316000.0,1
22/11/15,2230.0,2292.0,2210.0,2280.0,+58,+2.6,8320800.0,2
22/11/16,2292.0,2337.0,2250.0,2307.0,+27,+1.2,12107200.0,2
22/11/17,2235.0,2257.0,2215.0,2235.0,-72,-3.1,8866000.0,0
22/11/18,2257.0,2280.0,2237.0,2247.0,+12,+0.5,7822400.0,1
22/11/21,2300.0,2302.0,2257.0,2280.0,+33,+1.5,6844800.0,1
22/11/22,2260.0,2272.0,2245.0,2247.0,-33,-1.4,6347600.0,1
22/11/24,2322.0,2352.0,2317.0,2350.0,+103,+4.6,9716400.0,2
22/11/25,2332.0,2352.0,2322.0,2327.0,-23,-1.0,6270800.0,1
22/11/28,2297.0,2322.0,2290.0,2315.0,-12,-0.5,5278800.0,2
22/11/29,2282.0,2290.0,2265.0,2277.0,-38,-1.6,4627200.0,1
22/11/30,2262.0,2282.0,2245.0,2282.0,+5,+0.2,10542800.0,2
22/12/01,2387.0,2397.0,2347.0,2382.0,+100,+4.4,10864000.0,1
22/12/02,2355.0,2387.0,2345.0,2387.0,+5,+0.2,7385200.0,2
22/12/05,2355.0,2390.0,2355.0,2360.0,-27,-1.1,5149200.0,2
22/12/06,2330.0,2400.0,2327.0,2382.0,+22,+0.9,5705600.0,2
22/12/07,2355.0,2365.0,2337.0,2347.0,-35,-1.5,6220400.0,1
22/12/08,2357.0,2357.0,2305.0,2335.0,-12,-0.5,5666800.0,1
22/12/09,2387.0,2470.0,2377.0,2470.0,+135,+5.8,15185200.0,2
22/12/12,2420.0,2457.0,2412.0,2452.0,-18,-0.7,8018400.0,2
22/12/13,2455.0,2465.0,2425.0,2452.0,0,0.0,8186000.0,1
22/12/14,2475.0,2492.0,2467.0,2480.0,+28,+1.1,6498000.0,2
22/12/15,2452.0,2495.0,2442.0,2460.0,-20,-0.8,4830400.0,2
22/12/16,2390.0,2395.0,2365.0,2382.0,-78,-3.2,11399200.0,1
22/12/19,2352.0,2370.0,2345.0,2347.0,-35,-1.5,5741200.0,1
22/12/20,2350.0,2377.0,2245.0,2277.0,-70,-3.0,9370800.0,1
22/12/21,2265.0,2290.0,2245.0,2245.0,-32,-1.4,6724000.0,1
22/12/22,2265.0,2280.0,2225.0,2225.0,-20,-0.9,5224800.0,1
22/12/23,2165.0,2172.0,2105.0,2125.0,-100,-4.5,10341600.0,1
22/12/26,2112.0,2165.0,2110.0,2150.0,+25,+1.2,4574400.0,2
22/12/27,2157.0,2165.0,2107.0,2125.0,-25,-1.2,4542400.0,1
22/12/28,2090.0,2122.0,2067.0,2117.0,-8,-0.4,8279200.0,2
