stockDate,start,high,low,end,前日比,前日比%,volume,flag
22/10/14,2985.0,3027.0,2960.0,3011.0,－,－,1778900.0,2
22/10/17,2980.0,3000.0,2971.0,2978.0,-33,-1.1,1167200.0,1
22/10/18,3012.0,3014.0,2976.0,2979.0,+1,0.0,1291700.0,1
22/10/19,2970.0,3005.0,2970.0,3003.0,+24,+0.8,1187600.0,2
22/10/20,2971.0,2993.0,2967.0,2982.0,-21,-0.7,1385400.0,2
22/10/21,2968.0,2977.0,2943.0,2945.0,-37,-1.2,1688100.0,1
22/10/24,2984.0,2987.0,2936.0,2940.0,-5,-0.2,1215600.0,1
22/10/25,2978.0,2981.0,2954.0,2979.0,+39,+1.3,1355400.0,2
22/10/26,3009.0,3052.0,3005.0,3035.0,+56,+1.9,1498400.0,2
22/10/27,3000.0,3027.0,2970.0,2987.0,-48,-1.6,1695100.0,1
22/10/28,2976.0,3017.0,2965.0,2998.0,+11,+0.4,2783300.0,2
22/10/31,3024.0,3034.0,2996.0,3012.0,+14,+0.5,1166400.0,1
22/11/01,3019.0,3020.0,2982.0,2992.0,-20,-0.7,1272800.0,1
22/11/02,2985.0,3013.0,2981.0,3008.0,+16,+0.5,1275800.0,2
22/11/04,2998.0,3023.0,2997.0,3016.0,+8,+0.3,1723700.0,2
22/11/07,3036.0,3049.0,3021.0,3036.0,+20,+0.7,1434000.0,0
22/11/08,3057.0,3064.0,3034.0,3044.0,+8,+0.3,1584500.0,1
22/11/09,3040.0,3070.0,3031.0,3065.0,+21,+0.7,2092600.0,2
22/11/10,2995.0,3067.0,2987.0,3065.0,0,0.0,2153600.0,2
22/11/11,3147.0,3172.0,3116.0,3163.0,+98,+3.2,3421200.0,2
22/11/14,3144.0,3157.0,3107.0,3121.0,-42,-1.3,2208300.0,1
22/11/15,3116.0,3138.0,3097.0,3101.0,-20,-0.6,1118600.0,1
22/11/16,3091.0,3097.0,3068.0,3087.0,-14,-0.5,1420300.0,1
22/11/17,3115.0,3152.0,3104.0,3148.0,+61,+2.0,1257000.0,2
22/11/18,3150.0,3177.0,3131.0,3175.0,+27,+0.9,1383400.0,2
22/11/21,3159.0,3170.0,3144.0,3160.0,-15,-0.5,903400.0,2
22/11/22,3212.0,3219.0,3183.0,3189.0,+29,+0.9,1696400.0,1
22/11/24,3212.0,3239.0,3203.0,3236.0,+47,+1.5,1262700.0,2
22/11/25,3241.0,3247.0,3220.0,3245.0,+9,+0.3,940000.0,2
22/11/28,3244.0,3250.0,3181.0,3195.0,-50,-1.5,1038200.0,1
22/11/29,3170.0,3185.0,3149.0,3162.0,-33,-1.0,1138400.0,1
22/11/30,3160.0,3166.0,3138.0,3159.0,-3,-0.1,2158400.0,1
22/12/01,3157.0,3167.0,3125.0,3130.0,-29,-0.9,1374200.0,1
22/12/02,3110.0,3112.0,3045.0,3061.0,-69,-2.2,1613800.0,1
22/12/05,3069.0,3075.0,3038.0,3051.0,-10,-0.3,1157200.0,1
22/12/06,3057.0,3086.0,3057.0,3071.0,+20,+0.7,1219100.0,2
22/12/07,3064.0,3105.0,3064.0,3099.0,+28,+0.9,1508000.0,2
22/12/08,3097.0,3114.0,3080.0,3100.0,+1,0.0,1257600.0,2
22/12/09,3085.0,3129.0,3085.0,3092.0,-8,-0.3,1589700.0,2
22/12/12,3103.0,3114.0,3086.0,3104.0,+12,+0.4,1276500.0,2
22/12/13,3117.0,3139.0,3116.0,3127.0,+23,+0.7,1207500.0,2
22/12/14,3168.0,3202.0,3162.0,3197.0,+70,+2.2,1704700.0,2
22/12/15,3187.0,3205.0,3178.0,3187.0,-10,-0.3,1130100.0,0
22/12/16,3174.0,3206.0,3171.0,3188.0,+1,0.0,1946600.0,2
22/12/19,3152.0,3185.0,3150.0,3163.0,-25,-0.8,1240900.0,2
22/12/20,3184.0,3189.0,3058.0,3083.0,-80,-2.5,1618300.0,1
22/12/21,3065.0,3079.0,3026.0,3034.0,-49,-1.6,1635600.0,1
22/12/22,3041.0,3062.0,3030.0,3061.0,+27,+0.9,1297500.0,2
22/12/23,3024.0,3037.0,2999.0,3021.0,-40,-1.3,1406100.0,1
22/12/26,3091.0,3097.0,3062.0,3077.0,+56,+1.9,1509000.0,1
22/12/27,3083.0,3088.0,3041.0,3050.0,-27,-0.9,794900.0,1
22/12/28,3043.0,3062.0,3043.0,3060.0,+10,+0.3,831100.0,2
22/12/29,3030.0,3038.0,3008.0,3023.0,-37,-1.2,1333100.0,1
22/12/30,3032.0,3062.0,3032.0,3039.0,+16,+0.5,1132000.0,2
23/01/04,3038.0,3040.0,2997.0,3007.0,-32,-1.1,1809000.0,1
23/01/05,3036.0,3036.0,2996.0,3005.0,-2,-0.1,1554500.0,1
