stockDate,start,high,low,end,前日比,前日比%,volume,flag
22/09/13,28313.0,28676.0,28253.0,28366.0,－,－,1166112.0,2
22/09/14,27499.0,27683.0,27259.0,27283.0,"-1,083",-3.8,2265023.0,1
22/09/15,27319.0,27483.0,27199.0,27483.0,+200,+0.7,1044010.0,2
22/09/16,27299.0,27329.0,26969.0,27123.0,-360,-1.3,1271713.0,1
22/09/20,27543.0,27709.0,27086.0,27329.0,+206,+0.8,1491915.0,1
22/09/21,26999.0,27413.0,26986.0,27366.0,+37,+0.1,1352714.0,2
22/09/22,27126.0,27249.0,26893.0,27093.0,-273,-1.0,1387214.0,1
22/09/26,26676.0,26976.0,26613.0,26866.0,-227,-0.8,1803618.0,2
22/09/27,26913.0,27109.0,26759.0,27103.0,+237,+0.9,1355714.0,2
22/09/28,26983.0,27133.0,25793.0,25956.0,"-1,147",-4.2,2996730.0,1
22/09/29,26449.0,26966.0,26316.0,26519.0,+563,+2.2,2383224.0,2
22/09/30,26039.0,26149.0,25279.0,25569.0,-950,-3.6,4573246.0,1
22/10/03,25069.0,25566.0,24749.0,25439.0,-130,-0.5,2193622.0,2
22/10/04,25993.0,26156.0,25753.0,25953.0,+514,+2.0,2040920.0,1
22/10/05,26333.0,26526.0,26056.0,26193.0,+240,+0.9,1894219.0,1
22/10/06,26349.0,26713.0,26203.0,26579.0,+386,+1.5,1478415.0,2
22/10/07,26336.0,26686.0,26273.0,26629.0,+50,+0.2,1375214.0,2
22/10/11,26273.0,26326.0,25589.0,25599.0,"-1,030",-3.9,1825518.0,1
22/10/12,25693.0,26206.0,25509.0,26193.0,+594,+2.3,1723817.0,2
22/10/13,26439.0,26466.0,26013.0,26226.0,+33,+0.1,1796418.0,1
22/10/14,27066.0,28513.0,27063.0,28429.0,"+2,203",+8.4,4809948.0,2
22/10/17,28203.0,28346.0,27749.0,28066.0,-363,-1.3,2574926.0,1
22/10/18,28636.0,28659.0,28039.0,28383.0,+317,+1.1,2565326.0,1
22/10/19,28779.0,28973.0,28543.0,28703.0,+320,+1.1,2160922.0,1
22/10/20,28409.0,28499.0,28003.0,28076.0,-627,-2.2,1959320.0,1
22/10/21,27746.0,28019.0,27576.0,27906.0,-170,-0.6,1901419.0,2
22/10/24,28196.0,28269.0,27526.0,27593.0,-313,-1.1,1528515.0,1
22/10/25,27799.0,28063.0,27433.0,27679.0,+86,+0.3,1947919.0,1
22/10/26,27909.0,28096.0,27699.0,27729.0,+50,+0.2,1397714.0,1
22/10/27,27706.0,28076.0,27626.0,27976.0,+247,+0.9,1603516.0,2
22/10/28,27509.0,27746.0,27283.0,27416.0,-560,-2.0,2331923.0,1
22/10/31,27849.0,27859.0,27563.0,27663.0,+247,+0.9,1508115.0,1
22/11/01,27703.0,27763.0,27486.0,27683.0,+20,+0.1,1228812.0,1
22/11/02,27473.0,27949.0,27289.0,27649.0,-34,-0.1,1646416.0,2
22/11/04,27716.0,27866.0,27233.0,27533.0,-116,-0.4,2081721.0,1
22/11/07,27699.0,28029.0,27466.0,27946.0,+413,+1.5,1934419.0,2
22/11/08,28149.0,28333.0,27819.0,27833.0,-113,-0.4,1793118.0,1
22/11/09,27749.0,27826.0,27133.0,27146.0,-687,-2.5,1726217.0,1
22/11/10,26933.0,26993.0,26636.0,26869.0,-277,-1.0,1551616.0,1
22/11/11,27673.0,27796.0,27303.0,27396.0,+527,+2.0,2968530.0,1
22/11/14,27316.0,27993.0,27246.0,27816.0,+420,+1.5,1868719.0,2
22/11/15,27616.0,27806.0,27506.0,27683.0,-133,-0.5,1234812.0,2
22/11/16,27833.0,27849.0,27213.0,27783.0,+100,+0.4,1678517.0,1
22/11/17,27599.0,27699.0,27439.0,27486.0,-297,-1.1,1119011.0,1
22/11/18,27533.0,27616.0,27313.0,27453.0,-33,-0.1,1225512.0,1
22/11/21,27543.0,27599.0,27323.0,27386.0,-67,-0.2,893709.0,1
22/11/22,27463.0,27543.0,27136.0,27143.0,-243,-0.9,1442114.0,1
22/11/24,27216.0,27386.0,26856.0,26856.0,-287,-1.1,1646416.0,1
22/11/25,26883.0,26893.0,26566.0,26629.0,-227,-0.8,1285513.0,1
22/11/28,26499.0,26689.0,26276.0,26689.0,+60,+0.2,1637716.0,2
22/11/29,26633.0,27199.0,26529.0,27153.0,+464,+1.7,1882519.0,2
22/11/30,27083.0,27213.0,26869.0,26936.0,-217,-0.8,2237422.0,1
22/12/01,27466.0,27813.0,27313.0,27593.0,+657,+2.4,2279723.0,2
22/12/02,27623.0,27629.0,26823.0,27119.0,-474,-1.7,2504125.0,1
22/12/05,27119.0,27966.0,26933.0,27963.0,+844,+3.1,2466025.0,2
22/12/06,27733.0,28619.0,27733.0,28533.0,+570,+2.0,2045120.0,2
22/12/07,28199.0,28429.0,27819.0,27993.0,-540,-1.9,2102721.0,1
22/12/08,27899.0,28049.0,27543.0,27873.0,-120,-0.4,1782918.0,1
22/12/09,27793.0,28133.0,27709.0,28053.0,+180,+0.6,2256323.0,2
22/12/12,27916.0,28006.0,27726.0,27966.0,-87,-0.3,1125311.0,2
22/12/13,28119.0,28406.0,28023.0,28393.0,+427,+1.5,1323613.0,2
22/12/14,28393.0,28583.0,28193.0,28413.0,+20,+0.1,1389914.0,2
22/12/15,28356.0,28499.0,28163.0,28189.0,-224,-0.8,1105211.0,1
22/12/16,27959.0,27996.0,26906.0,27199.0,-990,-3.5,3189032.0,1
22/12/19,26839.0,26989.0,26383.0,26899.0,-300,-1.1,2375724.0,2
22/12/20,26999.0,27513.0,26149.0,26399.0,-500,-1.9,2945129.0,1
22/12/21,26399.0,26559.0,26043.0,26446.0,+47,+0.2,1853119.0,2
22/12/22,26666.0,26729.0,26309.0,26449.0,+3,0.0,1403414.0,1
22/12/23,26016.0,26483.0,26006.0,26363.0,-86,-0.3,1373414.0,2
22/12/26,26366.0,26889.0,26359.0,26889.0,+526,+2.0,1186512.0,2
22/12/27,27186.0,27523.0,27083.0,27443.0,+554,+2.1,1562116.0,2
22/12/28,27299.0,27416.0,26983.0,27139.0,-304,-1.1,1598416.0,1
22/12/29,26853.0,26969.0,26286.0,26333.0,-806,-3.0,2096421.0,1
22/12/30,26616.0,26889.0,26299.0,26843.0,+510,+1.9,2474125.0,2
23/01/04,26516.0,26759.0,26169.0,26509.0,-334,-1.2,2355324.0,1
23/01/05,26796.0,26883.0,26509.0,26549.0,+40,+0.2,1780818.0,1
23/01/06,26656.0,26809.0,26419.0,26509.0,-40,-0.2,1965320.0,1
23/01/10,26633.0,26866.0,26456.0,26769.0,+260,+1.0,1844118.0,2
23/01/11,27066.0,27263.0,26993.0,27149.0,+380,+1.4,2210722.0,2
