日付,flag
23/11/10,1
23/11/09,2
23/11/08,2
23/11/07,2
23/11/06,2
23/11/05,2
23/11/04,2
23/11/03,2
23/11/02,2
23/11/01,2
23/10/31,2
23/10/30,1
23/10/29,1
23/10/28,1
23/10/27,1
23/10/26,1
23/10/25,0
23/10/24,2
23/10/23,2
23/10/22,1
23/10/21,1
23/10/20,1
23/10/19,1
23/10/18,1
23/10/17,2
23/10/16,2
23/10/15,2
23/10/14,1
23/10/13,0
23/10/13,0
23/10/12,1
23/10/11,2
23/10/10,2
23/10/09,0
23/10/08,2
23/10/07,2
23/10/06,2
23/10/05,2
23/10/04,2
23/10/03,2
23/10/02,2
23/10/01,2
23/09/30,1
23/09/29,1
23/09/28,1
23/09/27,1
23/09/26,1
23/09/25,2
23/09/24,2
23/09/23,2
23/09/22,2
23/09/21,2
23/09/20,1
23/09/19,1
23/09/18,1
23/09/17,2
23/09/16,2
23/09/15,2
23/09/14,1
23/09/13,2
23/09/12,2
23/09/11,2
23/09/10,2
23/09/09,2
23/09/08,2
23/09/07,2
23/09/06,2
23/09/05,2
23/09/04,2
23/09/03,2
23/09/02,2
23/09/01,2
23/08/31,2
23/08/30,2
23/08/29,1
23/08/28,1
23/08/27,1
23/08/26,1
23/08/25,0
23/08/24,2
23/08/23,2
23/08/22,2
23/08/21,1
23/08/20,1
23/08/19,2
23/08/18,1
23/08/17,2
23/08/16,2
23/08/15,2
23/08/14,2
23/08/13,2
23/08/12,0
23/08/11,2
23/08/10,2
23/08/09,2
23/08/08,2
23/08/07,0
23/08/06,2
23/08/05,2
23/08/04,2
23/08/03,2
23/08/02,2
23/08/01,2
23/07/31,0
23/07/30,1
23/07/29,1
23/07/28,1
23/07/27,1
23/07/26,1
23/07/25,1
23/07/24,2
23/07/23,2
23/07/22,2
23/07/21,2
23/07/20,1
23/07/19,1
23/07/18,1
23/07/17,1
23/07/16,2
23/07/15,2
23/07/14,1
23/07/13,2
23/07/12,1
23/07/11,2
23/07/10,2
23/07/09,2
23/07/08,2
23/07/07,2
23/07/06,2
23/07/05,2
23/07/04,2
23/07/03,2
23/07/02,2
23/07/01,2
23/06/30,1
23/06/29,1
23/06/28,1
23/06/27,1
23/06/26,1
23/06/25,2
23/06/24,0
23/06/23,2
23/06/22,2
23/06/21,1
23/06/20,1
23/06/19,1
23/06/18,2
23/06/17,2
23/06/16,2
23/06/15,2
23/06/14,1
23/06/13,2
23/06/12,1
23/06/11,2
23/06/10,1
23/06/09,2
23/06/08,2
23/06/07,2
23/06/06,2
23/06/05,2
23/06/04,2
23/06/03,2
23/06/02,2
23/06/01,2
23/05/31,2
23/05/30,2
23/05/29,1
23/05/28,1
23/05/27,1
23/05/26,1
23/05/25,1
23/05/24,1
23/05/23,2
23/05/22,2
23/05/21,1
23/05/20,1
23/05/19,1
23/05/18,1
23/05/17,2
23/05/16,2
23/05/15,2
23/05/14,2
23/05/13,2
23/05/12,0
23/05/11,2
23/05/10,1
23/05/09,2
23/05/08,2
23/05/07,2
23/05/06,2
23/05/05,2
23/05/04,2
23/05/03,2
23/05/02,2
23/05/01,2
23/04/30,1
23/04/29,1
23/04/28,1
23/04/27,1
23/04/26,1
23/04/25,2
23/04/24,2
23/04/23,2
23/04/22,2
23/04/21,2
23/04/20,1
23/04/19,1
23/04/18,1
23/04/17,2
23/04/16,2
23/04/15,2
23/04/14,1
23/04/13,2
23/04/12,1
23/04/11,2
23/04/10,2
23/04/09,2
23/04/08,2
23/04/07,2
23/04/06,2
23/04/05,2
23/04/04,2
23/04/03,2
23/04/02,2
23/04/01,2
23/03/31,2
23/03/30,2
23/03/29,1
23/03/28,1
23/03/27,1
23/03/26,1
23/03/25,2
23/03/24,1
23/03/23,2
23/03/22,2
23/03/21,1
23/03/20,1
23/03/19,1
23/03/18,1
23/03/17,2
23/03/16,2
23/03/15,0
23/03/14,1
23/03/13,2
23/03/12,1
23/03/11,2
23/03/10,1
23/03/09,2
23/03/08,2
23/03/07,1
23/03/06,2
23/03/05,2
23/03/04,2
23/03/03,2
23/03/02,2
23/03/01,0
23/03/01,0
23/03/01,0
23/03/01,1
23/03/01,0
23/02/28,1
23/02/27,1
23/02/26,1
23/02/25,1
23/02/24,2
23/02/23,2
23/02/22,2
23/02/21,1
23/02/20,1
23/02/19,2
23/02/18,1
23/02/17,2
23/02/16,2
23/02/15,0
23/02/14,0
23/02/13,2
23/02/12,2
23/02/11,2
23/02/10,2
23/02/09,2
23/02/08,2
23/02/07,2
23/02/06,2
23/02/05,2
23/02/04,2
23/02/03,2
23/02/02,2
23/02/01,2
23/01/31,2
23/01/30,1
23/01/29,1
23/01/28,0
23/01/27,1
23/01/26,1
23/01/25,1
23/01/24,1
23/01/23,2
23/01/22,2
23/01/21,2
23/01/20,2
23/01/19,1
23/01/18,1
23/01/17,2
23/01/16,1
23/01/15,1
23/01/14,1
23/01/13,2
23/01/12,1
23/01/11,2
23/01/10,1
23/01/09,2
23/01/08,2
23/01/07,2
23/01/06,2
23/01/05,2
23/01/04,2
23/01/03,2
