stockDate,start,high,low,end,前日比,前日比%,volume,flag
22/10/14,13975.0,14640.0,13975.0,14475.0,－,－,1510500.0,2
22/10/17,14210.0,14395.0,14105.0,14350.0,-125,-0.9,1234300.0,2
22/10/18,14625.0,14835.0,14580.0,14820.0,+470,+3.3,1093400.0,2
22/10/19,14655.0,15015.0,14655.0,14910.0,+90,+0.6,912200.0,2
22/10/20,14610.0,14675.0,14310.0,14395.0,-515,-3.5,1266200.0,1
22/10/21,14185.0,14315.0,14105.0,14145.0,-250,-1.7,1328200.0,1
22/10/24,14420.0,14665.0,14375.0,14410.0,+265,+1.9,817800.0,1
22/10/25,14625.0,14740.0,14535.0,14555.0,+145,+1.0,1126900.0,1
22/10/26,14845.0,14915.0,14700.0,14700.0,+145,+1.0,787900.0,1
22/10/27,14655.0,14915.0,14345.0,14450.0,-250,-1.7,1683800.0,1
22/10/28,13590.0,13995.0,13340.0,13810.0,-640,-4.4,2468600.0,2
22/10/31,13620.0,13940.0,13510.0,13875.0,+65,+0.5,1758100.0,2
22/11/01,13850.0,13955.0,13695.0,13705.0,-170,-1.2,1398300.0,1
22/11/02,13550.0,13655.0,13335.0,13365.0,-340,-2.5,1215800.0,1
22/11/04,13180.0,13370.0,13065.0,13185.0,-180,-1.3,1793300.0,2
22/11/07,13300.0,13520.0,13255.0,13475.0,+290,+2.2,977900.0,2
22/11/08,13580.0,13810.0,13545.0,13745.0,+270,+2.0,888300.0,2
22/11/09,13665.0,13780.0,13530.0,13635.0,-110,-0.8,1020200.0,1
22/11/10,13600.0,13685.0,13490.0,13565.0,-70,-0.5,744300.0,1
22/11/11,14085.0,14800.0,14065.0,14740.0,"+1,175",+8.7,1587300.0,2
22/11/14,14895.0,15180.0,14770.0,15050.0,+310,+2.1,1810500.0,2
22/11/15,15065.0,15190.0,14925.0,14925.0,-125,-0.8,863700.0,1
22/11/16,14770.0,14870.0,14520.0,14550.0,-375,-2.5,1216700.0,1
22/11/17,14595.0,14735.0,14475.0,14505.0,-45,-0.3,672100.0,1
22/11/18,14400.0,14475.0,14135.0,14135.0,-370,-2.6,1079200.0,1
22/11/21,14070.0,14315.0,14000.0,14300.0,+165,+1.2,760600.0,2
22/11/22,14410.0,14545.0,14400.0,14465.0,+165,+1.2,1211200.0,2
22/11/24,14720.0,14890.0,14635.0,14730.0,+265,+1.8,1396300.0,2
22/11/25,14830.0,14855.0,14615.0,14705.0,-25,-0.2,956500.0,1
22/11/28,14505.0,14590.0,14335.0,14555.0,-150,-1.0,1060800.0,2
22/11/29,14385.0,14440.0,14290.0,14360.0,-195,-1.3,1221500.0,1
22/11/30,13980.0,14065.0,13865.0,14060.0,-300,-2.1,2570000.0,2
22/12/01,14145.0,14355.0,13990.0,14270.0,+210,+1.5,1448900.0,2
