stockDate,start,high,low,end,前日比,前日比%,volume,flag
22/09/20,"2,677.0","2,700.0","2,637.0","2,698.0",－,－,5434600.0,2
22/09/21,"2,689.0","2,690.0","2,642.0","2,649.0",-49.0,-1.8,4907500.0,1
22/09/22,"2,596.0","2,678.0","2,571.0","2,672.0",+23.0,+0.9,7458500.0,2
22/09/26,"2,679.0","2,705.0","2,620.0","2,628.0",-44.0,-1.6,8008400.0,1
22/09/27,"2,633.0","2,665.0","2,582.0","2,650.0",+22.0,+0.8,5148500.0,2
22/09/28,"2,631.0","2,635.0","2,580.0","2,622.0",-28.0,-1.1,8021300.0,1
22/09/29,"2,633.0","2,659.0","2,621.0","2,648.0",+26.0,+1.0,5158900.0,2
22/09/30,"2,612.0","2,620.0","2,576.0","2,582.0",-66.0,-2.5,4989700.0,1
22/10/03,"2,565.0","2,600.0","2,518.0","2,595.0",+13.0,+0.5,4413600.0,2
22/10/04,"2,631.0","2,646.0","2,608.0","2,638.0",+43.0,+1.7,5500000.0,2
22/10/05,"2,678.0","2,700.0","2,635.0","2,657.0",+19.0,+0.7,6156700.0,1
22/10/06,"2,653.0","2,681.0","2,644.0","2,677.0",+20.0,+0.8,4999700.0,2
22/10/07,"2,670.0","2,735.0","2,667.0","2,701.0",+24.0,+0.9,10664300.0,2
22/10/11,"2,735.0","2,781.0","2,724.0","2,773.0",+72.0,+2.7,10387200.0,2
22/10/12,"2,799.0","2,830.0","2,781.0","2,789.0",+16.0,+0.6,12704900.0,1
22/10/13,"2,777.0","2,783.0","2,700.0","2,710.0",-79.0,-2.8,9980900.0,1
22/10/14,"2,760.0","2,761.0","2,714.0","2,716.0",+6.0,+0.2,6921900.0,1
22/10/17,"2,728.0","2,763.0","2,721.0","2,741.0",+25.0,+0.9,5149900.0,2
22/10/18,"2,745.0","2,793.0","2,728.0","2,793.0",+52.0,+1.9,7082000.0,2
22/10/19,"2,800.0","2,812.0","2,767.0","2,790.0",-3.0,-0.1,5512500.0,1
22/10/20,"2,798.0","2,837.0","2,771.0","2,837.0",+47.0,+1.7,7910600.0,2
22/10/21,"2,822.0","2,837.0","2,774.0","2,778.0",-59.0,-2.1,6635900.0,1
22/10/24,"2,799.0","2,802.0","2,772.0","2,784.0",+6.0,+0.2,4970600.0,1
22/10/25,"2,795.0","2,809.0","2,761.0","2,794.0",+10.0,+0.4,4345400.0,1
22/10/26,"2,803.0","2,812.0","2,774.0","2,777.0",-17.0,-0.6,3913900.0,1
22/10/27,"2,777.0","2,782.0","2,746.0","2,751.0",-26.0,-0.9,4021700.0,1
22/10/28,"2,760.0","2,781.0","2,728.0","2,738.0",-13.0,-0.5,8212900.0,1
22/10/31,"2,752.0","2,775.0","2,746.0","2,775.0",+37.0,+1.4,4619800.0,2
22/11/01,"2,795.0","2,815.0","2,767.0","2,804.0",+29.0,+1.0,5631700.0,2
22/11/02,"2,809.0","2,809.0","2,771.0","2,797.0",-7.0,-0.2,6769400.0,1
22/11/04,"2,797.0","2,857.0","2,792.0","2,851.0",+54.0,+1.9,8841800.0,2
22/11/07,"2,828.0","2,842.0","2,793.0","2,830.0",-21.0,-0.7,5104900.0,2
22/11/08,"2,835.0","2,854.0","2,811.0","2,816.0",-14.0,-0.5,4293000.0,1
22/11/09,"2,817.0","2,822.0","2,734.0","2,749.0",-67.0,-2.4,5855300.0,1
22/11/10,"2,730.0","2,775.0","2,725.0","2,740.0",-9.0,-0.3,4022200.0,2
22/11/11,"2,758.0","2,765.0","2,651.0","2,692.0",-48.0,-1.8,7288500.0,1
22/11/14,"2,665.0","2,671.0","2,610.0","2,610.0",-82.0,-3.0,5954100.0,1
22/11/15,"2,625.0","2,644.0","2,595.0","2,633.0",+23.0,+0.9,4584700.0,2
22/11/16,"2,631.0","2,648.0","2,571.0","2,592.0",-41.0,-1.6,5197500.0,1
22/11/17,"2,572.0","2,662.0","2,566.0","2,648.0",+56.0,+2.2,4979000.0,2
22/11/18,"2,659.0","2,675.0","2,615.0","2,623.0",-25.0,-0.9,3653100.0,1
22/11/21,"2,640.0","2,657.0","2,620.0","2,637.0",+14.0,+0.5,2594100.0,1
22/11/22,"2,658.0","2,682.0","2,643.0","2,678.0",+41.0,+1.6,4214300.0,2
22/11/24,"2,712.0","2,716.0","2,685.0","2,685.0",+7.0,+0.3,3898400.0,1
22/11/25,"2,694.0","2,712.0","2,671.0","2,706.0",+21.0,+0.8,3173800.0,2
22/11/28,"2,713.0","2,723.0","2,691.0","2,713.0",+7.0,+0.3,2950600.0,0
22/11/29,"2,707.0","2,740.0","2,688.0","2,740.0",+27.0,+1.0,3577300.0,2
22/11/30,"2,720.0","2,751.0","2,715.0","2,733.0",-7.0,-0.3,3756600.0,2
22/12/01,"2,752.0","2,763.0","2,725.0","2,726.0",-7.0,-0.3,3385100.0,1
22/12/02,"2,726.0","2,726.0","2,680.0","2,681.0",-45.0,-1.7,3193300.0,1
22/12/05,"2,687.0","2,716.0","2,666.0","2,700.0",+19.0,+0.7,2710200.0,2
22/12/06,"2,705.0","2,708.0","2,674.0","2,687.0",-13.0,-0.5,2268900.0,1
22/12/07,"2,696.0","2,747.0","2,684.0","2,747.0",+60.0,+2.2,3892000.0,2
22/12/08,"2,708.0","2,749.0","2,691.0","2,748.0",+1.0,0.0,3974000.0,2
22/12/09,"2,735.0","2,768.0","2,728.0","2,729.0",-19.0,-0.7,3490900.0,1
22/12/12,"2,730.0","2,752.0","2,711.0","2,741.0",+12.0,+0.4,2345100.0,2
22/12/13,"2,758.0","2,788.0","2,748.0","2,783.0",+42.0,+1.5,4080000.0,2
22/12/14,"2,761.0","2,778.0","2,742.0","2,753.0",-30.0,-1.1,4353100.0,1
22/12/15,"2,757.0","2,764.0","2,735.0","2,737.0",-16.0,-0.6,2158500.0,1
22/12/16,"2,732.0","2,741.0","2,718.0","2,731.0",-6.0,-0.2,2219200.0,1
22/12/19,"2,714.0","2,738.0","2,702.0","2,712.0",-19.0,-0.7,1898000.0,1
22/12/20,"2,723.0","2,731.0","2,631.0","2,652.0",-60.0,-2.2,4658200.0,1
22/12/21,"2,649.0","2,675.0","2,623.0","2,673.0",+21.0,+0.8,3029000.0,2
22/12/22,"2,680.0","2,699.0","2,668.0","2,679.0",+6.0,+0.2,2775000.0,1
22/12/23,"2,670.0","2,682.0","2,654.0","2,670.0",-9.0,-0.3,1880300.0,0
22/12/26,"2,670.0","2,692.0","2,668.0","2,677.0",+7.0,+0.3,1464000.0,2
22/12/27,"2,701.0","2,780.0","2,700.0","2,736.0",+59.0,+2.2,6649800.0,2
22/12/28,"2,737.0","2,762.0","2,707.0","2,715.0",-21.0,-0.8,3695000.0,1
22/12/29,"2,705.0","2,711.0","2,674.0","2,690.0",-25.0,-0.9,2696800.0,1
22/12/30,"2,683.0","2,710.0","2,680.0","2,695.0",+5.0,+0.2,2000500.0,2
23/01/04,"2,695.0","2,700.0","2,638.0","2,639.0",-56.0,-2.1,3617400.0,1
23/01/05,"2,648.0","2,649.0","2,603.0","2,607.0",-32.0,-1.2,2688300.0,1
23/01/06,"2,620.0","2,669.0","2,617.0","2,657.0",+50.0,+1.9,2969700.0,2
23/01/10,"2,660.0","2,684.0","2,629.0","2,643.0",-14.0,-0.5,2694600.0,1
23/01/11,"2,648.0","2,658.0","2,592.0","2,592.0",-51.0,-1.9,3689600.0,1
23/01/12,"2,593.0","2,602.0","2,547.0","2,567.0",-25.0,-1.0,3594400.0,1
23/01/13,"2,585.0","2,610.0","2,576.0","2,598.0",+31.0,+1.2,2931900.0,2
23/01/16,"2,586.0","2,605.0","2,570.0","2,580.0",-18.0,-0.7,1913300.0,1
23/01/17,"2,590.0","2,595.0","2,532.0","2,566.0",-14.0,-0.5,3190800.0,1
23/01/18,"2,580.0","2,627.0","2,561.0","2,600.0",+34.0,+1.3,3149600.0,2
23/01/19,"2,608.0","2,636.0","2,601.0","2,612.0",+12.0,+0.5,3637100.0,2
23/01/20,"2,631.0","2,723.0","2,625.0","2,723.0",+111.0,+4.2,6441500.0,2
23/01/23,"2,706.0","2,729.0","2,691.0","2,720.0",-3.0,-0.1,3561200.0,2
23/01/24,"2,705.0","2,735.0","2,698.0","2,730.0",+10.0,+0.4,2573400.0,2
23/01/25,"2,731.0","2,754.0","2,721.0","2,747.0",+17.0,+0.6,2988800.0,2
23/01/26,"2,752.0","2,766.0","2,740.0","2,760.0",+13.0,+0.5,2829800.0,2
23/01/27,"2,760.0","2,772.0","2,740.0","2,756.0",-4.0,-0.1,3425800.0,1
23/01/30,"2,772.0","2,808.0","2,761.0","2,763.0",+7.0,+0.3,4100400.0,1
23/01/31,"2,761.0","2,779.0","2,750.0","2,750.0",-13.0,-0.5,2763100.0,1
23/02/01,"2,768.0","2,783.0","2,732.0","2,744.0",-6.0,-0.2,3039900.0,1
23/02/02,"2,739.0","2,749.0","2,696.0","2,696.0",-48.0,-1.7,3199200.0,1
23/02/03,"2,596.0","2,629.0","2,568.0","2,599.0",-97.0,-3.6,14210700.0,2
23/02/06,"2,609.0","2,637.0","2,592.0","2,624.0",+25.0,+1.0,5837800.0,2
23/02/07,"2,645.0","2,651.0","2,609.0","2,614.0",-10.0,-0.4,3122100.0,1
23/02/08,"2,614.0","2,627.0","2,596.0","2,624.0",+10.0,+0.4,3136000.0,2
23/02/09,"2,622.0","2,632.0","2,607.0","2,614.0",-10.0,-0.4,2627100.0,1
23/02/10,"2,605.0","2,613.0","2,584.0","2,589.0",-25.0,-1.0,2952400.0,1
23/02/13,"2,599.0","2,604.0","2,560.0","2,572.0",-17.0,-0.7,3128400.0,1
23/02/14,"2,580.0","2,583.0","2,565.0","2,575.0",+3.0,+0.1,2478600.0,1
23/02/15,"2,584.0","2,584.0","2,540.0","2,561.0",-14.0,-0.5,4012000.0,1
23/02/16,"2,545.0","2,573.0","2,530.0","2,573.0",+12.0,+0.5,3600400.0,2
23/02/17,"2,578.0","2,578.0","2,550.0","2,565.0",-8.0,-0.3,2720900.0,1
23/02/20,"2,572.0","2,602.0","2,571.0","2,601.0",+36.0,+1.4,2638400.0,2
23/02/21,"2,601.0","2,601.0","2,565.0","2,565.0",-36.0,-1.4,2836500.0,1
23/02/22,"2,554.0","2,559.0","2,528.0","2,535.0",-30.0,-1.2,2946100.0,1
23/02/24,"2,543.0","2,568.0","2,531.0","2,565.0",+30.0,+1.2,2025700.0,2
23/02/27,"2,560.0","2,572.0","2,547.0","2,566.0",+1.0,0.0,1922600.0,2
23/02/28,"2,584.0","2,598.0","2,558.0","2,564.0",-2.0,-0.1,3503100.0,1
23/03/01,"2,549.0","2,560.0","2,541.0","2,558.0",-6.0,-0.2,2567300.0,2
23/03/02,"2,573.0","2,577.0","2,552.0","2,568.0",+10.0,+0.4,2349700.0,1
23/03/03,"2,575.0","2,580.0","2,562.0","2,569.0",+1.0,0.0,3132500.0,1
23/03/06,"2,619.0","2,638.0","2,576.0","2,593.0",+24.0,+0.9,6614100.0,1
23/03/07,"2,591.0","2,620.0","2,577.0","2,588.0",-5.0,-0.2,5092600.0,1
23/03/08,"2,592.0","2,629.0","2,584.0","2,626.0",+38.0,+1.5,5260300.0,2
23/03/09,"2,638.0","2,658.0","2,635.0","2,657.0",+31.0,+1.2,4888800.0,2
23/03/10,"2,630.0","2,635.0","2,597.0","2,600.0",-57.0,-2.1,5061600.0,1
23/03/13,"2,576.0","2,596.0","2,558.0","2,585.0",-15.0,-0.6,3963000.0,2
23/03/14,"2,560.0","2,568.0","2,522.0","2,545.0",-40.0,-1.5,5056000.0,1
23/03/15,"2,566.0","2,576.0","2,550.0","2,555.0",+10.0,+0.4,2868200.0,1
23/03/16,"2,500.0","2,506.0","2,461.0","2,490.0",-65.0,-2.5,6208300.0,1
23/03/17,"2,506.0","2,565.0","2,505.0","2,563.0",+73.0,+2.9,3528000.0,2
23/03/20,"2,568.0","2,569.0","2,487.0","2,487.0",-76.0,-3.0,3900600.0,1
23/03/22,"2,521.0","2,531.0","2,464.0","2,485.0",-2.0,-0.1,5105500.0,1
23/03/23,"2,470.0","2,508.0","2,463.0","2,503.0",+18.0,+0.7,3161700.0,2
23/03/24,"2,476.0","2,510.0","2,473.0","2,506.0",+3.0,+0.1,2640200.0,2
23/03/27,"2,511.0","2,528.0","2,506.0","2,526.0",+20.0,+0.8,3265300.0,2
23/03/28,"2,537.0","2,540.0","2,511.0","2,528.0",+2.0,+0.1,3161900.0,1
23/03/29,"2,527.0","2,568.0","2,526.0","2,555.0",+27.0,+1.1,7311500.0,2
23/03/30,"2,528.0","2,563.0","2,523.0","2,558.0",+3.0,+0.1,4686200.0,2
23/03/31,"2,563.0","2,612.0","2,548.0","2,582.0",+24.0,+0.9,27336100.0,2
23/04/03,"2,594.0","2,622.0","2,582.0","2,604.0",+22.0,+0.9,4280000.0,2
23/04/04,"2,590.0","2,609.0","2,576.0","2,597.0",-7.0,-0.3,4433000.0,2
23/04/05,"2,583.0","2,588.0","2,534.0","2,538.0",-59.0,-2.3,4336700.0,1
23/04/06,"2,518.0","2,532.0","2,506.0","2,510.0",-28.0,-1.1,3448600.0,1
23/04/07,"2,525.0","2,547.0","2,520.0","2,534.0",+24.0,+1.0,2923900.0,2
23/04/10,"2,540.0","2,563.0","2,537.0","2,544.0",+10.0,+0.4,2725700.0,2
23/04/11,"2,550.0","2,552.0","2,526.0","2,527.0",-17.0,-0.7,3780800.0,1
23/04/12,"2,526.0","2,537.0","2,516.0","2,530.0",+3.0,+0.1,3102000.0,2
23/04/13,"2,513.0","2,521.0","2,500.0","2,508.0",-22.0,-0.9,4599100.0,1
23/04/14,"2,503.0","2,512.0","2,494.0","2,508.0",0.0,0.0,4184300.0,2
23/04/17,"2,529.0","2,548.0","2,518.0","2,548.0",+40.0,+1.6,2799900.0,2
23/04/18,"2,565.0","2,567.0","2,538.0","2,554.0",+6.0,+0.2,2965300.0,1
23/04/19,"2,554.0","2,582.0","2,549.0","2,581.0",+27.0,+1.1,3169000.0,2
23/04/20,"2,579.0","2,588.0","2,565.0","2,586.0",+5.0,+0.2,2840200.0,2
23/04/21,"2,575.0","2,580.0","2,555.0","2,562.0",-24.0,-0.9,2483500.0,1
23/04/24,"2,599.0","2,629.0","2,594.0","2,612.0",+50.0,+2.0,5829200.0,2
