stockDate,start,high,low,end,前日比,前日比%,volume,flag
22/09/21,5380.0,5400.0,5280.0,5290.0,－,－,350200.0,1
22/09/22,5270.0,5320.0,5150.0,5290.0,0,0.0,276700.0,2
22/09/26,5270.0,5320.0,5210.0,5210.0,-80,-1.5,338200.0,1
22/09/27,5180.0,5240.0,5100.0,5220.0,+10,+0.2,359200.0,2
22/09/28,5200.0,5200.0,5040.0,5140.0,-80,-1.5,749900.0,1
22/09/29,5190.0,5280.0,5130.0,5280.0,+140,+2.7,393000.0,2
22/09/30,5280.0,5320.0,5220.0,5270.0,-10,-0.2,406800.0,1
22/10/03,5230.0,5260.0,5110.0,5250.0,-20,-0.4,363300.0,2
22/10/04,5320.0,5430.0,5280.0,5390.0,+140,+2.7,395500.0,2
22/10/05,5400.0,5410.0,5260.0,5310.0,-80,-1.5,282200.0,1
22/10/06,5300.0,5360.0,5280.0,5310.0,0,0.0,236300.0,2
22/10/07,5270.0,5370.0,5270.0,5370.0,+60,+1.1,262900.0,2
22/10/11,5380.0,5430.0,5290.0,5320.0,-50,-0.9,318800.0,1
22/10/12,5340.0,5410.0,5280.0,5370.0,+50,+0.9,278000.0,2
22/10/13,5380.0,5380.0,5180.0,5220.0,-150,-2.8,317100.0,1
22/10/14,5270.0,5330.0,5240.0,5300.0,+80,+1.5,356700.0,2
22/10/17,5310.0,5340.0,5250.0,5290.0,-10,-0.2,230900.0,1
22/10/18,5370.0,5450.0,5330.0,5380.0,+90,+1.7,380000.0,2
22/10/19,5370.0,5410.0,5360.0,5380.0,0,0.0,216500.0,2
22/10/20,5380.0,5440.0,5360.0,5410.0,+30,+0.6,213600.0,2
22/10/21,5360.0,5390.0,5240.0,5240.0,-170,-3.1,367800.0,1
22/10/24,5280.0,5280.0,5140.0,5160.0,-80,-1.5,277500.0,1
22/10/25,5200.0,5230.0,5130.0,5190.0,+30,+0.6,241500.0,1
22/10/26,5220.0,5250.0,5120.0,5120.0,-70,-1.3,254500.0,1
22/10/27,5150.0,5220.0,5120.0,5170.0,+50,+1.0,278400.0,2
22/10/28,5160.0,5260.0,5150.0,5160.0,-10,-0.2,931700.0,0
22/10/31,5240.0,5250.0,5150.0,5220.0,+60,+1.2,227900.0,1
22/11/01,5200.0,5260.0,5160.0,5260.0,+40,+0.8,206100.0,2
22/11/02,5190.0,5240.0,5130.0,5150.0,-110,-2.1,284900.0,1
22/11/04,5130.0,5150.0,5050.0,5120.0,-30,-0.6,344100.0,1
22/11/07,5050.0,5100.0,4970.0,4970.0,-150,-2.9,457000.0,1
22/11/08,5010.0,5040.0,4985.0,5000.0,+30,+0.6,272800.0,1
22/11/09,5020.0,5020.0,4870.0,4885.0,-115,-2.3,290000.0,1
22/11/10,4885.0,4940.0,4835.0,4870.0,-15,-0.3,274700.0,1
22/11/11,4960.0,4965.0,4820.0,4870.0,0,0.0,382900.0,1
22/11/14,4805.0,4890.0,4805.0,4830.0,-40,-0.8,377100.0,2
22/11/15,4895.0,4915.0,4825.0,4840.0,+10,+0.2,180500.0,1
22/11/16,4840.0,4840.0,4745.0,4785.0,-55,-1.1,291500.0,1
22/11/17,4810.0,4995.0,4805.0,4970.0,+185,+3.9,312400.0,2
22/11/18,4985.0,4990.0,4915.0,4955.0,-15,-0.3,165100.0,1
22/11/21,4960.0,5010.0,4905.0,4935.0,-20,-0.4,182600.0,1
22/11/22,4975.0,5050.0,4960.0,5020.0,+85,+1.7,251500.0,2
22/11/24,5060.0,5070.0,5010.0,5030.0,+10,+0.2,242400.0,1
22/11/25,5050.0,5070.0,5000.0,5030.0,0,0.0,120900.0,1
22/11/28,5050.0,5060.0,5000.0,5050.0,+20,+0.4,175400.0,0
22/11/29,5070.0,5110.0,5030.0,5110.0,+60,+1.2,215500.0,2
22/11/30,5110.0,5170.0,5080.0,5120.0,+10,+0.2,509900.0,2
22/12/01,5150.0,5170.0,5050.0,5050.0,-70,-1.4,226500.0,1
