stockDate,start,high,low,end,前日比,前日比%,volume,flag
22/09/21,4035.0,4045.0,3985.0,3995.0,－,－,461000.0,1
22/09/22,3970.0,4005.0,3925.0,3995.0,0,0.0,493000.0,2
22/09/26,4020.0,4040.0,3945.0,3950.0,-45,-1.1,590200.0,1
22/09/27,3940.0,3990.0,3875.0,3980.0,+30,+0.8,403000.0,2
22/09/28,3945.0,3970.0,3830.0,3890.0,-90,-2.3,727100.0,1
22/09/29,3875.0,3995.0,3840.0,3990.0,+100,+2.6,655800.0,2
22/09/30,3930.0,3980.0,3910.0,3940.0,-50,-1.3,721300.0,2
22/10/03,3890.0,3890.0,3780.0,3885.0,-55,-1.4,497100.0,1
22/10/04,3940.0,4025.0,3910.0,3980.0,+95,+2.4,495300.0,2
22/10/05,4000.0,4020.0,3950.0,3960.0,-20,-0.5,477500.0,1
22/10/06,3945.0,3995.0,3925.0,3960.0,0,0.0,419800.0,2
22/10/07,3935.0,4025.0,3910.0,4020.0,+60,+1.5,365800.0,2
22/10/11,4025.0,4085.0,3945.0,3985.0,-35,-0.9,749300.0,1
22/10/12,4030.0,4105.0,3985.0,4040.0,+55,+1.4,559600.0,2
22/10/13,4040.0,4040.0,3940.0,3965.0,-75,-1.9,486100.0,1
22/10/14,3995.0,4030.0,3970.0,4000.0,+35,+0.9,562700.0,2
22/10/17,4010.0,4025.0,3940.0,3985.0,-15,-0.4,432900.0,1
22/10/18,4025.0,4080.0,3990.0,4025.0,+40,+1.0,623100.0,0
22/10/19,4025.0,4030.0,3980.0,4015.0,-10,-0.2,519100.0,1
22/10/20,3995.0,4010.0,3900.0,3965.0,-50,-1.2,571500.0,1
22/10/21,3950.0,3955.0,3880.0,3890.0,-75,-1.9,456200.0,1
22/10/24,3915.0,3915.0,3825.0,3840.0,-50,-1.3,519600.0,1
22/10/25,3880.0,3885.0,3815.0,3850.0,+10,+0.3,361500.0,1
22/10/26,3885.0,3910.0,3835.0,3840.0,-10,-0.3,319500.0,1
22/10/27,3855.0,3890.0,3830.0,3850.0,+10,+0.3,328500.0,1
22/10/28,3825.0,3930.0,3820.0,3890.0,+40,+1.0,1194200.0,2
22/10/31,3930.0,3950.0,3880.0,3950.0,+60,+1.5,514600.0,2
22/11/01,3900.0,3965.0,3855.0,3945.0,-5,-0.1,416300.0,2
22/11/02,3935.0,3955.0,3865.0,3870.0,-75,-1.9,455900.0,1
22/11/04,3860.0,3900.0,3820.0,3830.0,-40,-1.0,426300.0,1
22/11/07,3835.0,3910.0,3830.0,3870.0,+40,+1.0,504200.0,2
22/11/08,3885.0,3915.0,3855.0,3870.0,0,0.0,324300.0,1
22/11/09,3860.0,3865.0,3700.0,3715.0,-155,-4.0,512700.0,1
22/11/10,3695.0,3740.0,3680.0,3700.0,-15,-0.4,293800.0,2
22/11/11,3795.0,3795.0,3630.0,3685.0,-15,-0.4,654100.0,1
22/11/14,3660.0,3690.0,3615.0,3625.0,-60,-1.6,442700.0,1
22/11/15,3665.0,3680.0,3615.0,3615.0,-10,-0.3,331200.0,1
22/11/16,3630.0,3640.0,3550.0,3605.0,-10,-0.3,455100.0,1
22/11/17,3620.0,3750.0,3605.0,3725.0,+120,+3.3,373800.0,2
22/11/18,3720.0,3780.0,3675.0,3685.0,-40,-1.1,303900.0,1
22/11/21,3685.0,3735.0,3645.0,3685.0,0,0.0,277400.0,0
22/11/22,3695.0,3755.0,3685.0,3720.0,+35,+0.9,227300.0,2
22/11/24,3770.0,3775.0,3745.0,3745.0,+25,+0.7,325300.0,1
22/11/25,3775.0,3815.0,3760.0,3785.0,+40,+1.1,352100.0,2
22/11/28,3830.0,3845.0,3790.0,3815.0,+30,+0.8,451200.0,1
22/11/29,3815.0,3850.0,3800.0,3840.0,+25,+0.7,287300.0,2
22/11/30,3980.0,3995.0,3880.0,3915.0,+75,+2.0,1075000.0,1
22/12/01,3930.0,3970.0,3920.0,3920.0,+5,+0.1,530100.0,1
22/12/02,3910.0,3910.0,3820.0,3850.0,-70,-1.8,375600.0,1
22/12/05,3875.0,3895.0,3825.0,3890.0,+40,+1.0,493700.0,2
22/12/06,3855.0,3885.0,3810.0,3835.0,-55,-1.4,421500.0,1
22/12/07,3825.0,3890.0,3825.0,3875.0,+40,+1.0,466300.0,2
22/12/08,3855.0,3875.0,3790.0,3875.0,0,0.0,413100.0,2
22/12/09,3900.0,3940.0,3870.0,3870.0,-5,-0.1,596600.0,1
22/12/12,3860.0,3870.0,3815.0,3850.0,-20,-0.5,327100.0,1
22/12/13,3880.0,3890.0,3830.0,3865.0,+15,+0.4,288800.0,1
22/12/14,3840.0,3885.0,3830.0,3850.0,-15,-0.4,268600.0,2
22/12/15,3870.0,3910.0,3855.0,3885.0,+35,+0.9,189300.0,2
22/12/16,3860.0,3865.0,3815.0,3850.0,-35,-0.9,389000.0,1
22/12/19,3825.0,3845.0,3790.0,3795.0,-55,-1.4,311800.0,1
22/12/20,3835.0,3915.0,3730.0,3760.0,-35,-0.9,489200.0,1
22/12/21,3740.0,3765.0,3680.0,3760.0,0,0.0,339500.0,2
22/12/22,3750.0,3780.0,3715.0,3770.0,+10,+0.3,303700.0,2
22/12/23,3735.0,3760.0,3710.0,3720.0,-50,-1.3,228200.0,1
22/12/26,3745.0,3760.0,3720.0,3735.0,+15,+0.4,117800.0,1
22/12/27,3805.0,3885.0,3790.0,3830.0,+95,+2.5,244500.0,2
22/12/28,3820.0,3835.0,3780.0,3800.0,-30,-0.8,244900.0,1
22/12/29,3805.0,3825.0,3735.0,3750.0,-50,-1.3,273000.0,1
22/12/30,3765.0,3785.0,3735.0,3755.0,+5,+0.1,390900.0,1
23/01/04,3710.0,3735.0,3645.0,3660.0,-95,-2.5,366200.0,1
23/01/05,3640.0,3655.0,3555.0,3585.0,-75,-2.0,292000.0,1
23/01/06,3590.0,3600.0,3570.0,3570.0,-15,-0.4,224600.0,1
23/01/10,3575.0,3610.0,3560.0,3560.0,-10,-0.3,361400.0,1
23/01/11,3575.0,3595.0,3540.0,3550.0,-10,-0.3,369900.0,1
23/01/12,3530.0,3530.0,3475.0,3510.0,-40,-1.1,422400.0,1
23/01/13,3525.0,3530.0,3470.0,3500.0,-10,-0.3,437700.0,1
23/01/16,3480.0,3515.0,3465.0,3480.0,-20,-0.6,322500.0,0
23/01/17,3480.0,3500.0,3460.0,3485.0,+5,+0.1,249100.0,2
23/01/18,3490.0,3585.0,3485.0,3570.0,+85,+2.4,338900.0,2
23/01/19,3560.0,3610.0,3540.0,3565.0,-5,-0.1,327500.0,2
23/01/20,3570.0,3615.0,3555.0,3605.0,+40,+1.1,282800.0,2
23/01/23,3630.0,3655.0,3595.0,3640.0,+35,+1.0,347500.0,2
23/01/24,3650.0,3745.0,3645.0,3730.0,+90,+2.5,436200.0,2
23/01/25,3750.0,3795.0,3730.0,3770.0,+40,+1.1,316500.0,2
23/01/26,3800.0,3815.0,3765.0,3780.0,+10,+0.3,282700.0,1
23/01/27,3785.0,3785.0,3740.0,3750.0,-30,-0.8,246200.0,1
23/01/30,3750.0,3780.0,3725.0,3725.0,-25,-0.7,341300.0,1
23/01/31,3765.0,3795.0,3750.0,3780.0,+55,+1.5,468700.0,2
23/02/01,3775.0,3810.0,3705.0,3710.0,-70,-1.9,491700.0,1
23/02/02,3725.0,3765.0,3690.0,3705.0,-5,-0.1,333900.0,1
23/02/03,3695.0,3725.0,3660.0,3710.0,+5,+0.1,382400.0,2
23/02/06,3710.0,3770.0,3710.0,3755.0,+45,+1.2,384500.0,2
23/02/07,3765.0,3785.0,3740.0,3740.0,-15,-0.4,287200.0,1
23/02/08,3740.0,3800.0,3740.0,3800.0,+60,+1.6,382800.0,2
23/02/09,3775.0,3830.0,3770.0,3825.0,+25,+0.7,445700.0,2
23/02/10,3845.0,3850.0,3770.0,3775.0,-50,-1.3,734900.0,1
23/02/13,3765.0,3785.0,3730.0,3780.0,+5,+0.1,349300.0,2
23/02/14,3790.0,3815.0,3770.0,3810.0,+30,+0.8,274500.0,2
23/02/15,3790.0,3825.0,3770.0,3805.0,-5,-0.1,368400.0,2
23/02/16,3815.0,3860.0,3805.0,3815.0,+10,+0.3,415100.0,0
23/02/17,3820.0,3830.0,3780.0,3805.0,-10,-0.3,444700.0,1
23/02/20,3810.0,3880.0,3810.0,3870.0,+65,+1.7,305100.0,2
23/02/21,3845.0,3865.0,3810.0,3815.0,-55,-1.4,300300.0,1
23/02/22,3810.0,3815.0,3705.0,3730.0,-85,-2.2,436900.0,1
23/02/24,3745.0,3845.0,3735.0,3845.0,+115,+3.1,473700.0,2
23/02/27,3835.0,3870.0,3830.0,3860.0,+15,+0.4,265000.0,2
23/02/28,3875.0,3960.0,3865.0,3935.0,+75,+1.9,674200.0,2
23/03/01,3900.0,3915.0,3855.0,3900.0,-35,-0.9,344400.0,0
23/03/02,3920.0,3925.0,3890.0,3910.0,+10,+0.3,358300.0,1
