stockDate,start,high,low,end,前日比,前日比%,volume,flag
22/10/12,7348.0,7351.0,7253.0,7268.0,－,－,971700.0,1
22/10/13,7239.0,7318.0,7222.0,7294.0,+26,+0.4,908300.0,2
22/10/14,7320.0,7487.0,7320.0,7434.0,+140,+1.9,1524900.0,2
22/10/17,7326.0,7395.0,7326.0,7378.0,-56,-0.8,748500.0,2
22/10/18,7476.0,7500.0,7392.0,7446.0,+68,+0.9,984700.0,1
22/10/19,7464.0,7495.0,7384.0,7433.0,-13,-0.2,690900.0,1
22/10/20,7352.0,7359.0,7267.0,7325.0,-108,-1.5,959400.0,1
22/10/21,7246.0,7343.0,7242.0,7312.0,-13,-0.2,939800.0,2
22/10/24,7421.0,7446.0,7360.0,7362.0,+50,+0.7,676000.0,1
22/10/25,7392.0,7463.0,7370.0,7440.0,+78,+1.1,838000.0,2
22/10/26,7470.0,7476.0,7379.0,7391.0,-49,-0.7,736800.0,1
22/10/27,7364.0,7378.0,7295.0,7310.0,-81,-1.1,861100.0,1
22/10/28,7250.0,7274.0,7181.0,7250.0,-60,-0.8,1982900.0,0
22/10/31,7356.0,7490.0,7350.0,7441.0,+191,+2.6,1531100.0,2
22/11/01,6891.0,6956.0,6850.0,6884.0,-557,-7.5,3333800.0,1
22/11/02,6850.0,6931.0,6808.0,6837.0,-47,-0.7,2060800.0,1
22/11/04,6693.0,6725.0,6605.0,6649.0,-188,-2.7,2566600.0,1
22/11/07,6785.0,6785.0,6701.0,6732.0,+83,+1.2,1240300.0,1
22/11/08,6754.0,6842.0,6741.0,6830.0,+98,+1.5,1261400.0,2
22/11/09,6842.0,6847.0,6787.0,6799.0,-31,-0.5,1107400.0,1
22/11/10,6754.0,6793.0,6720.0,6760.0,-39,-0.6,829700.0,2
22/11/11,6923.0,6927.0,6833.0,6857.0,+97,+1.4,1627700.0,1
22/11/14,6855.0,6882.0,6771.0,6771.0,-86,-1.3,1069300.0,1
22/11/15,6780.0,6843.0,6775.0,6816.0,+45,+0.7,725600.0,2
