stockDate,start,high,low,end,前日比,前日比%,volume,flag
22/10/14,"2,344.3","2,366.6","2,314.6","2,352.6",－,－,8106981.0,2
22/10/17,"2,315.6","2,334.6","2,312.9","2,325.6",-27.0,-1.1,4695947.0,2
22/10/18,"2,358.9","2,367.3","2,317.6","2,361.6",+36.0,+1.5,5824558.0,2
22/10/19,"2,323.9","2,352.9","2,321.9","2,345.9",-15.7,-0.7,6775868.0,2
22/10/20,"2,334.3","2,336.9","2,302.3","2,323.6",-22.3,-1.0,6184862.0,1
22/10/21,"2,320.6","2,354.3","2,315.6","2,320.3",-3.3,-0.1,6979570.0,1
22/10/24,"2,353.6","2,379.3","2,341.9","2,343.6",+23.3,+1.0,5621756.0,1
22/10/25,"2,366.6","2,408.6","2,362.9","2,399.9",+56.3,+2.4,7023670.0,2
22/10/26,"2,415.9","2,426.3","2,386.6","2,390.3",-9.6,-0.4,6891669.0,1
22/10/27,"2,383.9","2,402.6","2,370.9","2,379.6",-10.7,-0.4,3977440.0,1
22/10/28,"2,333.3","2,379.6","2,331.3","2,360.9",-18.7,-0.8,9114991.0,2
22/10/31,"2,403.3","2,449.3","2,399.6","2,433.3",+72.4,+3.1,8225182.0,2
22/11/01,"2,349.9","2,403.6","2,337.6","2,394.9",-38.4,-1.6,9293793.0,2
22/11/02,"2,395.9","2,415.6","2,379.9","2,396.9",+2.0,+0.1,6140761.0,2
22/11/04,"2,337.9","2,342.9","2,310.9","2,325.9",-71.0,-3.0,8335283.0,1
22/11/07,"2,360.3","2,395.3","2,357.9","2,376.3",+50.4,+2.2,6090061.0,2
22/11/08,"2,389.9","2,432.9","2,380.6","2,430.9",+54.6,+2.3,7243872.0,2
22/11/09,"2,456.6","2,529.6","2,453.3","2,512.3",+81.4,+3.3,11779618.0,2
22/11/10,"2,467.6","2,476.9","2,430.9","2,442.3",-70.0,-2.8,6498965.0,1
22/11/11,"2,566.9","2,598.9","2,560.6","2,587.3",+145.0,+5.9,13746737.0,2
22/11/14,"2,595.6","2,606.3","2,575.6","2,581.9",-5.4,-0.2,6672667.0,1
22/11/15,"2,572.9","2,609.9","2,555.9","2,595.6",+13.7,+0.5,5540755.0,2
22/11/16,"2,606.3","2,607.3","2,565.3","2,597.3",+1.7,+0.1,5421954.0,1
22/11/17,"2,576.6","2,584.6","2,559.3","2,570.3",-27.0,-1.0,3917439.0,1
22/11/18,"2,570.3","2,584.3","2,547.9","2,548.6",-21.7,-0.8,4419644.0,1
22/11/21,"2,551.3","2,558.6","2,532.3","2,546.6",-2.0,-0.1,4026640.0,1
22/11/22,"2,544.6","2,552.3","2,528.3","2,533.3",-13.3,-0.5,4407944.0,1
22/11/24,"2,583.3","2,591.3","2,573.6","2,577.6",+44.3,+1.7,4812648.0,1
22/11/25,"2,583.3","2,583.3","2,557.3","2,560.6",-17.0,-0.7,2818828.0,1
22/11/28,"2,518.6","2,533.9","2,508.3","2,523.6",-37.0,-1.4,5289053.0,2
22/11/29,"2,499.9","2,500.3","2,473.6","2,482.6",-41.0,-1.6,5146551.0,1
22/11/30,"2,473.3","2,487.9","2,458.9","2,487.9",+5.3,+0.2,7633876.0,2
22/12/01,"2,533.3","2,543.9","2,508.6","2,527.3",+39.4,+1.6,6714067.0,1
22/12/02,"2,527.3","2,527.3","2,468.3","2,486.6",-40.7,-1.6,5860559.0,1
22/12/05,"2,491.3","2,501.3","2,480.9","2,493.9",+7.3,+0.3,3893139.0,2
22/12/06,"2,466.6","2,493.3","2,461.6","2,484.9",-9.0,-0.4,3697237.0,2
22/12/07,"2,469.9","2,477.3","2,449.6","2,449.6",-35.3,-1.4,4293343.0,1
22/12/08,"2,420.3","2,422.3","2,393.6","2,404.6",-45.0,-1.8,7403774.0,1
22/12/09,"2,417.3","2,468.3","2,414.6","2,456.9",+52.3,+2.2,6661867.0,2
22/12/12,"2,434.9","2,461.6","2,428.3","2,451.3",-5.6,-0.2,3045030.0,2
22/12/13,"2,475.9","2,479.9","2,435.3","2,439.6",-11.7,-0.5,4501845.0,1
22/12/14,"2,461.6","2,474.9","2,450.3","2,464.6",+25.0,+1.0,4776948.0,2
22/12/15,"2,444.6","2,460.9","2,435.9","2,441.9",-22.7,-0.9,3380734.0,1
22/12/16,"2,402.9","2,409.9","2,384.9","2,386.3",-55.6,-2.3,6461465.0,1
22/12/19,"2,358.3","2,370.9","2,343.6","2,364.6",-21.7,-0.9,4877149.0,2
22/12/20,"2,362.9","2,401.3","2,294.6","2,315.3",-49.3,-2.1,9876099.0,1
22/12/21,"2,299.3","2,306.6","2,251.6","2,263.3",-52.0,-2.2,8834488.0,1
22/12/22,"2,293.3","2,302.9","2,264.6","2,270.3",+7.0,+0.3,5438454.0,1
22/12/23,"2,241.6","2,270.6","2,225.9","2,250.6",-19.7,-0.9,4669847.0,2
