stockDate,start,high,low,end,前日比,前日比%,volume,flag
22/09/21,"2,358.0","2,377.0","2,353.0","2,369.0",－,－,382600.0,2
22/09/22,"2,361.0","2,380.0","2,353.0","2,354.0",-15.0,-0.6,373600.0,1
22/09/26,"2,351.0","2,362.0","2,339.0","2,352.0",-2.0,-0.1,585200.0,2
22/09/27,"2,363.0","2,393.0","2,362.0","2,388.0",+36.0,+1.5,531000.0,2
22/09/28,"2,364.0","2,372.0","2,344.0","2,372.0",-16.0,-0.7,576200.0,2
22/09/29,"2,344.0","2,390.0","2,337.0","2,382.0",+10.0,+0.4,426600.0,2
22/09/30,"2,404.0","2,414.0","2,381.0","2,385.0",+3.0,+0.1,716200.0,1
22/10/03,"2,370.0","2,376.0","2,318.0","2,332.0",-53.0,-2.2,487600.0,1
22/10/04,"2,356.0","2,421.0","2,352.0","2,411.0",+79.0,+3.4,740900.0,2
22/10/05,"2,397.0","2,403.0","2,373.0","2,380.0",-31.0,-1.3,523400.0,1
22/10/06,"2,388.0","2,388.0","2,355.0","2,355.0",-25.0,-1.1,455300.0,1
22/10/07,"2,326.0","2,340.0","2,319.0","2,336.0",-19.0,-0.8,412500.0,2
22/10/11,"2,337.0","2,337.0","2,312.0","2,326.0",-10.0,-0.4,504000.0,1
22/10/12,"2,328.0","2,348.0","2,310.0","2,338.0",+12.0,+0.5,369700.0,2
22/10/13,"2,346.0","2,346.0","2,315.0","2,317.0",-21.0,-0.9,252600.0,1
22/10/14,"2,336.0","2,356.0","2,324.0","2,342.0",+25.0,+1.1,516200.0,2
22/10/17,"2,341.0","2,348.0","2,308.0","2,313.0",-29.0,-1.2,378500.0,1
22/10/18,"2,330.0","2,334.0","2,300.0","2,305.0",-8.0,-0.3,545800.0,1
22/10/19,"2,313.0","2,328.0","2,305.0","2,316.0",+11.0,+0.5,581200.0,2
22/10/20,"2,309.0","2,309.0","2,282.0","2,285.0",-31.0,-1.3,394500.0,1
22/10/21,"2,274.0","2,288.0","2,254.0","2,256.0",-29.0,-1.3,468800.0,1
22/10/24,"2,276.0","2,278.0","2,251.0","2,253.0",-3.0,-0.1,485300.0,1
22/10/25,"2,271.0","2,279.0","2,256.0","2,269.0",+16.0,+0.7,410800.0,1
22/10/26,"2,278.0","2,302.0","2,277.0","2,289.0",+20.0,+0.9,377200.0,2
22/10/27,"2,288.0","2,295.0","2,269.0","2,274.0",-15.0,-0.7,338900.0,1
22/10/28,"2,259.0","2,290.0","2,257.0","2,282.0",+8.0,+0.4,1171800.0,2
22/10/31,"2,300.0","2,330.0","2,291.0","2,314.0",+32.0,+1.4,746300.0,2
22/11/01,"2,314.0","2,352.0","2,314.0","2,347.0",+33.0,+1.4,1087100.0,2
22/11/02,"2,539.0","2,590.0","2,481.0","2,556.0",+209.0,+8.9,2322600.0,2
22/11/04,"2,562.0","2,594.0","2,542.0","2,565.0",+9.0,+0.4,1182300.0,2
22/11/07,"2,580.0","2,604.0","2,561.0","2,593.0",+28.0,+1.1,1044500.0,2
22/11/08,"2,593.0","2,597.0","2,567.0","2,580.0",-13.0,-0.5,657700.0,1
22/11/09,"2,590.0","2,603.0","2,569.0","2,580.0",0.0,0.0,591800.0,1
22/11/10,"2,584.0","2,622.0","2,569.0","2,619.0",+39.0,+1.5,731500.0,2
22/11/11,"2,660.0","2,660.0","2,614.0","2,619.0",0.0,0.0,1060900.0,1
22/11/14,"2,589.0","2,620.0","2,581.0","2,605.0",-14.0,-0.5,488600.0,2
22/11/15,"2,619.0","2,632.0","2,601.0","2,601.0",-4.0,-0.2,370900.0,1
22/11/16,"2,674.0","2,718.0","2,645.0","2,706.0",+105.0,+4.0,1209200.0,2
22/11/17,"2,700.0","2,740.0","2,695.0","2,727.0",+21.0,+0.8,763700.0,2
22/11/18,"2,742.0","2,769.0","2,727.0","2,766.0",+39.0,+1.4,794000.0,2
22/11/21,"2,750.0","2,784.0","2,743.0","2,779.0",+13.0,+0.5,870600.0,2
22/11/22,"2,793.0","2,830.0","2,788.0","2,806.0",+27.0,+1.0,779100.0,2
22/11/24,"2,811.0","2,834.0","2,795.0","2,827.0",+21.0,+0.7,700600.0,2
22/11/25,"2,837.0","2,851.0","2,823.0","2,843.0",+16.0,+0.6,642200.0,2
22/11/28,"2,832.0","2,847.0","2,805.0","2,818.0",-25.0,-0.9,744300.0,1
22/11/29,"2,820.0","2,824.0","2,770.0","2,803.0",-15.0,-0.5,1027400.0,1
22/11/30,"2,803.0","2,816.0","2,781.0","2,781.0",-22.0,-0.8,762500.0,1
22/12/01,"2,783.0","2,804.0","2,774.0","2,788.0",+7.0,+0.3,438000.0,2
22/12/02,"2,777.0","2,798.0","2,764.0","2,796.0",+8.0,+0.3,530500.0,2
22/12/05,"2,800.0","2,804.0","2,768.0","2,785.0",-11.0,-0.4,400600.0,1
22/12/06,"2,800.0","2,839.0","2,799.0","2,829.0",+44.0,+1.6,576500.0,2
22/12/07,"2,836.0","2,860.0","2,825.0","2,832.0",+3.0,+0.1,473900.0,1
22/12/08,"2,841.0","2,849.0","2,820.0","2,833.0",+1.0,0.0,367900.0,1
22/12/09,"2,829.0","2,858.0","2,825.0","2,840.0",+7.0,+0.2,580500.0,2
22/12/12,"2,825.0","2,838.0","2,796.0","2,800.0",-40.0,-1.4,430900.0,1
22/12/13,"2,804.0","2,807.0","2,791.0","2,793.0",-7.0,-0.2,457300.0,1
22/12/14,"2,784.0","2,789.0","2,768.0","2,776.0",-17.0,-0.6,488200.0,1
