stockDate,start,high,low,end,前日比,前日比%,volume,flag
22/10/14,7697.0,7777.0,7638.0,7737.0,－,－,3597700.0,2
22/10/17,7557.0,7608.0,7535.0,7566.0,-171,-2.2,2887400.0,2
22/10/18,7725.0,7822.0,7653.0,7819.0,+253,+3.3,2708900.0,2
22/10/19,7700.0,7809.0,7684.0,7772.0,-47,-0.6,2566000.0,2
22/10/20,7710.0,7759.0,7677.0,7737.0,-35,-0.5,2133500.0,2
22/10/21,7701.0,7763.0,7686.0,7740.0,+3,0.0,2186400.0,2
22/10/24,7899.0,8168.0,7898.0,7965.0,+225,+2.9,4714900.0,2
22/10/25,8267.0,8385.0,8120.0,8361.0,+396,+5.0,7332800.0,2
22/10/26,8433.0,8444.0,8228.0,8231.0,-130,-1.6,3848300.0,1
22/10/27,8288.0,8408.0,8211.0,8364.0,+133,+1.6,2295700.0,2
22/10/28,8236.0,8392.0,8185.0,8217.0,-147,-1.8,4459600.0,1
22/10/31,8349.0,8393.0,8200.0,8238.0,+21,+0.3,2724900.0,1
22/11/01,8115.0,8183.0,8062.0,8141.0,-97,-1.2,2505800.0,2
22/11/02,8074.0,8089.0,7973.0,8015.0,-126,-1.5,2287000.0,1
22/11/04,7832.0,7992.0,7781.0,7990.0,-25,-0.3,2138900.0,2
22/11/07,8035.0,8163.0,8018.0,8148.0,+158,+2.0,1243400.0,2
22/11/08,8160.0,8300.0,8160.0,8279.0,+131,+1.6,1583400.0,2
22/11/09,8325.0,8374.0,8210.0,8252.0,-27,-0.3,1617900.0,1
22/11/10,8151.0,8196.0,8072.0,8099.0,-153,-1.9,1516100.0,1
22/11/11,8428.0,8708.0,8428.0,8669.0,+570,+7.0,4606500.0,2
22/11/14,8746.0,8985.0,8684.0,8861.0,+192,+2.2,4142900.0,2
22/11/15,8800.0,9000.0,8797.0,9000.0,+139,+1.6,1911700.0,2
22/11/16,8961.0,8992.0,8761.0,8952.0,-48,-0.5,2456700.0,1
22/11/17,8854.0,8924.0,8761.0,8801.0,-151,-1.7,1549500.0,1
22/11/18,8829.0,8834.0,8681.0,8705.0,-96,-1.1,1343200.0,1
22/11/21,8761.0,8777.0,8615.0,8680.0,-25,-0.3,1704000.0,1
22/11/22,8681.0,8823.0,8681.0,8745.0,+65,+0.7,1860200.0,2
22/11/24,8909.0,8932.0,8816.0,8857.0,+112,+1.3,1794900.0,1
22/11/25,8841.0,8872.0,8781.0,8811.0,-46,-0.5,1081200.0,1
22/11/28,8800.0,8800.0,8744.0,8775.0,-36,-0.4,940100.0,1
22/11/29,8651.0,8716.0,8577.0,8624.0,-151,-1.7,1531600.0,1
