stockDate,start,high,low,end,前日比,前日比%,volume,flag
22/10/14,6842.0,6917.0,6781.0,6860.0,－,－,1469600.0,2
22/10/17,6760.0,6800.0,6714.0,6745.0,-115,-1.7,611700.0,1
22/10/18,6934.0,6964.0,6833.0,6927.0,+182,+2.7,691400.0,1
22/10/19,6925.0,6966.0,6876.0,6880.0,-47,-0.7,587500.0,1
22/10/20,6780.0,6837.0,6721.0,6834.0,-46,-0.7,798700.0,2
22/10/21,6792.0,6881.0,6790.0,6825.0,-9,-0.1,627000.0,2
22/10/24,6954.0,7016.0,6912.0,6912.0,+87,+1.3,541900.0,1
22/10/25,7049.0,7060.0,6950.0,7031.0,+119,+1.7,803200.0,1
22/10/26,7086.0,7132.0,7001.0,7014.0,-17,-0.2,1201300.0,1
22/10/27,7129.0,7304.0,7026.0,7040.0,+26,+0.4,2202200.0,1
22/10/28,6965.0,6965.0,6808.0,6808.0,-232,-3.3,1746000.0,1
22/10/31,6942.0,7025.0,6908.0,6956.0,+148,+2.2,1057300.0,2
22/11/01,6894.0,6943.0,6859.0,6886.0,-70,-1.0,739700.0,1
22/11/02,6787.0,6843.0,6691.0,6691.0,-195,-2.8,979100.0,1
22/11/04,6522.0,6640.0,6478.0,6630.0,-61,-0.9,1224100.0,2
22/11/07,6680.0,6818.0,6680.0,6791.0,+161,+2.4,773100.0,2
22/11/08,6825.0,6887.0,6814.0,6874.0,+83,+1.2,635700.0,2
22/11/09,6900.0,6974.0,6889.0,6924.0,+50,+0.7,723900.0,2
22/11/10,6830.0,6832.0,6723.0,6737.0,-187,-2.7,733100.0,1
22/11/11,7037.0,7377.0,7027.0,7377.0,+640,+9.5,2008200.0,2
22/11/14,7474.0,7522.0,7356.0,7383.0,+6,+0.1,1106500.0,1
22/11/15,7349.0,7456.0,7304.0,7426.0,+43,+0.6,568700.0,2
22/11/16,7465.0,7466.0,7312.0,7344.0,-82,-1.1,773500.0,1
22/11/17,7198.0,7228.0,7130.0,7157.0,-187,-2.5,874600.0,1
22/11/18,7119.0,7172.0,7078.0,7079.0,-78,-1.1,522700.0,1
22/11/21,7081.0,7101.0,7025.0,7060.0,-19,-0.3,574100.0,1
22/11/22,7092.0,7152.0,7068.0,7113.0,+53,+0.8,591800.0,2
22/11/24,7259.0,7278.0,7190.0,7216.0,+103,+1.4,627800.0,1
22/11/25,7190.0,7195.0,7133.0,7159.0,-57,-0.8,503300.0,1
22/11/28,7091.0,7143.0,7065.0,7130.0,-29,-0.4,521400.0,2
22/11/29,7065.0,7074.0,7008.0,7039.0,-91,-1.3,563300.0,1
22/11/30,7000.0,7052.0,6966.0,7044.0,+5,+0.1,1464600.0,2
22/12/01,7239.0,7239.0,7134.0,7160.0,+116,+1.6,813900.0,1
22/12/02,7140.0,7140.0,7012.0,7051.0,-109,-1.5,724600.0,1
22/12/05,7062.0,7224.0,7051.0,7213.0,+162,+2.3,996300.0,2
22/12/06,7139.0,7173.0,7097.0,7102.0,-111,-1.5,660800.0,1
22/12/07,7030.0,7060.0,6986.0,7005.0,-97,-1.4,701500.0,1
22/12/08,6951.0,6958.0,6822.0,6900.0,-105,-1.5,1059100.0,1
22/12/09,6963.0,7068.0,6925.0,7004.0,+104,+1.5,1157500.0,2
22/12/12,6972.0,7017.0,6949.0,6988.0,-16,-0.2,588000.0,2
22/12/13,7074.0,7102.0,6966.0,6973.0,-15,-0.2,609600.0,1
22/12/14,7001.0,7005.0,6945.0,6970.0,-3,-0.0,636600.0,1
22/12/15,6899.0,6948.0,6859.0,6880.0,-90,-1.3,490100.0,1
22/12/16,6749.0,6789.0,6717.0,6773.0,-107,-1.6,920000.0,2
22/12/19,6704.0,6740.0,6690.0,6727.0,-46,-0.7,658900.0,2
22/12/20,6708.0,6725.0,6387.0,6417.0,-310,-4.6,958800.0,1
22/12/21,6438.0,6526.0,6391.0,6424.0,+7,+0.1,1165100.0,1
