newsDate,content
23/01/05,"Graz, Austria – Panthronics AG, a fabless semiconductor company specializing in high performance wireless technology, today announced the worldwide launch of its PTX30W, the industry’s only integrated, single-chip solution for the listener circuit in NFC wireless charging systems. The PTX30W, which is supplied in a compact 3.2mm2 WL-CSP package, enables manufacturers of small battery-powered products to implement NFC wireless charging with a board which is around four times smaller than existing designs based on multiple discrete components. The PTX30W, an integrated solution, is also easier to implement than a circuit made of multiple discrete components. The fully autonomous PTX30W runs an NFC Forum-derived wireless charging protocol which supports power negotiation. This means that the PTX30W can operate in stand-alone mode with no need for an external microcontroller to run NFC wireless charging operations. Paired with an NFC poller such as the Panthronics PTX130W in the charging cradle, the PTX30W can supply as much as 1W to charge the li-ion battery in products such as fitness trackers, smart watches, earbuds, hearing aids, smart glasses, smart rings, styluses and medical sensors. Both the PTX30W and PTX130W are supported by a software development kit (SDK) to accelerate integration into end product designs. The PTX30W will be available for demonstrations at the Panthronics suite during the CES 2023 exhibition (5-8 January, Las Vegas, US). Contact Panthronics to arrange an appointment for a demonstration. The PTX30W is also available now for sampling. Volume production orders will start shipping in Q2 2023. Comprehensive technical support and guidance are available online via the Panthronics customer portal. The PTX30W combines an efficient rectifier, NFC tag, battery charger and power management as well as protocol handling. The NFC tag supports bidirectional data communication in NFC Type A mode. This enables the transfer of data between the charging cradle and the charged device, such as the battery’s state of charge or fault indicators, as well as enabling firmware upgrades of both devices. The device’s power management unit supplies the chip from RF power when available, or from the battery when not. A sophisticated battery charger circuit in the PTX30W regulates the input voltage from the antenna to match the voltage profile of the constant current/constant voltage charge supplied to the li-ion battery. This minimizes power losses in the charger, easing thermal management in sealed, space-constrained enclosures. Mark Dickson, Chief Marketing Officer of Panthronics, said: ‘The introduction of the ultra-compact PTX30W opens up new opportunities for consumer device manufacturers to replace wired charger connections with a tiny NFC wireless charging circuit, even in devices as small as earbuds and smart rings. And by using the PTX30W, OEMs also benefit from NFC communication alongside charging capability, to enable battery status reporting and firmware upgrades.’ More information about the PTX30W listener and PTX130W poller may be found at www.panthronics.com. Founded in 2014, Panthronics AG (PTX) is an established semiconductor product company with over 50 staff headquartered in Graz, Austria. It develops differentiated wireless solutions from the ground up for security and power applications. Panthronics’ website is at www.panthronics.com. The content in the press release, including, but not limited to, product prices and specifications, is based on the information as of the date indicated on the document, but may be subject to change without prior notice. Get the latest news, products, and solutions delivered straight to your inbox."
23/01/05,"～今後、すべてのWi-Fi、BLE、Thread製品でMatterをサポート予定～ 　ルネサス エレクトロニクス株式会社（代表取締役社長兼CEO: 柴田　英利、以下ルネサス）は、このたび、Matterプロトコルをサポートするソフトウェア開発キット（SDK）を発表しました。今後、ルネサスは買収したDialog Semiconductor社やCeleno Communications社の製品を含む、すべてのWi-Fi、Bluetooth® Low-Energy（LE）、およびIEEE 802.15.4（Thread）製品で、Matterをサポートしてまいります。 　今回、Matterプロトコルに対応したハードウェアは、超低消費電力のWi-Fi SoC（System on Chip）DA16200を搭載したWi-Fiモジュール開発キットです。本キットとSDKを使用することにより、Matterプロトコルに対応したWi-Fi通信機能の評価、検証が可能になります。ルネサスは現在、Matterに対応したDA16200用SDKをリードカスタマ向けにサンプル出荷中で、2023年3月末までに一般向けにリリースする予定です。また、ルネサスのクイックコネクトIoT用のDA16200搭載Wi-Fi Pmod™ボードとルネサスの統合開発環境であるe2 studioを使用すれば、マイコン、コネクティビティ、その他のデバイスを含めて、Matter対応のIoT機器開発が容易に実現できます。 　Matterプロトコルは、スマートホーム機器の相互運用性の問題を解決する規格です。このプロトコルを使えば、メーカを問わずさまざまなスマートデバイス同士を安全に接続できます。Matterは、Wi-Fi、Thread、Bluetooth LEなどの基盤となる接続技術を抽象化するアプリケーション層プロトコルです。ユーザはMatter共通のソフトウェアスタックを使用することで、さまざまなスマートホームのエコシステムや音声サービスをサポートできるようになります。エンドユーザ（消費者）は、Matterの認証を受けた機器なら、どのプラットフォームを選択しても相互に接続して使用できます。 　ルネサスは、IoTの規格や認証を策定する国際的な組織であるConnectivity Standards Alliance（CSA）のメンバです。CSAの技術責任者を務めるChris LaPre氏は次のように述べています。「ルネサスのようなIoT業界のリーダがMatter規格を積極的にサポートしてくれていることを嬉しく思います。こうした動きは、半導体メーカと機器メーカの両方で、この規格の導入が急速に進んでいることの証左とも言えるでしょう。」 　ルネサスのコネクティビティ・オーディオ事業部の事業部長であるSean McGrathは次のように述べています。「組み込みプロセッサで業界をリードするルネサスのIoTソリューションにおいては、接続性は極めて重要な要素です。当社はBluetoothやWi-Fiソリューションを幅広く提供しており、Thread製品も開発中です。今後も、世界中のお客様と協力して、さまざまなアプリケーションでMatter規格を活用できる体制を整えていきます。」 　ルネサスには、Bluetooth LEやWi-Fiにおいて培ってきた10年以上にわたる経験があります。これまでに6億台以上の無線デバイスを出荷し、IoT、ウェアラブル、ホームネットワークに対応した幅広いコネクティビティ製品を提供してきました。Matter対応製品を開発したいと考えているIoT機器メーカは、ルネサスの便利な開発ツールを使用すれば、製品の市場投入にかかる時間を短縮できます。ルネサスによるMatterへのサポートの詳細については、こちらをご覧ください。www.renesas.com/Matter 以　上 ＊Bluetoothは、Bluetooth SIG, Inc.の登録商標です。本リリース中の製品名やサービス名は全てそれぞれの所有者に属する商標または登録商標です。 ニュースリリースに掲載されている情報（製品価格、仕様等を含む）は、発表日現在の情報です。 その後予告なしに変更されることがございますので、あらかじめご承知ください。 Get the latest news, products, and solutions delivered straight to your inbox."
23/01/12,"～小ピン、小型パッケージのラインアップにより、RL78ファミリの選択肢がさらに拡大～ 　ルネサス エレクトロニクス株式会社（代表取締役社長兼CEO：柴田　英利、以下ルネサス）は、このたび、RL78ファミリの強化を図り、最小となる8ピンパッケージを含む「RL78/G15」を発売、量産を開始しました。新製品は、8ビットマイコンの応用分野に向けた汎用性の高いマイコンです。そのため、産業、民生、センサ制御、照明、インバータなど幅広いアプリケーションに適しています。特に、RL78/G15は、8ピンから20ピン、最小3mm角と、小ピンかつ小型パッケージながら充実した周辺機能を搭載しているため、機器の小型化、低コスト化に貢献します。また、動作周囲温度は最大125℃のため熱設計が容易で、インバータのモータなど発熱部品の近くにマイコンを配置することが可能です。 　ルネサスの汎用MCU事業部の事業部長である関　俊彦は次のように述べています。「RL78ファミリは、低消費電力性能や最適化した周辺機能が高く評価され、発表以来約11年間で累計は71億個を超え、現在では月に約1億個を出荷しています。ルネサスは今後も、お客様のニーズに耳を傾け、コスト効率が高く使いやすいローエンドマイコンの拡充を図ってまいります。」 　IARシステムズのProduct ManagementのDirectorであるLotta Frimanson氏は次のように述べています。「ルネサスのRL78ファミリのラインアップが、市場規模の大きいローエンドマイコン市場に向けて拡充されることを歓迎します。IARはRL78ファミリの全ラインアップをサポートする唯一のパートナとして、世界中のエンジニアがRL78の機能を最大限に活用し、効率的に開発できるよう、高速でコンパクトなコード生成ができる良質な開発環境を提供していくことをお約束します。」 　RL78/G15の開発ツールとして、他のRL78と同様、GUI（Graphical User Interface）で周辺機能のドライバコードを容易に生成できるSmart Configuratorを利用できます。評価ボードはFast Prototyping Board（FPB）を用意しました。Arduino UnoとPmodTM Type 6Aインタフェースを標準搭載し、すべてのピンにアクセスできます。さらに、USBケーブルのみでデバッグとプログラミングが可能です。また、このFPB上で動作するArduinoライブラリも用意しました。これらにより、RL78の資産だけでなくArduinoの膨大な資産も利用できるため、アイデアを早期に具現化することが出来ます。 　ルネサスは、さまざまな機器に電力を供給する「最大100W USB PD対応マルチ出力アダプター」ソリューションを開発しました。本ソリューションには、RL78/G15のほか、高性能PFC（力率改善）コントローラやAC/DCコントローラ、高性能DC-DC降圧デバイスが含まれており、効率的に電力供給をすることができます。ユーザは、互換性を気にすることなくノートパソコンやタブレット、携帯電話などへ容易に充電できるオールインワンのモバイルチャージャを実現できるため、急速充電器やモバイル機器、充電アダプター向けに最適なソリューションです。本ソリューションは、ルネサス製品を最適に組み合わせ、あらかじめ動作検証を行っているウィニング・コンビネーションの一環であり、ユーザの設計のリスクを低減し、市場投入までの時間を短縮します。他にも、様々なアプリケーションに向けた300種類以上のウィニング・コンビネーションを提供しています。詳しくは、こちらからご覧いただけます。https://www.renesas.com/win RL78/G15の詳細については、こちらをご覧ください。https://www.renesas.com/rl78g15 　以　上 ＊PmodはDigilent Inc.の商標です。本リリース中の製品名やサービス名は全てそれぞれの所有者に属する商標または登録商標です。 ニュースリリースに掲載されている情報（製品価格、仕様等を含む）は、発表日現在の情報です。 その後予告なしに変更されることがございますので、あらかじめご承知ください。 Get the latest news, products, and solutions delivered straight to your inbox."
23/01/16,"ルネサス エレクトロニクス株式会社（代表取締役社長兼CEO：柴田 英利、以下「当社」といいます。）は、本日付の取締役会決議において、以下のとおり、事後交付型株式報酬制度に従い付与したリストリクテッド・ストック・ユニット（以下「RSU」といいます。）に基づく自己株式の処分（以下「本自己株式処分」といいます。）を行うことを決定いたしましたので、お知らせいたします。 記 (1)払込期日 2023年1月31日 (2)処分する株式の種類及び数 当社普通株式　368,250株 (3)処分価格 １株につき1,277円 (4)処分価額の総額 470,255,250円 (5)割当予定先 当社の従業員 16名　8,000株 当社子会社の従業員（退職者２名を含む。） 225名　360,250株 (6)その他 本自己株式処分については、金融商品取引法に基づき、国内における募集（8,000株）については有価証券通知書を、海外における募集（360,250株）については臨時報告書を提出いたします。 　当社は2021年４月に当社及び当社の子会社の取締役、執行役員及び従業員（以下「対象者」といいます。）に対するインセンティブ制度の見直しを行い、対象者に対する事後交付型株式報酬制度（以下「本制度」といいます。）を導入しております。 また、当社によるDialog Semiconductor Plc（現Dialog Semiconductor Limited、以下「Dialog」といいます。）の完全子会社化（以下「本件買収」といいます。）に伴い、当社は、Dialog及びDialogの子会社の役員及び従業員に対して、本件買収完了前に当該役員及び従業員に対して付与されていたDialogの株式報酬（以下「Dialog株式報酬」といいます。）の一部に代えて、本制度に基づきRSUを付与しております。 　本自己株式処分は、当社が本制度に基づき対象者に付与したRSUの一部が権利確定することに従い、本日付の当社取締役会決議に基づき行われるものです。 〈本制度の内容〉 (1)本制度の対象者 　当社及び当社子会社の取締役、執行役員及び従業員 (2)RSUの概要 　本制度に基づき付与されるRSUは、対象者に対して、当社が予め定める数のユニットを事前に付与し、勤務継続期間に応じて確定される数の当社普通株式を交付することを内容とする株式報酬です。RSUは、原則として、社外取締役以外の対象者の場合は、１年経過する毎に、支給されたユニット数（３年分）の３分の１ずつが、また、社外取締役の場合は、１年経過した際に、支給されたユニット数（１年分）の全数が、継続勤務を条件として、それぞれ確定いたします。なお、買収した会社の役職員に対して、買収した会社が付与していた株式報酬の消滅を前提にRSUを付与する場合や、基本報酬の減額等を前提としたRSUについては、上記と異なる期間でユニット数を確定させることがあります。 (3)当社株式の交付の方法及び時期 　当社は、取締役会決議に基づき、権利確定日が到来する毎に、対象者に支給された金銭報酬債権の全部の現物出資と引き換えに、確定するユニットの数に対応した当社普通株式（１ユニット当たり１株）を新株式発行又は自己株式の処分の方法により割り当てます。 　なお、本制度に基づくRSUにより交付される当社株式の１株当たりの払込金額は、当社普通株式の交付にかかる取締役会決議の日の前営業日における東京証券取引所における当社株式の終値（同日に取引が成立していない場合は、それに先立つ直近取引日の終値）といたします。 (4)退任時の取扱い 　ユニットの確定は、原則として、その確定時に対象者が当社又は当社子会社の取締役、執行役員、従業員等であることを条件といたしますが、対象者がユニットの確定前にその地位を喪失した場合であっても、当社取締役会であらかじめ定める事由による地位喪失の場合には、当社取締役会において定める方法に基づき交付する当社普通株式の数および時期を調整する場合があります。   3. 払込金額の算定根拠及びその具体的内容   　本自己株式処分は、割当予定先に支給された金銭報酬債権を出資財産として行われるものであり、その払込価額は、恣意性を排除した価格とするため、2023年1月13日（取締役会決議の前営業日）の東京証券取引所における当社普通株式の終値である1,277円としております。これは、取締役会決議日直前の市場株価であり、当社の企業価値を適切に反映した合理的なものであって、割当予定先にとって特に有利な価額に該当しないと考えております。 以  上 Get the latest news, products, and solutions delivered straight to your inbox."
23/01/17,"～小型化により実装面積を約40%削減～ 　ルネサス エレクトロニクス株式会社（代表取締役社長兼CEO: 柴田　英利、以下ルネサス）は、このたび、次世代のE/Eアーキテクチャにおいて、車の電源分配システムを安全かつ柔軟に実現する車載用インテリジェントパワーデバイス（IPD）「RAJ2810024H12HPD」のサンプル出荷を開始しました。量産は2024年1月から開始する予定です。小型のTO252-7パッケージを採用したことにより、従来のTO263パッケージの製品に比べて実装面積を約40%削減します。また、高度な電流検出機能により、過電流などの異常電流を高精度に検出することができます。特に小さな電流を流す低負荷時でも異常電流の検知が可能なため、小さな異常も見逃さない安全なシステム構築が可能となります。 　新製品は、2023年1月25日（水）から東京ビッグサイトで開催されるカーエレクトロニクス技術展のルネサスブース（東5ホール、ブースNo.43-52）に出展します。 　ルネサスの車載アナログアプリケーションスペシフィック事業部、事業部長の大道 昭は次のように述べています。「今回、新たなパワーMOSFETプロセス技術を採用した新世代の車載用IPDを提供できることを非常に嬉しく思います。ルネサスは電源システムの安全性や信頼性を向上するIPDの開発に注力すると同時に、マイコンと組み合わせたシステムレベルでの提案により、お客様の開発を強力に支援してまいります。」 　従来の分散型E/Eアーキテクチャでは、バッテリからの電源をメカニカルリレーとヒューズで構成する電源ボックスから、太く長い配線で各ECUに電力を分配していました。IPDはメカニカルリレーに比べて寿命が長くメンテナンスフリーのため、車両のどこにでも配置することができます。そのため、今後の中央集中型あるいはゾーン型のE/Eアーキテクチャでは、IPDを使用することにより、細く短い配線で柔軟に電力ネットワークを構築できるようになります。ルネサスはこうしたE/Eアーキテクチャの進化に応えるために、高効率であることはもちろん、より安全性が高く、小型のIPDを開発しました。 新製品の主な特長は以下の通りです。 　ルネサスは、量産中の既存製品であるIPDを使って「E-fuseを用いたパワーディストリビューションボックス」ソリューションを提案しています。電源ボックスの従来のヒューズを小型のIPDに置き換え、ヒューズ特性をマイコンにプログラミングすることにより、ワイヤハーネスの最適化や電流監視による信頼性の向上が可能です。本ソリューションは、ルネサス製品を最適に組み合わせ、あらかじめ動作検証を行っているウィニング・コンビネーションの一環です。他にも、様々なアプリケーションに向けた300種類以上のウィニング・コンビネーションを提供しています。詳しくは、こちらからご覧いただけます。https://www.renesas.com/win 新製品「RAJ2810024H12HPD」の詳細は、こちらをご覧ください。https://www.renesas.com/products/automotive-products/automotive-power-devices/automotive-protected-and-intelligent-power-devices/raj2810024h12hpd-intelligent-power-device-automotive-application-highly-accurate-current-detection-function 以　上 ＊本リリース中の製品名やサービス名は全てそれぞれの所有者に属する商標または登録商標です。 ニュースリリースに掲載されている情報（製品価格、仕様等を含む）は、発表日現在の情報です。 その後予告なしに変更されることがございますので、あらかじめご承知ください。 Get the latest news, products, and solutions delivered straight to your inbox."
23/01/25,"～絶縁耐圧3.75kVrmsにより、1200V耐圧のパワーデバイスに対応～ 　ルネサス エレクトロニクス株式会社（代表取締役社長兼CEO: 柴田　英利、以下ルネサス）は、このたび、xEV（電動車）のインバータに搭載するIGBT（絶縁ゲート型バイポーラトランジスタ）やSiC（炭化ケイ素）MOSFETを駆動するためのゲートドライバIC「RAJ2930004AGM」を開発しました。新製品は、本日よりサンプル出荷を開始し、量産は2024年第一四半期の予定です。 新製品は、2023年1月25日（水）から東京ビッグサイトで開催されるカーエレクトロニクス技術展のルネサスブース（東5ホール、ブースNo.43-52）に出展します。 　ゲートドライバICは、低電圧ドメインで動作するインバータ制御マイコンからの制御信号を受け、内蔵のアイソレータを介して、高電圧のパワー半導体を駆動する役割を果たします。新製品は、xEVバッテリの高電圧化に対応すべく、絶縁耐圧を従来品の2.5kVrmsから3.75kVrmsまで強化したことにより、1200V耐圧のパワーデバイスにも使用できるようになります。また、通信の安定性やノイズ耐性の指標となるCMTI（コモンモード過渡耐圧）は、150V/ns（ナノ秒）以上を実現したことにより、より高い電圧や、より高速なスイッチングが求められるインバータシステムにおいても、安定した通信性能を維持できます。新製品は、ゲートドライバとしての基本機能を、小型のSOIC16パッケージに搭載したことにより、コスト効率の良いインバータシステムの実現が可能です。 　新製品は、ルネサス製IGBTとの組み合わせのほか、他社製IGBTやSiC製品と組み合わせても使用できます。また、トラクションインバータだけでなく、オンボードチャージャやDC/DCコンバータ等のパワー半導体を駆動する他のアプリケーションにも幅広く使用できます。ルネサスは、新製品とマイコンやIGBT、パワーマネジメントIC等を組み合わせたxEV インバータキットソリューションを開発してきており、新製品を組み込んだキットを2023年上期中にリリース予定です。本ソリューションによって、ユーザがタイムリに製品を市場投入できることに貢献します。 　ルネサスの車載アナログアプリケーションスペシフィック事業部、事業部長の大道 昭は次のように述べています。「ルネサスが車載用ゲートドライバICの第二世代品として、高耐圧かつ高CMTIの新製品を提供できることを嬉しく思います。今後は、パワーロスの削減やお客様のシステムにおける機能安全の実現に貢献できる製品を拡充していくことにより、xEV向けアプリケーション開発を強力に支援してまいります。」 新ゲートドライバIC「RAJ2930004AGM」の主な特長は以下の通りです。 新製品の詳細はこちらをご覧ください。https://www.renesas.com/products/automotive-products/automotive-power-management/motor-and-solenoid-drivers/raj2930004agm-gate-driver-hevev なお、本製品はコスト効率の良いインバータ実現によりEV普及を促進し、環境負荷の低減に貢献します。 以　上 ＊本リリース中の製品名やサービス名は全てそれぞれの所有者に属する商標または登録商標です。 ニュースリリースに掲載されている情報（製品価格、仕様等を含む）は、発表日現在の情報です。 その後予告なしに変更されることがございますので、あらかじめご承知ください。 Get the latest news, products, and solutions delivered straight to your inbox."
23/01/27,"ルネサス エレクトロニクス株式会社（代表取締役社長兼CEO: 柴田　英利、以下ルネサス）は、このたび、モルガン・スタンレー・キャピタル・インターナショナル社（MSCI社）（注）のMSCI ESGレーティングにおいて、最上位から2番目の「AA」評価を初めて獲得しました。同評価は、環境・社会・ガバナンス（ESG）に関連した企業の取り組みについて、詳細な調査、格付け、分析をグローバルで実施するMSCI ESG リサーチから付与されました。      MSCI ESGレーティングでは、業界特有のESGリスクを踏まえた上で、同業他社と比較したリスク管理能力を分析し、「AAA」から「CCC」の7段階で評価・格付けされます。 2020年にサステナビリティ推進室が正式に発足して以来、ルネサスは、MSCI ESGレーティングにおいて、2020年の「B」評価、2021年の「BBB」評価から、2022年の「AA」評価と大幅にスコアを向上させてきました。 ルネサスのサステナビリティ推進室兼IR室長である山口 富士子は、次のように述べています。 「3年間で大きなスコアの向上を達成できたことは、ルネサスがESGに対し、当事者としての責任をもち、積極的にグローバルに取り組んできた証であると考えています。このたび、MSCI社から高い評価を得られたことは大変光栄です。今後もあらゆる活動の中で最善を尽くし、より優れた企業となれるよう努力してまいります。」 MSCI ESGレーティングは、MSCI社が開発したMSCI ESGインデックスの算出時にも利用されています。ルネサスは2021年に、世界最大規模の公的年金運用機関である年金積立金管理運用独立行政法人（GPIF）が採用する「MSCI 日本株女性活躍指数」の構成銘柄にも選定されています。 （注）MSCI社は、米国・ニューヨークを本社とする金融サービス提供企業。ニューヨーク証券取引所に上場しており、大規模公的年金や資産運用、株価指数の算出など、世界中の機関投資家に対し、幅広いサービスを提供している。 MSCI ウェブサイト: Powering better investment decisions - MSCI 以　上 THE USE BY RENESAS ELECTRONICS CORPORATION OF ANY MSCI ESG RESEARCH LLC OR ITS AFFILIATES (“MSCI”) DATA, AND THE USE OF MSCI LOGOS, TRADEMARKS, SERVICE MARKS OR INDEX NAMES HEREIN, DO NOT CONSTITUTE A SPONSORSHIP, ENDORSEMENT, RECOMMENDATION, OR PROMOTION OF RENESAS ELECTRONICS CORPORATION BY MSCI.  MSCI SERVICES AND DATA ARE THE PROPERTY OF MSCI OR ITS INFORMATION PROVIDERS, AND ARE PROVIDED ‘AS-IS’ AND WITHOUT WARRANTY.  MSCI NAMES AND LOGOS ARE TRADEMARKS OR SERVICE MARKS OF MSCI. Get the latest news, products, and solutions delivered straight to your inbox."
23/02/09,"ルネサス エレクトロニクス株式会社（代表取締役社長兼CEO：柴田 英利、以下「当社」といいます。）は、本日付の取締役会決議において、以下のとおり、事後交付型株式報酬制度に従い付与したリストリクテッド・ストック・ユニット（以下「RSU」といいます。）に基づく自己株式の処分（以下「本自己株式処分」といいます。）を行うことを決定いたしましたので、お知らせいたします。 記 (1)払込期日 2023年３月１日（以下2023年３月１日払込みにかかる本自己株式の処分を「３月１日払込分」といいます。）および 2023年３月13日（以下2023年３月13日払込みにかかる本自己株式の処分を「３月13日払込分」といいます。） (2)処分する株式の種類及び数 ＜３月１日払込分＞ 当社普通株式　723,908株 ＜３月13日払込分＞当社普通株式　133,300株 (3)処分価格 ＜３月１日払込分＞ １株につき1,412円 ＜３月13日払込分＞１株につき1,412円 (4)処分価額の総額 ＜３月１日払込分＞ 1,022,158,096円 ＜３月13日払込分＞  188,219,600円 (5)割当予定先 ＜３月１日払込分＞ 当社の従業員　 ５名　  18,000株 当社子会社の従業員（退職者１名を含む。） 171名　705,908株 ＜３月13日払込分＞ 当社子会社の従業員 ６名　 133,300株 (6)その他 本自己株式処分については、金融商品取引法に基づき、国内における募集（３月１日払込分のうち18,000株）については有価証券通知書を、海外における募集（３月１日払込分のうち705,908株および３月13日払込分の133,300株の合計839,208株）については臨時報告書を提出いたします。 　当社は2021年４月に当社及び当社の子会社の取締役、執行役員及び従業員（以下「対象者」といいます。）に対するインセンティブ制度の見直しを行い、対象者に対する事後交付型株式報酬制度（以下「本制度」といいます。）を導入しております。 また、当社によるDialog Semiconductor Plc（現Dialog Semiconductor Limited、以下「Dialog」といいます。）の完全子会社化（以下「本件買収」といいます。）に伴い、当社は、Dialog及びDialogの子会社の役員及び従業員に対して、本件買収完了前に当該役員及び従業員に対して付与されていたDialogの株式報酬の一部に代えて、本制度に基づきRSUを付与しております。 　本自己株式処分は、当社が本制度に基づき対象者に付与したRSUの一部が権利確定することに従い、本日付の当社取締役会決議に基づき行われるものです。 〈本制度の内容〉 (1)本制度の対象者 　当社及び当社子会社の取締役、執行役員及び従業員 (2)RSUの概要 　本制度に基づき付与されるRSUは、対象者に対して、当社が予め定める数のユニットを事前に付与し、勤務継続期間に応じて確定される数の当社普通株式を交付することを内容とする株式報酬です。RSUは、原則として、社外取締役以外の対象者の場合は、１年経過する毎に、支給されたユニット数（３年分）の３分の１ずつが、また、社外取締役の場合は、１年経過した際に、支給されたユニット数（１年分）の全数が、継続勤務を条件として、それぞれ確定いたします。なお、買収した会社の役職員に対して、買収した会社が付与していた株式報酬の消滅を前提にRSUを付与する場合や、基本報酬の減額等を前提としたRSUについては、上記と異なる期間でユニット数を確定させることがあります。 (3)当社株式の交付の方法及び時期 　当社は、取締役会決議に基づき、権利確定日が到来する毎に、対象者に支給された金銭報酬債権の全部の現物出資と引き換えに、確定するユニットの数に対応した当社普通株式（１ユニット当たり１株）を新株式発行又は自己株式の処分の方法により割り当てます。 　なお、本制度に基づくRSUにより交付される当社株式の１株当たりの払込金額は、当社普通株式の交付にかかる取締役会決議の日の前営業日における東京証券取引所における当社株式の終値（同日に取引が成立していない場合は、それに先立つ直近取引日の終値）といたします。 (4)退任時の取扱い 　ユニットの確定は、原則として、その確定時に対象者が当社又は当社子会社の取締役、執行役員、従業員等であることを条件といたしますが、対象者がユニットの確定前にその地位を喪失した場合であっても、当社取締役会であらかじめ定める事由による地位喪失の場合には、当社取締役会において定める方法に基づき交付する当社普通株式の数および時期を調整する場合があります。   3. 払込金額の算定根拠及びその具体的内容 　本自己株式処分は、割当予定先に支給された金銭報酬債権を出資財産として行われるものであり、その払込価額は、恣意性を排除した価格とするため、2023年２月８日（取締役会決議の前営業日）の東京証券取引所における当社普通株式の終値である1,412円としております。これは、取締役会決議日直前の市場株価であり、当社の企業価値を適切に反映した合理的なものであって、割当予定先にとって特に有利な価額に該当しないと考えております。 以  上 Get the latest news, products, and solutions delivered straight to your inbox."
