stockDate,start,high,low,end,前日比,前日比%,volume,flag
22/09/21,"1,327.0","1,334.0","1,319.0","1,322.0",－,－,5549000.0,1
22/09/22,"1,308.0","1,312.0","1,291.0","1,305.0",-17.0,-1.3,7741000.0,1
22/09/26,"1,270.0","1,272.0","1,234.0","1,243.0",-62.0,-4.8,13345800.0,1
22/09/27,"1,236.0","1,246.0","1,220.0","1,222.0",-21.0,-1.7,10068800.0,1
22/09/28,"1,203.0","1,250.0","1,197.0","1,222.0",0.0,0.0,12454200.0,2
22/09/29,"1,252.0","1,253.0","1,215.0","1,237.0",+15.0,+1.2,10062800.0,1
22/09/30,"1,225.0","1,226.0","1,191.0","1,202.0",-35.0,-2.8,11517900.0,1
22/10/03,"1,197.0","1,247.0","1,197.0","1,247.0",+45.0,+3.7,7106500.0,2
22/10/04,"1,283.0","1,288.0","1,264.0","1,270.0",+23.0,+1.8,8286900.0,1
22/10/05,"1,288.0","1,293.0","1,265.0","1,275.0",+5.0,+0.4,8356700.0,1
22/10/06,"1,288.0","1,324.0","1,286.0","1,317.0",+42.0,+3.3,10701600.0,2
22/10/07,"1,288.0","1,316.0","1,275.0","1,308.0",-9.0,-0.7,7655400.0,2
22/10/11,"1,258.0","1,265.0","1,229.0","1,233.0",-75.0,-5.7,13186000.0,1
22/10/12,"1,205.0","1,221.0","1,192.0","1,204.0",-29.0,-2.4,10840100.0,1
22/10/13,"1,204.0","1,217.0","1,198.0","1,209.0",+5.0,+0.4,8084000.0,2
22/10/14,"1,240.0","1,242.0","1,212.0","1,230.0",+21.0,+1.7,8063800.0,1
22/10/17,"1,206.0","1,226.0","1,205.0","1,218.0",-12.0,-1.0,6757500.0,2
22/10/18,"1,230.0","1,234.0","1,198.0","1,224.0",+6.0,+0.5,13022200.0,1
22/10/19,"1,223.0","1,244.0","1,218.0","1,232.0",+8.0,+0.7,8992300.0,2
22/10/20,"1,218.0","1,222.0","1,188.0","1,203.0",-29.0,-2.4,16006500.0,1
22/10/21,"1,203.0","1,214.0","1,194.0","1,202.0",-1.0,-0.1,11591800.0,1
22/10/24,"1,227.0","1,254.0","1,223.0","1,247.0",+45.0,+3.7,15854400.0,2
22/10/25,"1,258.0","1,268.0","1,249.0","1,262.0",+15.0,+1.2,11555600.0,2
22/10/26,"1,270.0","1,272.0","1,235.0","1,235.0",-27.0,-2.1,14546000.0,1
22/10/27,"1,206.0","1,248.0","1,185.0","1,238.0",+3.0,+0.2,15995900.0,2
22/10/28,"1,218.0","1,243.0","1,203.0","1,229.0",-9.0,-0.7,17841300.0,2
22/10/31,"1,253.0","1,255.0","1,217.5","1,246.5",+17.5,+1.4,15466400.0,1
22/11/01,"1,251.5","1,259.0","1,239.0","1,259.0",+12.5,+1.0,10307000.0,2
22/11/02,"1,258.0","1,275.0","1,246.5","1,250.0",-9.0,-0.7,8009600.0,1
22/11/04,"1,230.5","1,235.0","1,213.0","1,221.5",-28.5,-2.3,7269500.0,1
22/11/07,"1,241.0","1,266.0","1,238.0","1,262.0",+40.5,+3.3,7487800.0,2
22/11/08,"1,270.0","1,295.0","1,262.0","1,294.0",+32.0,+2.5,7557000.0,2
22/11/09,"1,300.0","1,315.5","1,296.5","1,315.5",+21.5,+1.7,8848100.0,2
