stockDate,start,high,low,end,前日比,前日比%,volume,flag
22/10/12,3880.0,3905.0,3760.0,3800.0,－,－,1915000.0,1
22/10/13,3815.0,3890.0,3780.0,3870.0,+70,+1.8,1656400.0,2
22/10/14,3965.0,3990.0,3840.0,3905.0,+35,+0.9,2793800.0,1
22/10/17,3830.0,3905.0,3825.0,3885.0,-20,-0.5,1368200.0,2
22/10/18,3925.0,3945.0,3855.0,3925.0,+40,+1.0,1359000.0,0
22/10/19,3880.0,3945.0,3860.0,3930.0,+5,+0.1,1100600.0,2
22/10/20,3895.0,3910.0,3830.0,3875.0,-55,-1.4,1374600.0,1
22/10/21,3910.0,3985.0,3900.0,3960.0,+85,+2.2,1315400.0,2
22/10/24,4035.0,4120.0,4030.0,4045.0,+85,+2.1,1437200.0,2
22/10/25,4035.0,4115.0,4030.0,4080.0,+35,+0.9,1136800.0,2
22/10/26,4095.0,4105.0,4045.0,4070.0,-10,-0.2,1056400.0,1
22/10/27,4050.0,4125.0,4040.0,4105.0,+35,+0.9,1180600.0,2
22/10/28,4050.0,4165.0,4020.0,4105.0,0,0.0,2562200.0,2
22/10/31,4240.0,4240.0,4060.0,4095.0,-10,-0.2,2570000.0,1
22/11/01,4075.0,4105.0,4040.0,4090.0,-5,-0.1,1245000.0,2
22/11/02,4090.0,4110.0,3995.0,4015.0,-75,-1.8,1212600.0,1
22/11/04,3915.0,3945.0,3880.0,3915.0,-100,-2.5,1283000.0,0
22/11/07,3980.0,4050.0,3955.0,4020.0,+105,+2.7,1206200.0,2
22/11/08,4085.0,4145.0,4055.0,4140.0,+120,+3.0,1411800.0,2
22/11/09,4170.0,4230.0,4160.0,4190.0,+50,+1.2,1664400.0,2
22/11/10,4120.0,4180.0,4090.0,4145.0,-45,-1.1,1034400.0,2
22/11/11,4370.0,4495.0,4345.0,4470.0,+325,+7.8,2949800.0,2
22/11/14,4520.0,4535.0,4430.0,4465.0,-5,-0.1,1695400.0,1
22/11/15,4445.0,4585.0,4415.0,4560.0,+95,+2.1,1458200.0,2
22/11/16,4630.0,4665.0,4510.0,4615.0,+55,+1.2,1707200.0,1
22/11/17,4475.0,4530.0,4430.0,4515.0,-100,-2.2,1846000.0,2
22/11/18,4545.0,4555.0,4445.0,4450.0,-65,-1.4,1393000.0,1
22/11/21,4520.0,4545.0,4465.0,4485.0,+35,+0.8,879000.0,1
22/11/22,4475.0,4490.0,4425.0,4450.0,-35,-0.8,993800.0,1
22/11/24,4585.0,4630.0,4580.0,4610.0,+160,+3.6,1177400.0,2
22/11/25,4615.0,4625.0,4580.0,4595.0,-15,-0.3,691200.0,1
22/11/28,4550.0,4585.0,4500.0,4525.0,-70,-1.5,956800.0,1
22/11/29,4450.0,4510.0,4425.0,4485.0,-40,-0.9,1020800.0,2
22/11/30,4465.0,4535.0,4425.0,4515.0,+30,+0.7,1510600.0,2
22/12/01,4665.0,4680.0,4615.0,4640.0,+125,+2.8,1355600.0,1
22/12/02,4595.0,4640.0,4570.0,4625.0,-15,-0.3,1168600.0,2
22/12/05,4575.0,4630.0,4540.0,4545.0,-80,-1.7,781400.0,1
22/12/06,4530.0,4645.0,4520.0,4615.0,+70,+1.5,1046200.0,2
22/12/07,4565.0,4590.0,4525.0,4540.0,-75,-1.6,1174600.0,1
