stockDate,start,high,low,end,前日比,前日比%,volume,flag
22/10/12,2990.0,3014.0,2958.0,2960.0,－,－,7786500.0,1
22/10/13,2969.0,3002.0,2964.0,2972.0,+12,+0.4,4634000.0,2
22/10/14,3032.0,3049.0,3000.0,3032.0,+60,+2.0,7564000.0,0
22/10/17,2940.0,2954.0,2930.0,2944.0,-88,-2.9,7008500.0,2
22/10/18,3012.0,3014.0,2965.0,3008.0,+64,+2.2,6357000.0,1
22/10/19,3028.0,3064.0,3017.0,3032.0,+24,+0.8,5751000.0,2
22/10/20,2986.0,3002.0,2970.0,2987.0,-45,-1.5,6160000.0,2
22/10/21,2970.0,2990.0,2970.0,2971.0,-16,-0.5,5298000.0,2
22/10/24,3031.0,3080.0,3028.0,3039.0,+68,+2.3,5615500.0,2
22/10/25,3058.0,3069.0,3036.0,3044.0,+5,+0.2,6311000.0,1
22/10/26,3058.0,3106.0,3054.0,3091.0,+47,+1.5,5510500.0,2
22/10/27,3067.0,3080.0,3059.0,3080.0,-11,-0.4,5645000.0,2
22/10/28,3138.0,3138.0,3066.0,3071.0,-9,-0.3,15176500.0,1
22/10/31,3115.0,3122.0,3084.0,3108.0,+37,+1.2,5805000.0,1
22/11/01,3107.0,3125.0,3095.0,3125.0,+17,+0.5,4351500.0,2
22/11/02,3138.0,3138.0,3086.0,3103.0,-22,-0.7,5194000.0,1
22/11/04,3072.0,3091.0,3046.0,3091.0,-12,-0.4,6584500.0,2
22/11/07,3127.0,3156.0,3115.0,3156.0,+65,+2.1,5297000.0,2
22/11/08,3200.0,3202.0,3173.0,3192.0,+36,+1.1,4471500.0,1
22/11/09,3213.0,3253.0,3208.0,3250.0,+58,+1.8,5779000.0,2
22/11/10,3239.0,3239.0,3193.0,3199.0,-51,-1.6,6865000.0,1
22/11/11,3320.0,3409.0,3299.0,3409.0,+210,+6.6,14118000.0,2
22/11/14,3460.0,3488.0,3426.0,3464.0,+55,+1.6,9779000.0,2
22/11/15,3461.0,3484.0,3446.0,3467.0,+3,+0.1,5291000.0,2
22/11/16,3490.0,3541.0,3469.0,3537.0,+70,+2.0,9166500.0,2
22/11/17,3502.0,3515.0,3458.0,3466.0,-71,-2.0,7998500.0,1
22/11/18,3475.0,3488.0,3432.0,3440.0,-26,-0.8,6461000.0,1
22/11/21,3440.0,3490.0,3438.0,3490.0,+50,+1.5,4555500.0,2
22/11/22,3494.0,3501.0,3471.0,3499.0,+9,+0.3,6389000.0,2
22/11/24,3538.0,3562.0,3529.0,3553.0,+54,+1.5,5991000.0,2
22/11/25,3561.0,3576.0,3554.0,3560.0,+7,+0.2,3771000.0,1
22/11/28,3552.0,3564.0,3532.0,3532.0,-28,-0.8,4718000.0,1
22/11/29,3495.0,3512.0,3487.0,3503.0,-29,-0.8,4499000.0,2
22/11/30,3484.0,3518.0,3477.0,3514.0,+11,+0.3,7454000.0,2
22/12/01,3570.0,3578.0,3530.0,3570.0,+56,+1.6,7244000.0,0
22/12/02,3542.0,3546.0,3481.0,3503.0,-67,-1.9,7879000.0,1
22/12/05,3506.0,3508.0,3467.0,3475.0,-28,-0.8,4871500.0,1
22/12/06,3435.0,3482.0,3425.0,3463.0,-12,-0.3,3919500.0,2
22/12/07,3430.0,3439.0,3408.0,3408.0,-55,-1.6,5549000.0,1
22/12/08,3403.0,3409.0,3368.0,3386.0,-22,-0.6,5129000.0,1
22/12/09,3380.0,3447.0,3377.0,3435.0,+49,+1.4,5786500.0,2
22/12/12,3420.0,3435.0,3412.0,3420.0,-15,-0.4,3176000.0,0
22/12/13,3453.0,3472.0,3445.0,3452.0,+32,+0.9,3824000.0,1
22/12/14,3494.0,3556.0,3486.0,3556.0,+104,+3.0,6909000.0,2
22/12/15,3510.0,3552.0,3503.0,3546.0,-10,-0.3,5695000.0,2
22/12/16,3471.0,3505.0,3460.0,3487.0,-59,-1.7,9524500.0,2
22/12/19,3444.0,3476.0,3443.0,3447.0,-40,-1.1,4378500.0,2
22/12/20,3468.0,3490.0,3367.0,3384.0,-63,-1.8,7776000.0,1
22/12/21,3386.0,3395.0,3328.0,3362.0,-22,-0.7,6319500.0,1
22/12/22,3389.0,3389.0,3354.0,3379.0,+17,+0.5,5088000.0,1
22/12/23,3335.0,3344.0,3315.0,3336.0,-43,-1.3,4868000.0,2
22/12/26,3352.0,3391.0,3346.0,3386.0,+50,+1.5,2487500.0,2
22/12/27,3400.0,3410.0,3326.0,3326.0,-60,-1.8,3236500.0,1
22/12/28,3300.0,3326.0,3281.0,3307.0,-19,-0.6,3784500.0,2
22/12/29,3272.0,3279.0,3238.0,3252.0,-55,-1.7,6196000.0,1
22/12/30,3285.0,3299.0,3245.0,3245.0,-7,-0.2,4288000.0,1
23/01/04,3186.0,3197.0,3158.0,3163.0,-82,-2.5,5362000.0,1
23/01/05,3212.0,3237.0,3195.0,3200.0,+37,+1.2,5244000.0,1
23/01/06,3177.0,3233.0,3162.0,3223.0,+23,+0.7,4748000.0,2
23/01/10,3346.0,3348.0,3307.0,3332.0,+109,+3.4,7778000.0,1
23/01/11,3339.0,3345.0,3313.0,3330.0,-2,-0.1,5305500.0,1
23/01/12,3359.0,3366.0,3321.0,3343.0,+13,+0.4,4104000.0,1
23/01/13,3321.0,3360.0,3304.0,3325.0,-18,-0.5,5311500.0,2
23/01/16,3288.0,3297.0,3253.0,3281.0,-44,-1.3,4967500.0,1
23/01/17,3270.0,3340.0,3265.0,3323.0,+42,+1.3,4316000.0,2
23/01/18,3354.0,3431.0,3327.0,3392.0,+69,+2.1,5236500.0,2
23/01/19,3330.0,3372.0,3322.0,3360.0,-32,-0.9,5314500.0,2
23/01/20,3360.0,3364.0,3341.0,3360.0,0,0.0,3316500.0,0
23/01/23,3433.0,3442.0,3404.0,3428.0,+68,+2.0,3929500.0,1
23/01/24,3496.0,3505.0,3473.0,3482.0,+54,+1.6,4481000.0,1
23/01/25,3468.0,3505.0,3435.0,3495.0,+13,+0.4,4755000.0,2
23/01/26,3520.0,3542.0,3490.0,3517.0,+22,+0.6,6205500.0,1
23/01/27,3720.0,3767.0,3625.0,3661.0,+144,+4.1,21879000.0,1
23/01/30,3741.0,3847.0,3738.0,3847.0,+186,+5.1,16033000.0,2
23/01/31,3840.0,3874.0,3813.0,3815.0,-32,-0.8,10376000.0,1
23/02/01,3860.0,3882.0,3845.0,3851.0,+36,+0.9,7149000.0,1
23/02/02,3900.0,3906.0,3811.0,3828.0,-23,-0.6,6725500.0,1
