stockDate,start,high,low,end,前日比,前日比%,volume,flag
22/10/14,4667.0,4752.0,4631.0,4722.0,－,－,1810800.0,2
22/10/17,4629.0,4671.0,4609.0,4650.0,-72,-1.5,1359700.0,2
22/10/18,4708.0,4723.0,4586.0,4634.0,-16,-0.3,1669500.0,1
22/10/19,4625.0,4718.0,4625.0,4688.0,+54,+1.2,1789000.0,2
22/10/20,4655.0,4691.0,4643.0,4677.0,-11,-0.2,1497800.0,2
22/10/21,4637.0,4684.0,4561.0,4614.0,-63,-1.3,1765300.0,1
22/10/24,4661.0,4704.0,4630.0,4630.0,+16,+0.3,1763600.0,1
22/10/25,4733.0,4774.0,4693.0,4759.0,+129,+2.8,2163600.0,2
22/10/26,4816.0,4858.0,4786.0,4817.0,+58,+1.2,2069700.0,2
22/10/27,4848.0,4853.0,4756.0,4778.0,-39,-0.8,2290900.0,1
22/10/28,4729.0,4864.0,4710.0,4825.0,+47,+1.0,9979300.0,2
22/10/31,4938.0,5027.0,4918.0,5020.0,+195,+4.0,2750700.0,2
22/11/01,5020.0,5069.0,4998.0,5018.0,-2,-0.0,1361100.0,1
22/11/02,4995.0,5039.0,4980.0,5032.0,+14,+0.3,1435900.0,2
22/11/04,4995.0,5045.0,4981.0,5025.0,-7,-0.1,1431100.0,2
22/11/07,5074.0,5083.0,5026.0,5041.0,+16,+0.3,980400.0,1
22/11/08,5050.0,5150.0,5024.0,5116.0,+75,+1.5,1525700.0,2
22/11/09,5616.0,5672.0,5220.0,5296.0,+180,+3.5,5108500.0,1
22/11/10,5220.0,5274.0,5117.0,5140.0,-156,-2.9,2466000.0,1
22/11/11,5264.0,5264.0,5107.0,5184.0,+44,+0.9,2082600.0,1
22/11/14,5159.0,5180.0,5034.0,5039.0,-145,-2.8,2235600.0,1
22/11/15,5040.0,5084.0,5007.0,5065.0,+26,+0.5,1314200.0,2
22/11/16,5012.0,5047.0,4926.0,4980.0,-85,-1.7,1907600.0,1
22/11/17,5007.0,5059.0,4955.0,4963.0,-17,-0.3,1578500.0,1
22/11/18,5013.0,5098.0,4982.0,5072.0,+109,+2.2,1909400.0,2
22/11/21,5082.0,5111.0,5019.0,5048.0,-24,-0.5,1177800.0,1
22/11/22,5079.0,5125.0,5042.0,5051.0,+3,+0.1,1500700.0,1
22/11/24,5063.0,5066.0,4944.0,5017.0,-34,-0.7,1942900.0,1
22/11/25,5015.0,5028.0,4982.0,5012.0,-5,-0.1,1154100.0,1
22/11/28,5011.0,5020.0,4962.0,4976.0,-36,-0.7,1013000.0,1
22/11/29,4990.0,4991.0,4911.0,4924.0,-52,-1.0,945300.0,1
22/11/30,4898.0,4920.0,4850.0,4913.0,-11,-0.2,1700300.0,2
22/12/01,4950.0,4955.0,4845.0,4868.0,-45,-0.9,1595000.0,1
22/12/02,4869.0,4885.0,4728.0,4782.0,-86,-1.8,1657100.0,1
22/12/05,4766.0,4774.0,4668.0,4695.0,-87,-1.8,1337300.0,1
22/12/06,4700.0,4765.0,4678.0,4755.0,+60,+1.3,1164500.0,2
