stockDate,start,high,low,end,前日比,前日比%,volume,flag
22/09/13,5140.0,5300.0,5120.0,5270.0,－,－,3693100.0,2
22/09/14,5020.0,5110.0,5000.0,5080.0,-190,-3.6,2961300.0,2
22/09/15,5060.0,5120.0,5040.0,5100.0,+20,+0.4,1312900.0,2
22/09/16,5010.0,5030.0,4960.0,4965.0,-135,-2.6,2018900.0,1
22/09/20,5080.0,5190.0,5070.0,5100.0,+135,+2.7,2326400.0,2
22/09/21,5060.0,5060.0,4945.0,4965.0,-135,-2.6,1833500.0,1
22/09/22,4965.0,4970.0,4890.0,4920.0,-45,-0.9,1460200.0,1
22/09/26,4760.0,4795.0,4660.0,4680.0,-240,-4.9,3122600.0,1
22/09/27,4775.0,4810.0,4730.0,4750.0,+70,+1.5,2005400.0,1
22/09/28,4725.0,4795.0,4535.0,4605.0,-145,-3.1,3677200.0,1
22/09/29,4650.0,4650.0,4495.0,4545.0,-60,-1.3,3064000.0,1
22/09/30,4540.0,4540.0,4385.0,4455.0,-90,-2.0,4446500.0,1
22/10/03,4430.0,4580.0,4395.0,4580.0,+125,+2.8,2372400.0,2
22/10/04,4705.0,4730.0,4650.0,4725.0,+145,+3.2,2184500.0,2
22/10/05,4770.0,4805.0,4730.0,4760.0,+35,+0.7,2166500.0,1
22/10/06,4740.0,4885.0,4735.0,4855.0,+95,+2.0,1781800.0,2
22/10/07,4795.0,4805.0,4740.0,4775.0,-80,-1.6,1729600.0,1
22/10/11,4625.0,4630.0,4525.0,4550.0,-225,-4.7,2456900.0,1
22/10/12,4535.0,4565.0,4480.0,4505.0,-45,-1.0,1572500.0,1
22/10/13,4475.0,4510.0,4440.0,4495.0,-10,-0.2,1616500.0,2
22/10/14,4625.0,4740.0,4590.0,4715.0,+220,+4.9,3721000.0,2
22/10/17,4670.0,4725.0,4655.0,4690.0,-25,-0.5,1507100.0,2
22/10/18,4790.0,4790.0,4660.0,4720.0,+30,+0.6,1873100.0,1
22/10/19,4670.0,4690.0,4610.0,4630.0,-90,-1.9,1640400.0,1
22/10/20,4630.0,4640.0,4550.0,4575.0,-55,-1.2,1612400.0,1
22/10/21,4530.0,4605.0,4530.0,4545.0,-30,-0.7,2010300.0,2
22/10/24,4615.0,4685.0,4605.0,4605.0,+60,+1.3,1414500.0,1
22/10/25,4635.0,4680.0,4615.0,4655.0,+50,+1.1,1817400.0,2
