stockDate,start,high,low,end,前日比,前日比%,volume,flag
22/10/12,12016.0,12106.0,11516.0,11696.0,－,－,9017190.0,1
22/10/13,11719.0,12043.0,11616.0,11919.0,+223,+1.9,5490655.0,2
22/10/14,12126.0,12366.0,12073.0,12219.0,+300,+2.5,6543065.0,2
22/10/17,11949.0,12243.0,11939.0,12239.0,+20,+0.2,3651037.0,2
22/10/18,12449.0,12486.0,12163.0,12406.0,+167,+1.4,5922659.0,1
22/10/19,12369.0,12609.0,12316.0,12519.0,+113,+0.9,5321753.0,2
22/10/20,12433.0,12449.0,12109.0,12233.0,-286,-2.3,5469055.0,1
22/10/21,12453.0,12856.0,12433.0,12796.0,+563,+4.6,6108961.0,2
22/10/24,13093.0,13359.0,13023.0,13053.0,+257,+2.0,5905859.0,1
22/10/25,12969.0,13219.0,12883.0,13149.0,+96,+0.7,5308853.0,2
22/10/26,13039.0,13233.0,12889.0,13059.0,-90,-0.7,5134551.0,2
22/10/27,13019.0,13346.0,12983.0,13196.0,+137,+1.0,4380644.0,2
22/10/28,12916.0,13153.0,12853.0,12993.0,-203,-1.5,4745447.0,2
22/10/31,13389.0,13493.0,13119.0,13163.0,+170,+1.3,4436744.0,1
22/11/01,13066.0,13253.0,13039.0,13233.0,+70,+0.5,3033330.0,2
22/11/02,13163.0,13233.0,12956.0,12956.0,-277,-2.1,3581136.0,1
22/11/04,12666.0,12849.0,12539.0,12649.0,-307,-2.4,4448444.0,1
22/11/07,12896.0,13209.0,12856.0,13129.0,+480,+3.8,4373444.0,2
22/11/08,13333.0,13659.0,13276.0,13563.0,+434,+3.3,4977050.0,2
22/11/09,13796.0,13909.0,13653.0,13783.0,+220,+1.6,4651247.0,1
22/11/10,13583.0,13763.0,13506.0,13639.0,-144,-1.0,3915339.0,2
22/11/11,14339.0,14966.0,14303.0,14789.0,"+1,150",+8.4,12543425.0,2
22/11/14,15299.0,15313.0,14936.0,15133.0,+344,+2.3,6182162.0,1
22/11/15,15119.0,15303.0,14943.0,15216.0,+83,+0.5,4987250.0,2
22/11/16,15366.0,15593.0,15083.0,15466.0,+250,+1.6,5900159.0,2
22/11/17,14949.0,15159.0,14859.0,15009.0,-457,-3.0,4635646.0,2
22/11/18,15166.0,15273.0,14843.0,14863.0,-146,-1.0,4234242.0,1
22/11/21,15003.0,15036.0,14853.0,14916.0,+53,+0.4,2963130.0,1
22/11/22,14883.0,14956.0,14773.0,14929.0,+13,+0.1,2688027.0,2
22/11/24,15366.0,15506.0,15336.0,15459.0,+530,+3.6,4125641.0,2
22/11/25,15409.0,15449.0,15283.0,15339.0,-120,-0.8,2644826.0,1
22/11/28,15143.0,15216.0,15063.0,15099.0,-240,-1.6,2515825.0,1
22/11/29,14939.0,15063.0,14863.0,14936.0,-163,-1.1,2790628.0,1
22/11/30,14849.0,15029.0,14763.0,15029.0,+93,+0.6,4177842.0,2
22/12/01,15766.0,15773.0,15546.0,15633.0,+604,+4.0,5317853.0,1
22/12/02,15446.0,15673.0,15419.0,15579.0,-54,-0.3,3700837.0,2
22/12/05,15509.0,15669.0,15343.0,15366.0,-213,-1.4,3259233.0,1
22/12/06,15279.0,15569.0,15249.0,15526.0,+160,+1.0,2627426.0,2
22/12/07,15306.0,15366.0,14929.0,14939.0,-587,-3.8,4307743.0,1
22/12/08,14866.0,14979.0,14696.0,14799.0,-140,-0.9,3129031.0,1
22/12/09,14836.0,15276.0,14833.0,15233.0,+434,+2.9,4956650.0,2
22/12/12,14999.0,15149.0,14949.0,15083.0,-150,-1.0,2239522.0,2
22/12/13,15216.0,15259.0,14969.0,15096.0,+13,+0.1,3268533.0,1
22/12/14,15286.0,15496.0,15209.0,15383.0,+287,+1.9,3557136.0,2
22/12/15,15303.0,15373.0,15246.0,15276.0,-107,-0.7,2436624.0,1
22/12/16,14809.0,14863.0,14563.0,14593.0,-683,-4.5,5115051.0,1
22/12/19,14359.0,14509.0,14323.0,14369.0,-224,-1.5,2786728.0,2
22/12/20,14233.0,14343.0,13716.0,13863.0,-506,-3.5,6042360.0,1
22/12/21,13789.0,13926.0,13656.0,13656.0,-207,-1.5,3932739.0,1
22/12/22,13783.0,13859.0,13556.0,13566.0,-90,-0.7,3194432.0,1
22/12/23,13133.0,13176.0,12959.0,13066.0,-500,-3.7,4122341.0,1
22/12/26,13003.0,13396.0,13003.0,13356.0,+290,+2.2,2288123.0,2
22/12/27,13459.0,13516.0,13193.0,13226.0,-130,-1.0,2378124.0,1
22/12/28,12999.0,13106.0,12963.0,13096.0,-130,-1.0,2759728.0,2
22/12/29,12906.0,13046.0,12886.0,13036.0,-60,-0.5,2590826.0,2
22/12/30,13229.0,13279.0,12936.0,12959.0,-77,-0.6,3072631.0,1
23/01/04,12779.0,12923.0,12739.0,12803.0,-156,-1.2,2853629.0,2
23/01/05,13036.0,13416.0,12916.0,13316.0,+513,+4.0,4154442.0,2
23/01/06,13133.0,13739.0,13106.0,13723.0,+407,+3.1,4555546.0,2
23/01/10,14189.0,14209.0,13976.0,14146.0,+423,+3.1,4134641.0,1
