stockDate,start,high,low,end,前日比,前日比%,volume,flag
22/09/21,"2,151.0","2,159.0","2,143.0","2,150.0",－,－,935700.0,1
22/09/22,"2,150.0","2,176.0","2,146.0","2,159.0",+9.0,+0.4,1181700.0,2
22/09/26,"2,146.0","2,167.0","2,142.0","2,152.0",-7.0,-0.3,1996400.0,2
22/09/27,"2,166.0","2,180.0","2,149.0","2,163.0",+11.0,+0.5,1317000.0,1
22/09/28,"2,146.0","2,174.0","2,146.0","2,173.0",+10.0,+0.5,1469600.0,2
22/09/29,"2,138.0","2,185.0","2,131.0","2,173.0",0.0,0.0,1427400.0,2
22/09/30,"2,179.0","2,196.0","2,168.0","2,177.0",+4.0,+0.2,2114900.0,1
22/10/03,"2,166.0","2,186.0","2,150.0","2,181.0",+4.0,+0.2,1113400.0,2
22/10/04,"2,214.0","2,261.0","2,204.0","2,260.0",+79.0,+3.6,1508500.0,2
22/10/05,"2,266.0","2,269.0","2,246.0","2,253.0",-7.0,-0.3,1196500.0,1
22/10/06,"2,265.0","2,273.0","2,250.0","2,250.0",-3.0,-0.1,1080700.0,1
22/10/07,"2,227.0","2,232.0","2,201.0","2,220.0",-30.0,-1.3,1314700.0,1
22/10/11,"2,209.0","2,209.0","2,174.0","2,182.0",-38.0,-1.7,1461800.0,1
22/10/12,"2,182.0","2,206.0","2,171.0","2,195.0",+13.0,+0.6,1002300.0,2
22/10/13,"2,194.0","2,196.0","2,170.0","2,179.0",-16.0,-0.7,947400.0,1
22/10/14,"2,197.0","2,215.0","2,186.0","2,205.0",+26.0,+1.2,1301700.0,2
22/10/17,"2,190.0","2,192.0","2,155.0","2,156.0",-49.0,-2.2,983300.0,1
22/10/18,"2,195.0","2,210.0","2,189.0","2,191.0",+35.0,+1.6,1347600.0,1
22/10/19,"2,197.0","2,215.0","2,193.0","2,210.0",+19.0,+0.9,708700.0,2
22/10/20,"2,189.0","2,205.0","2,177.0","2,192.0",-18.0,-0.8,869400.0,2
22/10/21,"2,175.0","2,192.0","2,167.0","2,174.0",-18.0,-0.8,758800.0,1
22/10/24,"2,190.0","2,194.0","2,148.0","2,166.0",-8.0,-0.4,961300.0,1
22/10/25,"2,183.0","2,195.0","2,163.0","2,177.0",+11.0,+0.5,1389400.0,1
22/10/26,"2,175.0","2,202.0","2,173.0","2,183.0",+6.0,+0.3,832100.0,2
22/10/27,"2,176.0","2,193.0","2,169.0","2,177.0",-6.0,-0.3,1218300.0,2
22/10/28,"2,152.0","2,188.0","2,144.0","2,179.0",+2.0,+0.1,4837200.0,2
22/10/31,"2,197.0","2,210.0","2,178.0","2,204.0",+25.0,+1.1,1335800.0,2
22/11/01,"2,214.0","2,229.0","2,211.0","2,229.0",+25.0,+1.1,671200.0,2
22/11/02,"2,220.0","2,255.0","2,220.0","2,253.0",+24.0,+1.1,1023100.0,2
22/11/04,"2,218.0","2,228.0","2,161.0","2,181.0",-72.0,-3.2,1399300.0,1
22/11/07,"2,199.0","2,235.0","2,185.0","2,225.0",+44.0,+2.0,1241100.0,2
22/11/08,"2,260.0","2,304.0","2,203.0","2,222.0",-3.0,-0.1,3166700.0,1
22/11/09,"2,243.0","2,296.0","2,230.0","2,281.0",+59.0,+2.7,2027500.0,2
22/11/10,"2,270.0","2,272.0","2,238.0","2,245.0",-36.0,-1.6,1350700.0,1
22/11/11,"2,304.0","2,320.0","2,290.0","2,308.0",+63.0,+2.8,1835200.0,2
22/11/14,"2,316.0","2,329.0","2,298.0","2,322.0",+14.0,+0.6,1250600.0,2
22/11/15,"2,329.0","2,339.0","2,319.0","2,332.0",+10.0,+0.4,868900.0,2
22/11/16,"2,321.0","2,349.0","2,309.0","2,346.0",+14.0,+0.6,912600.0,2
22/11/17,"2,347.0","2,357.0","2,342.0","2,354.0",+8.0,+0.3,897100.0,2
22/11/18,"2,345.0","2,349.0","2,314.0","2,327.0",-27.0,-1.1,851400.0,1
22/11/21,"2,316.0","2,322.0","2,288.0","2,288.0",-39.0,-1.7,774500.0,1
22/11/22,"2,290.0","2,326.0","2,286.0","2,316.0",+28.0,+1.2,907100.0,2
22/11/24,"2,316.0","2,338.0","2,295.0","2,331.0",+15.0,+0.6,1253500.0,2
22/11/25,"2,328.0","2,360.0","2,320.0","2,355.0",+24.0,+1.0,1348400.0,2
22/11/28,"2,365.0","2,366.0","2,345.0","2,353.0",-2.0,-0.1,1072600.0,1
22/11/29,"2,339.0","2,352.0","2,311.0","2,315.0",-38.0,-1.6,995300.0,1
22/11/30,"2,299.0","2,310.0","2,269.0","2,293.0",-22.0,-1.0,2437900.0,1
22/12/01,"2,342.0","2,363.0","2,327.0","2,343.0",+50.0,+2.2,1660400.0,2
22/12/02,"2,328.0","2,328.0","2,287.0","2,309.0",-34.0,-1.5,1035700.0,1
22/12/05,"2,301.0","2,322.0","2,288.0","2,318.0",+9.0,+0.4,1180500.0,2
22/12/06,"2,276.0","2,325.0","2,276.0","2,313.0",-5.0,-0.2,1237400.0,2
22/12/07,"2,285.0","2,326.0","2,279.0","2,321.0",+8.0,+0.3,1333300.0,2
22/12/08,"2,320.0","2,324.0","2,266.0","2,288.0",-33.0,-1.4,1128200.0,1
22/12/09,"2,328.0","2,335.0","2,300.0","2,319.0",+31.0,+1.4,2031600.0,1
22/12/12,"2,320.0","2,335.0","2,311.0","2,319.0",0.0,0.0,530900.0,1
22/12/13,"2,345.0","2,372.0","2,345.0","2,349.0",+30.0,+1.3,1056300.0,2
22/12/14,"2,354.0","2,364.0","2,345.0","2,349.0",0.0,0.0,822600.0,1
22/12/15,"2,340.0","2,357.0","2,335.0","2,343.0",-6.0,-0.3,808800.0,2
22/12/16,"2,313.0","2,326.0","2,293.0","2,299.0",-44.0,-1.9,1211100.0,1
22/12/19,"2,294.0","2,296.0","2,258.0","2,270.0",-29.0,-1.3,873100.0,1
22/12/20,"2,268.0","2,281.0","2,180.0","2,205.0",-65.0,-2.9,1039400.0,1
22/12/21,"2,189.0","2,213.0","2,185.0","2,200.0",-5.0,-0.2,1094700.0,2
22/12/22,"2,195.0","2,195.0","2,169.0","2,178.0",-22.0,-1.0,945600.0,1
22/12/23,"2,168.0","2,198.0","2,167.0","2,185.0",+7.0,+0.3,687700.0,2
22/12/26,"2,189.0","2,189.0","2,166.0","2,174.0",-11.0,-0.5,1252600.0,1
22/12/27,"2,177.0","2,182.0","2,154.0","2,161.0",-13.0,-0.6,948300.0,1
22/12/28,"2,168.0","2,171.0","2,146.0","2,156.0",-5.0,-0.2,1061600.0,1
22/12/29,"2,147.0","2,154.0","2,101.0","2,110.0",-46.0,-2.1,1266500.0,1
22/12/30,"2,112.0","2,118.0","2,087.0","2,087.0",-23.0,-1.1,1204200.0,1
23/01/04,"2,090.0","2,094.0","2,057.0","2,076.0",-11.0,-0.5,1207300.0,1
23/01/05,"2,061.0","2,064.0","2,036.0","2,043.0",-33.0,-1.6,1495800.0,1
23/01/06,"2,031.0","2,054.0","2,027.0","2,046.0",+3.0,+0.1,1002100.0,2
23/01/10,"2,031.0","2,043.0","2,017.0","2,026.0",-20.0,-1.0,1132800.0,1
23/01/11,"2,039.0","2,069.0","2,039.0","2,062.0",+36.0,+1.8,1183100.0,2
23/01/12,"2,073.0","2,077.0","2,043.0","2,043.0",-19.0,-0.9,885900.0,1
23/01/13,"2,044.0","2,060.0","2,029.0","2,031.0",-12.0,-0.6,1041200.0,1
23/01/16,"2,012.0","2,028.0","2,008.0","2,027.0",-4.0,-0.2,693800.0,2
23/01/17,"2,023.0","2,047.0","2,020.0","2,041.0",+14.0,+0.7,827500.0,2
