stockDate,start,high,low,end,前日比,前日比%,volume,flag
22/10/14,4140.0,4165.0,4080.0,4100.0,－,－,1843500.0,1
22/10/17,4040.0,4050.0,3985.0,4005.0,-95,-2.3,1953300.0,1
22/10/18,4100.0,4125.0,4055.0,4105.0,+100,+2.5,1254400.0,2
22/10/19,4115.0,4155.0,4090.0,4100.0,-5,-0.1,997700.0,1
22/10/20,4030.0,4075.0,3995.0,4065.0,-35,-0.9,1539900.0,2
22/10/21,4050.0,4060.0,4010.0,4045.0,-20,-0.5,1103900.0,1
22/10/24,4105.0,4160.0,4085.0,4090.0,+45,+1.1,1303300.0,1
22/10/25,4080.0,4095.0,4035.0,4060.0,-30,-0.7,1333600.0,1
22/10/26,4085.0,4120.0,4070.0,4070.0,+10,+0.2,1322200.0,1
22/10/27,4110.0,4210.0,4100.0,4170.0,+100,+2.5,1897300.0,2
22/10/28,4105.0,4120.0,4025.0,4025.0,-145,-3.5,3344200.0,1
22/10/31,4090.0,4130.0,4075.0,4130.0,+105,+2.6,1674500.0,2
22/11/01,4120.0,4170.0,4105.0,4165.0,+35,+0.8,808200.0,2
22/11/02,4100.0,4135.0,4070.0,4105.0,-60,-1.4,1004900.0,2
22/11/04,4035.0,4110.0,4005.0,4110.0,+5,+0.1,1637800.0,2
22/11/07,4135.0,4230.0,4130.0,4200.0,+90,+2.2,1312700.0,2
22/11/08,4270.0,4315.0,4255.0,4315.0,+115,+2.7,1483900.0,2
22/11/09,4340.0,4355.0,4295.0,4335.0,+20,+0.5,1389300.0,1
22/11/10,4270.0,4280.0,4210.0,4235.0,-100,-2.3,941600.0,1
22/11/11,4415.0,4565.0,4405.0,4565.0,+330,+7.8,2855600.0,2
22/11/14,4585.0,4610.0,4540.0,4570.0,+5,+0.1,1375500.0,1
22/11/15,4530.0,4570.0,4515.0,4555.0,-15,-0.3,942500.0,2
22/11/16,4580.0,4590.0,4510.0,4535.0,-20,-0.4,990700.0,1
22/11/17,4470.0,4495.0,4430.0,4450.0,-85,-1.9,821600.0,1
22/11/18,4455.0,4470.0,4410.0,4415.0,-35,-0.8,895200.0,1
22/11/21,4430.0,4455.0,4325.0,4405.0,-10,-0.2,1164400.0,1
22/11/22,4380.0,4465.0,4355.0,4425.0,+20,+0.5,815400.0,2
22/11/24,4500.0,4535.0,4475.0,4495.0,+70,+1.6,986500.0,1
22/11/25,4500.0,4500.0,4445.0,4470.0,-25,-0.6,599800.0,1
22/11/28,4445.0,4475.0,4425.0,4470.0,0,0.0,784300.0,2
22/11/29,4430.0,4485.0,4430.0,4475.0,+5,+0.1,963500.0,2
22/11/30,4450.0,4465.0,4415.0,4445.0,-30,-0.7,1311300.0,1
22/12/01,4620.0,4620.0,4545.0,4565.0,+120,+2.7,1246500.0,1
22/12/02,4545.0,4550.0,4475.0,4525.0,-40,-0.9,914500.0,1
22/12/05,4530.0,4680.0,4525.0,4665.0,+140,+3.1,1831900.0,2
22/12/06,4620.0,4665.0,4595.0,4620.0,-45,-1.0,1232200.0,0
22/12/07,4600.0,4620.0,4555.0,4560.0,-60,-1.3,1091300.0,1
22/12/08,4560.0,4565.0,4475.0,4550.0,-10,-0.2,1071500.0,1
22/12/09,4545.0,4655.0,4530.0,4610.0,+60,+1.3,1252000.0,2
22/12/12,4590.0,4630.0,4580.0,4625.0,+15,+0.3,556200.0,2
22/12/13,4690.0,4700.0,4610.0,4610.0,-15,-0.3,663300.0,1
22/12/14,4640.0,4685.0,4630.0,4645.0,+35,+0.8,636600.0,2
22/12/15,4600.0,4620.0,4585.0,4590.0,-55,-1.2,621300.0,1
22/12/16,4475.0,4495.0,4440.0,4450.0,-140,-3.1,1542400.0,1
22/12/19,4415.0,4460.0,4405.0,4440.0,-10,-0.2,781200.0,2
22/12/20,4440.0,4440.0,4240.0,4280.0,-160,-3.6,1300600.0,1
22/12/21,4290.0,4305.0,4240.0,4265.0,-15,-0.4,1009600.0,1
22/12/22,4310.0,4345.0,4260.0,4295.0,+30,+0.7,752100.0,1
22/12/23,4225.0,4280.0,4190.0,4245.0,-50,-1.2,928800.0,2
22/12/26,4230.0,4320.0,4230.0,4315.0,+70,+1.6,788600.0,2
22/12/27,4345.0,4355.0,4275.0,4290.0,-25,-0.6,469900.0,1
22/12/28,4260.0,4290.0,4225.0,4265.0,-25,-0.6,715600.0,2
22/12/29,4235.0,4265.0,4220.0,4260.0,-5,-0.1,671400.0,2
22/12/30,4315.0,4330.0,4225.0,4225.0,-35,-0.8,979000.0,1
23/01/04,4190.0,4195.0,4120.0,4140.0,-85,-2.0,1185700.0,1
23/01/05,4165.0,4225.0,4140.0,4205.0,+65,+1.6,1158700.0,2
23/01/06,4135.0,4160.0,4065.0,4145.0,-60,-1.4,2291100.0,2
