newsDate,content,stockDate,start,end,flag,nikkeiFlag,predictScore
22/12/22,"JALは、現行（2022年12月から2023年1月発券分）の「燃油特別付加運賃」（通称「燃油サーチャージ」）の適用額を、2023年2月から3月に発券される航空券についても同額で適用することとしました。 JALでは、燃油特別付加運賃額を2カ月ごとに、直近2カ月間の燃油市況価格平均に基づき見直しています。2022年10月から11月のシンガポールケロシン市況価格2カ月平均は、1バレルあたり122.19米ドルでした。これに同期間の為替平均1米ドル144.73円を乗じたシンガポールケロシン市況の円貨換算額は17,683円となり、2023年2月から3月に発券される航空券に適用される燃油特別付加運賃は、条件表のZone L（17,000円基準）の金額を継続します。  【国際線「燃油特別付加運賃」の概要】 適用期間：2023年2月1日（水）から3月31日（金）発券分まで 運賃額　：日本発旅程　（金額はお一人さま一区間片道あたり） ◆ 改定条件 1）2023年2月1日（水）から3月31日（金）までの発券分については、今後の航空燃油価格の水準にかかわらず、 上記適用額からの変更は原則行いません。 ただし、政府認可状況により、金額や改定時期、適用期間が変更となる場合があります。 2）2023年4月以降発券分の燃油特別付加運賃については、2023年2月にご案内予定です。 3）2カ月間の市況平均が1バレルあたり6,000円を下回った場合、本運賃を適用しません。  ◆ 適用条件 1）大人・小児ともに同額をご負担いただきます。座席を使用されない2歳未満の幼児は対象外です。 また、JALマイレージバンク国際線特典航空券ご利用のお客さまにも同額をご負担いただきます。 2）航空券ご購入後に払戻しする場合、燃油特別付加運賃には取消手数料は適用されません。  最新情報、詳細情報は http://www.jal.co.jp/inter/if.html　にて更新します。  以上 この画像の著作権その他の知的財産権については、当社またはその提供者が権利を有します。個人的使用または非営利目的の場合のみダウンロードして使用いただけます。但し、報道目的の場合はこの限りではありません。",22/12/22,"2,680.0","2,679.0",1,1,none
22/12/22,"2022年12月22日 明治安田生命保険相互会社 日本航空株式会社  明治安田生命保険相互会社（本社：東京都千代田区、執行役社長：永島 英器、以下「明治安田生命」）と日本航空株式会社（本社：東京都品川区、代表取締役社長：赤坂 祐二、以下「JAL」）は、このたび、地域社会の課題解決や活性化等に向けた取り組みを共同で推進することとし、2023年1月より活動を開始します。  地方では、人口減少・少子高齢化等を主な要因として地域経済が縮小するなど、さまざまな社会課題が顕在化しています。 このような中、「ひとに健康を、まちに元気を。」を掲げる明治安田生命は、「地元の元気プロジェクト」（注１）を展開しており、地域に根差した各種取り組みによる「豊かな社会づくり」への貢献を通じて、地域社会が抱えるさまざまな課題・ニーズに応えていくことを目指しています。 また、JALは、「地域を元気に！笑顔をつなぐ！」をスローガンに掲げ、全社員が一丸となって地域が抱える多様な地域ニーズに対応し、さまざまな課題解決に取り組む「JALふるさとプロジェクト」（注２）を推進しています。  このたび、「地域社会の活性化」の推進に貢献するという想いを持つ両社が、共同で取り組みを展開することに至りました。具体的には、2021年4月から明治安田生命が「地域コミュニティの持続的な発展」をテーマとして、企業等との幅広い協業のもと全国の公民館にて展開している「地元の『公民館』元気プロジェクト」（注3）において、JALの客室乗務員により結成された「JALふるさと応援隊」（注４）を講師とする「こども航空教室」と「マナー講座」の2講座を新たに開設します。  「こども航空教室」は、地域での職業教育の一環として開設し、地域の子供たちの知的好奇心や興味関心に応えるとともに、航空業界を含めて将来の仕事について考えるきっかけとなることを目指します。また、「マナー講座」は、次世代人財の育成やビジネススキル向上の一環として開設し、客室乗務員の実務経験に基づく「おもてなしの心の実践」に触れていただくことで、地域の皆さまが世界に通じるマナーの初歩を身に着けられるようにお手伝いします。  両社は本取り組みを端緒として、多様化する地域のニーズなどに応える共同活動を継続的に推進し、これまで以上に持続可能な地域社会の実現に貢献してまいります。 2022年8月に試行実施した公民館での「マナー講座」の様子  （注１） 地元がいつまでも活気あふれる場所であるように、「つながり」や「ふれあい」、「ささえあい」の機会をお届けし、持続的な発展を支援する取り組み プロジェクト詳細：https://www.meijiyasuda.co.jp/brand/ld/jimotonogenki/ （注２） 詳細については、JALホームページを参照　https://japan.jal.co.jp/  （注３） 2021年3月25日付リリース 全国の公民館 で「地元の『公民館』元気プロジェクト」を開始 ～「地域 コミュニティの 持続的 な発展 」をテーマに 公民館 での 活動 を共同推進 ～ https://www.meijiyasuda.co.jp/profile/news/release/2020/pdf/20210325_01.pdf （注４） 全国各地域の活性化をきめ細やかに応援するために、社内公募により選ばれた「JALふるさと応援隊」は、全国47都道府県ごとに約20名、総勢約1,000名の客室乗務員が活動しています 以上 この画像の著作権その他の知的財産権については、当社またはその提供者が権利を有します。個人的使用または非営利目的の場合のみダウンロードして使用いただけます。但し、報道目的の場合はこの限りではありません。",22/12/22,"2,680.0","2,679.0",1,1,none
22/12/23,～東アジア最高品質のWi-FiをJ-AIR運航便でも～ ～東アジア最高品質のWi-FiをJ-AIR運航便でも～ JALグループで大阪国際空港（伊丹）を拠点とするJ-AIRは、2022年12月26日（月）より、日本で初めてリージョナル機（100席未満の小型機）での機内インターネットサービスの提供を開始します。今後は順次改修作業を進めていき、2024年秋ごろまでにJ-AIRのエンブラエル190型機全14機でサービスが利用可能となる予定です。  JALは、お客さまの自由で快適な航空移動の実現に向け、2017年6月に日本で初めて国内線の機内インターネットサービス無償提供を開始し、機内環境の充実に取り組んでまいりました。機内インターネットサービスはお客さまから大変ご好評をいただいており、2022年6月に開催された「2022 Passenger Choice Award by APEX（*）」では「Best Wi-Fi in Eastern Asia」に認定され　4期連続の受賞となりましたが、今回のリージョナル機への導入で、より多くのお客さまに東アジアで最高品質のWi-Fiサービスを体験いただけるようになります。 （*）APEX（Airline Passenger Experience Association）は北米を拠点にする世界最大のエアライン業界団体の一つで世界の航空会社、空港、エアライン関連サプライヤーなどが参加する非営利団体。Passenger Choice Awardは、APEXが第三者機関を通じて100万人以上の航空利用者を対象に、600社以上の航空会社の座席の快適性・機内サービス・機内食・機内エンターテインメント・Wi-Fiに関するアンケート調査を行い、最も優れたサービス品質を提供する航空会社を地域ごとに表彰を実施。機内Wi-Fiの表彰は2017年から始まり、JALはこれまで4度「Best Wi-Fi」に選ばれ、アジアで最多受賞している。  JALグループは、お客さまに便利で快適な空の旅をお楽しみいただけるよう、今後も新たな価値を創造し、　日本の空の旅の変革に挑戦してまいります。  1. サービス概要 対象機材 ： J-AIR エンブラエル190型機 14機（エンブラエル170型機はサービス対象外） 運航路線 ： 羽田=山形/三沢/宮崎、伊丹=仙台/鹿児島 などの一部便にて順次導入予定 ※サービスの詳細はURLを参照ください。J-AIR機内サービスページ ： https://www.jal.co.jp/jp/ja/dom/special/jair/ 2. 導入スケジュール　※スケジュールは変更になる場合がございます。 • 2022年12月26日（月） 初号機（JA245J）にてサービス提供開始（初便はJL2201便を予定） • 2024年秋ごろ（予定） エンブラエル190型機全14機でサービスを提供 以上 この画像の著作権その他の知的財産権については、当社またはその提供者が権利を有します。個人的使用または非営利目的の場合のみダウンロードして使用いただけます。但し、報道目的の場合はこの限りではありません。,22/12/23,"2,670.0","2,670.0",0,2,none
22/12/23,1． JALグループ 2022年11月 国際線輸送実績 2． JALグループ 2022年11月 国内線輸送実績 3． JALグループ 2022年11月 貨物郵便輸送実績 4． JALグループ 2022年11月 運航状況  以上 この画像の著作権その他の知的財産権については、当社またはその提供者が権利を有します。個人的使用または非営利目的の場合のみダウンロードして使用いただけます。但し、報道目的の場合はこの限りではありません。,22/12/23,"2,670.0","2,670.0",0,2,none
22/12/26,"第一弾は、2023年2月に奄美大島にて、「Ode」生井 祐介シェフによるスペシャルディナーを提供 第一弾は、2023年2月に奄美大島にて、「Ode」生井 祐介シェフによるスペシャルディナーを提供 （共同リリース） 2022年12月26日 日本航空株式会社 株式会社ジャルパック 株式会社ルッソ  日本航空株式会社（本社：東京都品川区、代表取締役社長：赤坂 祐二、以下「JAL」）、株式会社ジャルパック（本社：東京都品川区、社長：平井 登、以下「ジャルパック」）、株式会社ルッソ（所在地：東京都品川区、代表取締役社長：島村 美緒、以下「ルッソ」）は、「食」を切り口に、地域の食材や文化を発信し、その地域への興味関心を喚起することで、地域への誘客を目指すガストロノミーツーリズム「Fly to the Table ～A Journey of Flavors～」(*1)を開始します。 本ツアーでは、トップシェフとその地域に根付く食材や伝統料理がコラボレーションした、その日限りのガストロノミーイベントをお客さまにご堪能いただきます。トップシェフのクリエイティビティとその地域の食材が持つオリジナリティが掛け合わさることで、実際に足をお運び頂いたお客さまにしか出会えない唯一無二の食体験をご提供し、各食材に込められた生産者の想い、伝統料理に込められた歴史的背景などを体感していただきます。 (*1) ガストロノミーツーリズムとは、その土地の気候風土が生んだ食材・習慣・伝統・歴史などによって育まれた食を楽しみ、その土地の食文化に触れることを目的としたツーリズムを指す。（観光庁のサイトより引用）  専用Webサイト：（PC版）https://www.jal.co.jp/domtour/gastronomy-trip/ （スマホ版）https://sp.jal.co.jp/domtour/gastronomy-trip/  本ツアーは、JALの社内ベンチャーチーム「W-PIT」とルッソとの共創により発案された企画です。日本各地の食材を紹介し、それらを販売することで、「食」を通じた関係人口の増加を目指してきたJALグループと、「アジアのベストレストラン50」ローカルイベントプロデュースやPR、トップシェフたちとのローカルガストロノミー企画を手掛けてきたルッソが連携することで、新たな旅の体験として、独自の「ガストロノミーツーリズム」を提供し、地域への誘客に加えて、日本における食文化のさらなる発展や、「食文化」を軸とした都市（美食都市）づくりに貢献してまいります。  第一弾は、2023年2月に、豊かな生態系とありのままの自然が残る奄美大島にて実施します。奄美大島では、料理や食べ物のことを「シマヌジュウリ」と呼び、日本国内においても独自の食文化を持っています。こうした奄美大島の食文化をベースに、アジアの「ベストレストラン50 2022」で13位に輝いた、東京・広尾「Ode」のオーナーシェフである生井 祐介氏が、地元の食材を使い、オリジナルの料理を創り上げます。 ディナー会場は、ツアーの宿泊先である「伝泊 The Beachfront MIJORA」にあるレストラン「2 waters」です。 圧倒的な自然と美しい海に囲まれた環境において、日常の喧騒を忘れ、心の奥行きを調える時間をお過ごしください。 ツアーの宿泊先である「伝泊 The Beachfront MIJORA」  第二弾は和歌山県にて2023年夏頃に開催を予定しており、それ以降も継続的に展開してまいります。 JAL、ジャルパック、ルッソは、日本各地の「食」の魅力を発掘し、これまでにない食体験を通じて、日本社会のさらなる成長に寄与してまいります。  ■「Fly to the Table ～A Journey of Flavors～」　第一弾 概要 出発日　：2023年2月25日（土） 出発地　：東京（羽田空港）　※現地発着プランの設定もあります。 宿泊先　：「伝泊 The Beachfront MIJORA」 定員　　：20名（最少催行人員15名） 旅行代金：東京発　2日間（1泊2日）コース　168,000円～218,000円（税込） 東京発　3日間（2泊3日）コース　198,000円～248,000円（税込） 現地発　2日間（1泊2日）コース　118,000円～168,000円（税込） 現地発　3日間（2泊3日）コース　158,000円～208,000円（税込） 内容　　：初日の2月25日の夕食時間帯に、「伝泊 The Beachfront MIJORA」内のレストラン「2 waters」にて、 東京・広尾「Ode」の生井シェフによる奄美大島の食材を使ったスペシャルディナーを提供します。  申込方法：2022年12月26日（月）14:00から2023年1月15日（日）23:59までに 以下専用Webサイトよりお申し込みください。 なお、本ツアーは抽選販売となります。 専用Webサイト：（PC版）https://www.jal.co.jp/domtour/gastronomy-trip/amami/ （スマホ版）https://sp.jal.co.jp/domtour/gastronomy-trip/amami/  ■東京・広尾「Ode」のオーナーシェフ 生井 祐介氏について 1975年、東京都生まれ。音楽の道を志していた最中、25歳で料理の世界に惹かれ転向。都内フランス料理店で働いた後、2003年より「レストランJ」（東京・表参道）、「マサズ」（長野・軽井沢）の植木　将仁氏のもとで約5年間修業。同じ軽井沢の「ウルー」で3年間シェフを務めた後、2012年11月、東京・八丁堀の「シック・プッテートル」のシェフに。2017年3月より新店準備に入り、同年9月に「Ode」（東京・広尾）をオープン。2020年、Asia’s 50 Best Restaurantsで35位、2021年は27位、2022年は13位（Highest Climber Award）にランクイン。  ■ルッソについて 2013年に設立されたコミュニケーション・コンサルティング会社。米ディズニーやNYの高級ジュエラー、ハリー・ウィンストンのマーケティング・PRのトップを歴任した創業者のネットワークを中心に、様々な企業へのコンサルティング業務を行っている。2017年には日本のプレミアムな情報を紹介するオンラインメディア「Premium Japan」を買収し、メディア事業に参入。近年では「アジアのベストレストラン50」など、ファインダイニング関連のプロジェクトを多数プロデュースしている。  ■JAL社内ベンチャーチーム「W-PIT」について 「W-PIT」は、Wakuwakuをキーコンセプトに、異業種共創を通じて新たな価値創造に挑戦するJAL公認の社内ベンチャーチーム。 Wakuwaku-Platform Innovation Teamの略。2017年に設立し、現在、約220名の社員が集う。 「W-PIT」公式サイトURL : https://wpit-official.themedia.jp/ この画像の著作権その他の知的財産権については、当社またはその提供者が権利を有します。個人的使用または非営利目的の場合のみダウンロードして使用いただけます。但し、報道目的の場合はこの限りではありません。",22/12/26,"2,670.0","2,677.0",2,2,none
23/01/06,・ベトナム料理、イタリア料理、日本料理の各ジャンルのシェフ3名が、それぞれ機内食をトータルコーディネート ・シェフの想い、おいしさの秘密、開発の裏側を紹介するオリジナル映像を機内エンターテインメントとWebサイトで放映 ・ベトナム料理、イタリア料理、日本料理の各ジャンルのシェフ3名が、それぞれ機内食をトータルコーディネート ・シェフの想い、おいしさの秘密、開発の裏側を紹介するオリジナル映像を機内エンターテインメントとWebサイトで放映 JALは、これまでSDGs達成に向けさまざまな機内食の取り組み(*1)を実施しており、その一環として、2021年10月より国際線中・長距離線のプレミアムエコノミー・エコノミークラスの機内食で「未来に残す機内食」をテーマとした「RED à table(レッドアターブル)」を提供しています。今回の新メニューでは、新時代の若き才能を発掘する、日本最大級の料理人コンペティション「RED U-35」にて過去に優秀な成績を収めた、ベトナム料理・イタリア料理・日本料理の各ジャンルの先鋭シェフ3名による監修メニューを導入します。 蓋を開けて立ち上る香りやそれぞれの食材の食感、見た目はもちろん、「未来の食材50」(*2)も取り入れながら、各シェフが趣向を凝らして創りあげたメニューをお楽しみいただけます。また、一つ一つのメニューに込めたシェフの想いや、おいしさの秘密、開発の裏側などを紹介する動画も、機内エンターテインメントとWebサイトで引き続きご覧いただけます。 オリジナル映像参照URL　：　https://www.youtube.com/watch?v=rY57vJ1gbsg (*1)「SDGsをテーマとした機内食を提供」 参照URL：https://www.jal.co.jp/jp/ja/info/2020/inter/200907/ 2022年11月16日付プレスリリース第22077号「機内食におけるSDGsに配慮した取り組みがさらに拡大」 参照URL：https://press.jal.co.jp/ja/release/202211/007042.html (*2)ユニリーバ社と英国WWF(世界自然保護基金)が安全性や栄養価などの観点から提唱する持続可能な食材 【機内食概要】 日本発長距離線国際線ファーストクラスとビジネスクラスの機内食のアラカルトメニューで採用していた「未来の食材50」を、「RED à table」にも取り入れました。また、今回のメニューからは、主菜用の容器と蓋、トレーマットに、森林資源に配慮された国際的な認証を取得した紙製品を導入(*3)します。 (*3) 2022年11月10日付プレスリリース第22074号「機内での使い捨てプラスチック削減に向けた取り組みをさらに拡大します」 参照URL：https://press.jal.co.jp/ja/release/202211/007033.html 第一弾メニュー　担当：ドグエンチランシェフ 提供期間：2023年1月10日(火)～4月30日(日)予定  和食メインディッシュ「若鶏と蓮根のおこわ 柚子の香り」  日本だけでなく、シェフのルーツであるベトナムでもポピュラーなおこわを　用いた、両国の文化を感じられる一品。「未来の食材50」の一つで、ベトナムの国花でもある「蓮」を咲かせる蓮根をはじめ、枝豆、舞茸、人参、銀杏などのさまざまな食材を、食感の違いを楽しめるサイズに切り分けています。蓋を開けた際には柚子がふわっと香り、彩も鮮やかに仕上げています。 洋食メインディッシュ「ビーフシチューオムライス」  小さなお子さまから大人まで、開けた瞬間、楽しく喜んでいただけるよう、二つの人気メニューを組み合わせました。枝豆で食感を、パプリカで色味を、アクセントにはココナッツオイルを使用し、見た目の華やかさと味わいの奥行きを増しています。また、お子さまも美味しく野菜を食べられるよう人参ライスを採用しています。お口直しには、酸味と食感を感じていただけるしば漬けを添えています。 第一弾　1月10日～4月30日(予定)　広島 「CHILAN」 ドグエンチランシェフ (ベトナム料理)  東京都生まれ。フランスやオーストラリアをはじめ国内外のレストラン、ビストロ、ワイナリーなどで経験を積み、腕を磨く。2020年、ソムリエである夫とともに、モダンベトナミーズとナチュラルワインのお店「CHILAN」を広島県廿日市市の宮島対岸にオープン。フランス発祥レストランガイドのゴ・エ・ミヨ2021掲載。RED U-35 2021ファイナリストで、飛躍が期待される女性料理人に贈られる岸朝子賞を受賞。一児の母。 第二弾 5月1日～7月31日(予定)　京都 「cenci」 横山耕介シェフ(イタリア料理)  大阪府出身。大学卒業後、京野菜イタリアンのパイオニア「イル•ギオットーネ」で腕を磨き、渡伊。  ローマなど4州で研鑽を積み帰国。2014年「cenci」オープンよりスーシェフに就任。ミシュランガイド京都・大阪 2022にて一つ星として掲載。Asia’s50 best 2022(アジアのベストレストラン50) ランクイン。 第三弾 8月1日～10月31日(予定)　石川 「一本杉 川嶋」　川嶋亨シェフ(日本料理)  石川県生まれ。短大を卒業後、調理師専門学校に入学。卒業後、大阪と京都の日本料理店で腕を磨き、「居酒屋ながほり」（大阪）、「日本の宿 のと楽 割烹 宵待」（石川）では料理長を歴任。2020年に生まれ故郷、石川県七尾市で「一本杉 川嶋」を独立開業。 ■提供路線 ： 羽田・成田発 シカゴ、ダラス、ボストン、ニューヨーク、サンフランシスコ、ロサンゼルス、シアトル、サンディエゴ、バンクーバー、ロンドン、パリ、フランクフルト、ヘルシンキ、モスクワ、シドニー、メルボルン、シンガポール(*5)、クアラルンプール、デリー、ベンガル―ル、ジャカルタ、マニラ(*6)、バンコク(*7)、ハノイ、ホーチミンシティー行き、関西発 ロサンゼルス行き (*5)JL35便除く  (*6)1種類のみのご提供 (*7)JL33便除く ※一部路線では、メニューが変更になる場合がございます。 詳細はURLをご参照下さい。https://www.jal.co.jp/inter/service/newsky/kitchen_gallery/red.html 以上 この画像の著作権その他の知的財産権については、当社またはその提供者が権利を有します。個人的使用または非営利目的の場合のみダウンロードして使用いただけます。但し、報道目的の場合はこの限りではありません。,23/01/06,"2,620.0","2,657.0",2,2,4.6666
23/01/06,2022年度年末年始（2022年12月28日～2023年1月5日）における、JALグループ航空会社便のご利用実績を取りまとめましたので、ご報告します。  国内線は、新型コロナウイルス感染症拡大後、初めて行動制限のない年末年始で、加えて、天候にも恵まれたことで、総旅客数は前年を上回り、また、2019年度対比でも約9割となり、多くの方にご利用いただきました。方面別では、全方面で前年を上回る総旅客数となり、特に東北・北陸方面、関西方面では、前年比で110％を超えました。日別のピークは、下りが12月29日、上りは1月3日となりました。  国際線は、水際対策の緩和や円安によるインバウンド渡航の伸長などにより、総旅客数は前年比で5倍以上となり需要回復の兆しが見え始めています。方面別では、北米線は新型コロナウイルス感染症拡大前の水準まで回復し、東南アジア線も2019年度対比で約74%となりました。また、ハワイ・グアム線は前年比で約21倍のご利用をいただきました。日別のピークは、日本出発は海外への帰国需要も相まって1月2日・1月3日が中心となり、日本到着は1月3日となりました。  【JALグループご利用実績】 ※前年比は2021年12月28日～2022年1月5日、FY19比は2019年12月28日～2020年1月5日の実績と比較  詳細につきましては、添付別紙をご覧ください。 以上 この画像の著作権その他の知的財産権については、当社またはその提供者が権利を有します。個人的使用または非営利目的の場合のみダウンロードして使用いただけます。但し、報道目的の場合はこの限りではありません。,23/01/06,"2,620.0","2,657.0",2,2,4.6666
23/01/16,JALは、女子アマチュアゴルファー馬場 咲希（ばば さき）選手とサポート契約を締結しました。  馬場選手は、お父さまの勧めで5歳からゴルフを始め、2022年6月の全米女子オープンで日本人アマとして8年ぶりの決勝進出（49位）を果たし、2022年8月の全米女子アマチュアゴルフ選手権では、日本人として37年ぶりの優勝を果たしました。日本では、2022年5月のブリヂストンレディースオープンにてベストアマチュア(*)、2022年9-10月の日本女子オープンゴルフ選手権にてローアマチュア(*)を獲得しました。2023年も引き続き国内・海外のメジャー大会に挑戦します。 JALは、世界へ羽ばたき、果敢にチャレンジしていく馬場選手の姿勢に共感し、このたび、サポートさせていただくこととなりました。馬場選手の世界での挑戦を全力でサポートしてまいります。 (*)ベストアマチュア・ローアマチュアとは、プロゴルフのオープン競技において、参加したアマチュア選手の中で最も成績が上位の選手のこと。  JALは今後も、世界の舞台で挑戦する若手スポーツ選手を応援してまいります。  選手プロフィール 名前　　：馬場 咲希（ばば さき） 生年月日：2005年4月25日（17歳） 出身地　：東京都日野市出身 馬場 咲希選手コメント 「このたび、JALさんからサポートしていただくことになりました。2023年は海外で4つのメジャーに挑戦できるので、JALの翼を利用して、世界各地で戦い抜きたいです。これからも頑張りますので、応援よろしくお願いいたします。」   この画像の著作権その他の知的財産権については、当社またはその提供者が権利を有します。個人的使用または非営利目的の場合のみダウンロードして使用いただけます。但し、報道目的の場合はこの限りではありません。,23/01/16,"2,586.0","2,580.0",1,1,-0.166
23/01/17,～2025年より米国西海岸発の定期便に搭載します～ ～2025年より米国西海岸発の定期便に搭載します～ JALグループは、2050年のCO2排出量実質ゼロに向けて、省燃費機材への更新、運航の工夫、SAF（Sustainable Aviation Fuel：持続可能な代替航空燃料）の活用を掲げておりますが、その一環として、都市ごみなどの廃棄物から再生可能燃料の製造を目指すRaven SR Inc.（本社：米国ワイオミング州、以下「レイヴェン」）（*）、ならびにレイヴェンの出資社である伊藤忠商事株式会社（本社：東京都港区、以下「伊藤忠商事」）と、SAFの調達に関する覚書を締結し、2025年から米国カリフォルニア州においてSAFを調達する予定です。  今回のレイヴェンおよび伊藤忠商事との基本合意は、JALが「2021-2025年度JALグループ中期経営計画のローリングプラン」で掲げるSAFの利用目標（2025年度に全燃料搭載量の1%、2030年度に10%）の達成につながるものです。JALは、米国西海岸において、「2024年度にAemetis社から獣脂を原料としたSAF」を、「2026年度にGevo社から非食用トウモロコシを原料としたSAF」を、ワンワールド アライアンスメンバーと共同調達する予定ですが、SAFの供給量が不足している現状においては、さまざまな原料から製造されたSAFの必要性を示すことでSAFの普及・市場拡大に貢献し、航空のカーボンニュートラルを促進します。 今後も、海外におけるSAFの調達を加速させるとともに、国内においては「ACT FOR SKYの活動」を通じて業界の垣根を超えたオールジャパン体制で国産SAFの商用化および普及・拡大に取り組んでまいります。 以上  （*） Raven SR Inc.（レイヴェン）社： 2018年に米国ワイオミング州に設立。都市ごみなどの廃棄物から高品質でクリーンな水素や再生可能燃料を製造し、温室効果ガス・汚染・気候変動の原因となる膨大な量の廃棄物を削減することをミッションとする。2024年初めには米国カリフォルニア州にて廃棄物からモビリティ向けの再生可能水素の製造を開始し、その後2025年よりSAFや再生可能ディーゼルの製造に拡大する予定で、2034年には欧米で年間20万トン規模のSAFを製造する計画。 URL ： https://ravensr.com/  この画像の著作権その他の知的財産権については、当社またはその提供者が権利を有します。個人的使用または非営利目的の場合のみダウンロードして使用いただけます。但し、報道目的の場合はこの限りではありません。,23/01/17,"2,590.0","2,566.0",1,2,2.1666
23/01/17,～観光需要に対応するため、沖縄を中心に大型機材の活用とネットワークを拡充します～ ～観光需要に対応するため、沖縄を中心に大型機材の活用とネットワークを拡充します～ JALグループは、2023年度国内線の基本便数計画を決定しました。 【トピックス】 ■ 2002年8月に運航を開始したボーイング777-200ER型機が、2023年度上期中（*1）に退役します。 これにより1996年4月～2021年3月に運航したボーイング777-200型機を含め、27年間にわたり活躍してきた当社のボーイング777-200/-200ER型機は全機退役となります。 今後は省燃費かつ低騒音の国内線フラッグシップ機材であるエアバスA350-900型機の運航を通して環境負荷低減に貢献し、JALグループとしての目標である「2050年までにCO2排出量実質ゼロ」の達成に向けて確実に歩んでまいります。 ■ 東京（羽田）発着路線について、東京（羽田）=沖縄（那覇）線、夏季繁忙期は東京（羽田）=石垣線を　増便します。 ■ 大阪（伊丹）発着路線について、大阪（伊丹）=青森線、福岡線、夏季繁忙期は大阪（伊丹）=札幌 　　（新千歳）線を増便します。 ■ 北海道エアシステム（HAC）では、4号機目となるATR42-600型機の導入を決定しました。今後当該機材を活用し、北海道内発着路線の拡充と利便性向上に努めてまいります。新機材の路線投入は10月中を予定しています。（*2） ■ 日本トランスオーシャン航空（JTA）の大阪（関西）=宮古線について、これまで実施していた季節運航から、通年運航となります。また羽田=小松、岡山線の一部の便において、JALとの共同引受による運航（便名はJAL便名）を開始します。(*3) ■ 琉球エアーコミューター（RAC）について、石垣=与那国線、夏季繁忙期は沖縄（那覇）=与論線を増便　　します。(*3) ■ ジェイエア（J-AIR）では2022年12月26日よりエンブラエル190（E190）型機においてインターネットサービスを開始しました。今後、改修作業を順次進めていき、サービスの拡充を図ると共に、お客さまの利便性向上に努めてまいります。（*4） ■ 2022年度冬期より開始した、消費燃料削減のための取り組みである一部便での運航時間延伸も継続　して実施してまいります。 JALグループは、お客さまの利便性を高めるとともに、今後も空港・機内においてお客さまと共に常に衛生的で清潔な環境を作り、安全・安心な空の旅を提供してまいります。 (*1) 詳しい退役時期、最終フライトの予定などは決まり次第、改めてお知らせいたします。 (*2) 2023年1月17日付HACプレスリリース「HAC、ATR42-600型機 4機目の導入を決定」 参照URL：https://press.jal.co.jp/ja/areanews/release/202301/007169.html (*3) 2023年1月17日付JTAプレスリリース「JTA・RAC、2023年度基本便数計画を決定」 参照URL：https://jta-okinawa.com/ pressrelease/22049/ (*4) 2022年12月23日付プレスリリース第22090号「エンブラエル190型機での機内インターネットサービスの提供を順次開始」 参照URL：https://press.jal.co.jp/ja/release/202212/007142.html ※以下の計画とスケジュールは関係当局への申請と認可を前提としております。 なお、以下に記載のない季節毎の増減便、季節運航便につきましては、JAL時刻表またはJAL Webサイトをご確認ください。  この画像の著作権その他の知的財産権については、当社またはその提供者が権利を有します。個人的使用または非営利目的の場合のみダウンロードして使用いただけます。但し、報道目的の場合はこの限りではありません。,23/01/17,"2,590.0","2,566.0",1,2,2.1666
