newsDate,content,id,stockDate,start,end,flag,nikkeiFlag,predictScore
23/01/31,"エレクトロニクスメディア・情報ライフサイエンス検査計測エネルギー決算短信(2023年5月)決算説明会資料(2023年5月)決算説明会説明文（ノート）(2023年5月)決算説明会/追加関連Q&A(5/11、5/29)有価証券報告書(2023年6月)SCREENNOW（株主通信）(2023年6月)アニュアルレポート2023（統合報告書）(2023年9月)ファクトブック2023(2023年9月)決算短信(2023年1月)決算説明会資料(2023年1月)決算説明会説明文（ノート）(2023年2月)決算説明会/追加関連Q&A(2/1、2/21)四半期報告書(2023年2月)決算短信(2022年10月)決算説明会資料(2022年10月)決算説明会説明文（ノート）(2022年11月)決算説明会/追加関連Q&A(10/31、11/25)四半期報告書(2022年11月)決算短信(2022年7月)決算説明会資料(2022年7月)決算説明会説明文（ノート）(2022年8月)決算説明会/追加関連Q&A(7/28、9/9)四半期報告書(2022年8月)2023年3月期IRデイ資料(2022年9月22日)2023年3月期IRデイQ&A(2022年9月26日)※記載の年月は発行月を表しています。株主・投資家情報Copyright©2023SCREENHoldingsCo.,Ltd.AllRightsReserved.",c2c9c4243c6bd4060e182b4a8090c127ba76f8e6bb033219ba5216643b7fba82,23/01/31,4820.0,4785.0,1,1,3.6666
23/01/31,"エレクトロニクスメディア・情報ライフサイエンス検査計測エネルギー決算短信(2023年5月)決算説明会資料(2023年5月)決算説明会説明文（ノート）(2023年5月)決算説明会/追加関連Q&A(5/11、5/29)有価証券報告書(2023年6月)SCREENNOW（株主通信）(2023年6月)アニュアルレポート2023（統合報告書）(2023年9月)ファクトブック2023(2023年9月)決算短信(2023年1月)決算説明会資料(2023年1月)決算説明会説明文（ノート）(2023年2月)決算説明会/追加関連Q&A(2/1、2/21)四半期報告書(2023年2月)決算短信(2022年10月)決算説明会資料(2022年10月)決算説明会説明文（ノート）(2022年11月)決算説明会/追加関連Q&A(10/31、11/25)四半期報告書(2022年11月)決算短信(2022年7月)決算説明会資料(2022年7月)決算説明会説明文（ノート）(2022年8月)決算説明会/追加関連Q&A(7/28、9/9)四半期報告書(2022年8月)2023年3月期IRデイ資料(2022年9月22日)2023年3月期IRデイQ&A(2022年9月26日)※記載の年月は発行月を表しています。株主・投資家情報Copyright©2023SCREENHoldingsCo.,Ltd.AllRightsReserved.",c2c9c4243c6bd4060e182b4a8090c127ba76f8e6bb033219ba5216643b7fba82,23/01/31,4820.0,4785.0,1,1,3.6666
23/02/01,"エレクトロニクスメディア・情報ライフサイエンス検査計測エネルギー決算短信(2023年5月)決算説明会資料(2023年5月)決算説明会説明文（ノート）(2023年5月)決算説明会/追加関連Q&A(5/11、5/29)有価証券報告書(2023年6月)SCREENNOW（株主通信）(2023年6月)アニュアルレポート2023（統合報告書）(2023年9月)ファクトブック2023(2023年9月)決算短信(2023年1月)決算説明会資料(2023年1月)決算説明会説明文（ノート）(2023年2月)決算説明会/追加関連Q&A(2/1、2/21)四半期報告書(2023年2月)決算短信(2022年10月)決算説明会資料(2022年10月)決算説明会説明文（ノート）(2022年11月)決算説明会/追加関連Q&A(10/31、11/25)四半期報告書(2022年11月)決算短信(2022年7月)決算説明会資料(2022年7月)決算説明会説明文（ノート）(2022年8月)決算説明会/追加関連Q&A(7/28、9/9)四半期報告書(2022年8月)2023年3月期IRデイ資料(2022年9月22日)2023年3月期IRデイQ&A(2022年9月26日)※記載の年月は発行月を表しています。株主・投資家情報Copyright©2023SCREENHoldingsCo.,Ltd.AllRightsReserved.",8824e68a06d364fadacf8179898e1597bf2f84abd0a08a60f0dbd860cd3b8875,23/02/01,4935.0,5030.0,2,1,1.1666
23/02/01,"エレクトロニクスメディア・情報ライフサイエンス検査計測エネルギー決算短信(2023年5月)決算説明会資料(2023年5月)決算説明会説明文（ノート）(2023年5月)決算説明会/追加関連Q&A(5/11、5/29)有価証券報告書(2023年6月)SCREENNOW（株主通信）(2023年6月)アニュアルレポート2023（統合報告書）(2023年9月)ファクトブック2023(2023年9月)決算短信(2023年1月)決算説明会資料(2023年1月)決算説明会説明文（ノート）(2023年2月)決算説明会/追加関連Q&A(2/1、2/21)四半期報告書(2023年2月)決算短信(2022年10月)決算説明会資料(2022年10月)決算説明会説明文（ノート）(2022年11月)決算説明会/追加関連Q&A(10/31、11/25)四半期報告書(2022年11月)決算短信(2022年7月)決算説明会資料(2022年7月)決算説明会説明文（ノート）(2022年8月)決算説明会/追加関連Q&A(7/28、9/9)四半期報告書(2022年8月)2023年3月期IRデイ資料(2022年9月22日)2023年3月期IRデイQ&A(2022年9月26日)※記載の年月は発行月を表しています。株主・投資家情報Copyright©2023SCREENHoldingsCo.,Ltd.AllRightsReserved.",8824e68a06d364fadacf8179898e1597bf2f84abd0a08a60f0dbd860cd3b8875,23/02/01,4935.0,5030.0,2,1,1.1666
23/02/02,"エレクトロニクスメディア・情報ライフサイエンス検査計測エネルギー決算短信(2023年5月)決算説明会資料(2023年5月)決算説明会説明文（ノート）(2023年5月)決算説明会/追加関連Q&A(5/11、5/29)有価証券報告書(2023年6月)SCREENNOW（株主通信）(2023年6月)アニュアルレポート2023（統合報告書）(2023年9月)ファクトブック2023(2023年9月)決算短信(2023年1月)決算説明会資料(2023年1月)決算説明会説明文（ノート）(2023年2月)決算説明会/追加関連Q&A(2/1、2/21)四半期報告書(2023年2月)決算短信(2022年10月)決算説明会資料(2022年10月)決算説明会説明文（ノート）(2022年11月)決算説明会/追加関連Q&A(10/31、11/25)四半期報告書(2022年11月)決算短信(2022年7月)決算説明会資料(2022年7月)決算説明会説明文（ノート）(2022年8月)決算説明会/追加関連Q&A(7/28、9/9)四半期報告書(2022年8月)2023年3月期IRデイ資料(2022年9月22日)2023年3月期IRデイQ&A(2022年9月26日)※記載の年月は発行月を表しています。株主・投資家情報Copyright©2023SCREENHoldingsCo.,Ltd.AllRightsReserved.",1c9849c8cc0d48cf8c1c128ca7b6ccc34e37c7151b8be00cc4fc445290c4b78d,23/02/02,5120.0,5205.0,2,1,3.8333
23/02/13,"エレクトロニクスメディア・情報ライフサイエンス検査計測エネルギー決算短信(2023年5月)決算説明会資料(2023年5月)決算説明会説明文（ノート）(2023年5月)決算説明会/追加関連Q&A(5/11、5/29)有価証券報告書(2023年6月)SCREENNOW（株主通信）(2023年6月)アニュアルレポート2023（統合報告書）(2023年9月)ファクトブック2023(2023年9月)決算短信(2023年1月)決算説明会資料(2023年1月)決算説明会説明文（ノート）(2023年2月)決算説明会/追加関連Q&A(2/1、2/21)四半期報告書(2023年2月)決算短信(2022年10月)決算説明会資料(2022年10月)決算説明会説明文（ノート）(2022年11月)決算説明会/追加関連Q&A(10/31、11/25)四半期報告書(2022年11月)決算短信(2022年7月)決算説明会資料(2022年7月)決算説明会説明文（ノート）(2022年8月)決算説明会/追加関連Q&A(7/28、9/9)四半期報告書(2022年8月)2023年3月期IRデイ資料(2022年9月22日)2023年3月期IRデイQ&A(2022年9月26日)※記載の年月は発行月を表しています。株主・投資家情報Copyright©2023SCREENHoldingsCo.,Ltd.AllRightsReserved.",29ca172c3e5bebcbf3f939a06059bd1c31be7b2a1cb531714f3b80a6fc7a3b86,23/02/13,5205.0,5145.0,1,1,1.6666
23/02/21,"エレクトロニクスメディア・情報ライフサイエンス検査計測エネルギー決算短信(2023年5月)決算説明会資料(2023年5月)決算説明会説明文（ノート）(2023年5月)決算説明会/追加関連Q&A(5/11、5/29)有価証券報告書(2023年6月)SCREENNOW（株主通信）(2023年6月)アニュアルレポート2023（統合報告書）(2023年9月)ファクトブック2023(2023年9月)決算短信(2023年1月)決算説明会資料(2023年1月)決算説明会説明文（ノート）(2023年2月)決算説明会/追加関連Q&A(2/1、2/21)四半期報告書(2023年2月)決算短信(2022年10月)決算説明会資料(2022年10月)決算説明会説明文（ノート）(2022年11月)決算説明会/追加関連Q&A(10/31、11/25)四半期報告書(2022年11月)決算短信(2022年7月)決算説明会資料(2022年7月)決算説明会説明文（ノート）(2022年8月)決算説明会/追加関連Q&A(7/28、9/9)四半期報告書(2022年8月)2023年3月期IRデイ資料(2022年9月22日)2023年3月期IRデイQ&A(2022年9月26日)※記載の年月は発行月を表しています。株主・投資家情報Copyright©2023SCREENHoldingsCo.,Ltd.AllRightsReserved.",fc6cc421524cce970449579be033ce47b5ebffea4a67b3466dfc3b8734974fc3,23/02/21,5195.0,5180.0,1,1,-1.333
23/02/22,"エレクトロニクスメディア・情報ライフサイエンス検査計測エネルギー株式会社SCREENホールディングスは、GPIF（年金積立金管理運用独立行政法人）の国内株式の運用を委託している運用機関が選ぶ「優れた統合報告書」に初めて選出されました。「優れた統合報告書」は、各運用機関が最大10社を選定する仕組みとなっており、当社を含む延べ67社が選出されています。当社は、今後も「アニュアルレポート（統合報告書）」の一層の改善に努め、株主・投資家をはじめとするステークホルダーの皆さまとの対話ツールとして、有益な財務・非財務情報を発信してまいります。■参考 SCREENグループ「アニュアルレポート2022（統合報告書）」（2022年３月期）■参考 GPIFの国内株式運用機関が選ぶ「優れた統合報告書」と「改善度の高い統合報告書」株式会社SCREENホールディングス　広報･IR室IR部Tel:075-414-7233Fax:075-414-7231URL:www.screen.co.jp/contact/ir掲載されている情報は発表時のものです。最新情報と異なる場合がありますのでご了承ください。株主・投資家情報Copyright©2023SCREENHoldingsCo.,Ltd.AllRightsReserved.",69e0696aa5d8370f4818c64c5fce164e89b8ffd63b95acf9de08996397532e93,23/02/22,5085.0,5115.0,2,1,3.0
23/03/24,"エレクトロニクスメディア・情報ライフサイエンス検査計測エネルギー※予定につきましては、変更となる可能性があります。個人投資家向け会社説明会場所：三菱UFJモルガン・スタンレー証券　吉祥寺支店個人投資家向け会社説明会場所：三菱UFJモルガン・スタンレー証券　京都支店個人投資家向け会社説明会場所：SMBC日興証券　奈良支店2019年3月期第2四半期決算発表および証券アナリスト、機関投資家向け決算説明会決算短信、説明会資料はこちら個人投資家向け会社説明会場所：大和証券京都支店個人投資家向け会社説明会場所：三菱UFJモルガン・スタンレー証券　堺東支店個人投資家向け会社説明会場所：野村證券富山支店個人投資家向け会社説明会場所：野村證券金沢支店2019年3月期第1四半期決算発表および証券アナリスト、機関投資家向け決算説明会決算短信、説明会資料はこちら第77回定時株主総会2018年3月期決算発表および証券アナリスト、機関投資家向け決算説明会決算短信、説明会資料はこちら2018年3月期第3四半期決算発表および証券アナリスト、機関投資家向け決算説明会決算短信、説明会資料はこちら個人投資家向け会社説明会場所：みずほ証券　本店営業第二部2018年3月期第2四半期決算発表および証券アナリスト、機関投資家向け決算説明会決算短信、説明会資料はこちら2018年3月期第1四半期決算発表および証券アナリスト、機関投資家向け決算説明会決算短信、説明会資料はこちら第76回定時株主総会2017年3月期決算発表および証券アナリスト、機関投資家向け決算説明会決算短信、説明会資料はこちら2017年3月期第3四半期決算発表および証券アナリスト、機関投資家向け決算説明会決算短信、説明会資料はこちら2017年3月期第2四半期決算発表および証券アナリスト、機関投資家向け決算説明会決算短信、説明会資料はこちら2017年3月期第1四半期決算発表および証券アナリスト、機関投資家向け決算説明会決算短信、説明会資料はこちら第75回定時株主総会2016年3月期決算発表および証券アナリスト、機関投資家向け決算説明会決算短信、説明会資料はこちら個人投資家向け会社説明会場所：大和証券　自由が丘支店個人投資家向け会社説明会場所：野村證券　京都支店2016年3月期第3四半期決算発表および証券アナリスト、機関投資家向け決算説明会決算短信、説明会資料はこちら個人投資家向け会社説明会場所：大和証券　奈良支店個人投資家向け会社説明会場所：SMBC日興証券　大津支店2016年3月期第2四半期決算発表および証券アナリスト、機関投資家向け決算説明会決算短信、説明会資料はこちら個人投資家向け会社説明会場所：大和証券　京都支店個人投資家向け会社説明会場所：野村證券　福島支店、仙台支店2016年3月期第1四半期決算発表および証券アナリスト、機関投資家向け決算説明会決算短信、説明会資料はこちら個人投資家向け会社説明会場所：SMBC日興証券　吉祥寺支店第74回定時株主総会個人投資家向け会社説明会場所：三菱UFJモルガン・スタンレー証券「名古屋投資セミナー」2015年3月期決算発表および証券アナリスト、機関投資家向け決算説明会決算短信、説明会資料はこちら個人投資家向け会社説明会場所：野村證券　岐阜支店、名古屋駅前支店個人投資家向け会社説明会場所：野村證券　京都支店個人投資家向け会社説明会場所：大和証券　上野支店個人投資家向け会社説明会場所:SMBC日興証券　堺支店個人投資家向け会社説明会場所:大和証券　彦根支店2015年3月期第3四半期決算発表および証券アナリスト、機関投資家向け決算説明会決算短信、説明会資料はこちら2015年3月期第2四半期決算発表および証券アナリスト、機関投資家向け説明会決算短信、説明会資料はこちら個人投資家向け会社説明会場所:大和証券　京都支店2015年3月期第1四半期決算発表および証券アナリスト、機関投資家向け説明会決算短信、説明会資料はこちら第73回定時株主総会2014年3月期、決算発表および証券アナリスト、機関投資家向け説明会決算短信、説明会資料はこちら2014年3月期第3四半期決算発表および証券アナリスト、機関投資家向け決算説明会決算短信、説明会資料はこちら2014年3月期第2四半期決算発表および証券アナリスト、機関投資家向け説明会決算短信、説明会資料はこちら個人投資家向け会社説明会場所：三菱UFJモルガン・スタンレー証券　堺東支店個人投資家向け会社説明会場所：大和証券　渋谷支店個人投資家向け会社説明会場所：SMBC日興証券　西宮支店個人投資家向け会社説明会場所：SMBC日興証券　芦屋支店個人投資家向け会社説明会場所：野村證券　京都支店個人投資家向け会社説明会場所：SMBC日興証券　虎ノ門支店2014年3月期第1四半期決算発表および証券アナリスト、機関投資家向け説明会決算短信、説明会資料はこちら個人投資家向け会社説明会場所：大和証券　京都支店第72回定時株主総会2013年3月期証券アナリスト、機関投資家向け決算説明会説明会資料はこちら2013年3月期決算発表決算短信はこちら2013年3月期第3四半期決算発表および証券アナリスト、機関投資家向け説明会決算短信、説明会資料はこちら個人投資家向け会社説明会場所：野村證券　名古屋支店個人投資家向け会社説明会場所：野村證券　岐阜支店2013年3月期第2四半期決算発表および証券アナリスト、機関投資家向け決算説明会決算短信、説明会資料はこちら個人投資家向け会社説明会場所：大和証券名古屋支店2013年3月期第1四半期決算発表および証券アナリスト、機関投資家向け決算説明会決算短信、説明会資料はこちら個人投資家向け会社説明会場所：大和証券　新宿支店第71回定時株主総会2012年3月期証券アナリスト、機関投資家向け決算説明会決算短信、説明会資料はこちら2012年3月期決算発表決算短信はこちら個人投資家向け会社説明会場所：大和証券　神戸支店個人投資家向け会社説明会場所：三菱UFJモルガン･スタンレー証券　京都支店個人投資家向け会社説明会場所：野村證券　京都支店2012年3月期第3四半期決算発表および証券アナリスト、機関投資家向け決算説明会決算短信、説明会資料はこちら個人投資家向け会社説明会・事業所見学会場所：当社　彦根地区事業所2012年3月期第2四半期証券アナリスト、機関投資家向け決算説明会説明会資料はこちら2012年3月期第2四半期決算発表決算短信はこちら2012年3月期第1四半期決算発表および証券アナリスト、機関投資家向け決算説明会決算短信、説明会資料はこちら個人投資家向け会社説明会場所：SMBC日興コーディアル証券　八重洲支店／池袋支店2011年3月期証券アナリスト、機関投資家向け決算説明会説明会資料はこちら2011年3月期決算発表決算短信はこちら個人投資家向け会社説明会場所：日興コーディアル証券　上野支店／自由が丘支店2011年3月期第3四半期決算発表および証券アナリスト、機関投資家向け決算説明会決算短信、説明会資料はこちら個人投資家向け会社説明会場所：大和証券　京都支店2011年3月期第2四半期証券アナリスト、機関投資家向け決算説明会説明会資料はこちら2011年3月期第2四半期決算発表決算短信はこちら個人投資家向け会社説明会場所：大和証券　大阪支店2011年3月期第1四半期決算発表および証券アナリスト、機関投資家向け決算説明会決算短信、説明会資料はこちら個人投資家向け会社説明会場所：日興コーディアル証券　京都支店2010年3月期証券アナリスト、機関投資家向け決算説明会説明会資料はこちら2010年3月期決算発表決算短信はこちら個人投資家向け会社説明会場所：　三菱UFJ証券　大阪支店2010年3月期第3四半期決算発表および証券アナリスト、機関投資家向け決算説明会決算短信、説明会資料はこちら株主・投資家情報Copyright©2023SCREENHoldingsCo.,Ltd.AllRightsReserved.",937232b3ff7b688208f1d48a2234f5cd2046cd08cb54b9b047266ef82f92f0f4,23/03/24,5785.0,5820.0,2,2,-1.166
23/03/24,2023年3月24日各 位会 社名 株式会社 SCREENホールディングス代表者名 取締役社長 廣江 敏朗(コード番号7735 東証プライム市場)問合せ先 広報・IR室長 乙部 千穂TEL (075) 414 – 7131代表取締役の異動に関するお知らせ当社は、本日開催の取締役会において、下記のとおり、代表取締役を異動することについて決議いたしましたので、お知らせいたします。なお、本件につきましては、2023年6月23日に開催予定の第82回定時株主総会および同株主総会終了後の取締役会において、正式に決定する予定です。記１．異動の理由現代表取締役会長の垣内永次は、2014年4月の代表取締役就任以降、当社グループを牽引し経営基盤を強化してまいりました。当社が遂行中の中期経営計画Value Up 2023を完遂させ、更なる成長戦略を実現すべく、この度、現専務取締役の近藤洋一を代表取締役に選任することといたしました。垣内永次は、取締役会長として引き続き経営に関与するとともに、ガバナンス強化、産学公・地域連携、社会貢献活動にも一層力を入れてまいります。また、近藤洋一は、最高財務責任者（CFO）の職を継続いたします。２．異動の内容（2023年6月23日予定）氏名 新資格・新職 現資格・現職垣内 永次 取締役会長 代表取締役 取締役会長（かきうち えいじ）近藤 洋一 代表取締役 専務取締役 専務取締役（こんどう よういち） 最高財務責任者（CFO） 最高財務責任者（CFO）広報・IR担当 広報・IR担当３．新任代表取締役の略歴所有株数略歴（千株）近藤 洋一 1982年 3月 国際基督教大学 教養学部 社会科学科 卒業 41958年9月25日生 1982年 4月 株式会社東京銀行（現 株式会社三菱ＵＦＪ銀行）（出身地：宮崎県） 入行2010年 6月 株式会社三菱東京ＵＦＪ銀行（現 株式会社三菱ＵＦＪ銀行） 執行役員2013年 6月 当社入社 上席執行役員2014年 4月 当社管理本部長2014年 6月 当社常務取締役当社最高財務責任者（ＣＦＯ）〈現在〉2021年 4月 当社専務取締役〈現在〉当社広報・IR担当〈現在〉以 上,405633bf3af639a61223c0a9390cabc37b2a14e5f28dc5d6921bc12f0cef8d66,23/03/24,5785.0,5820.0,2,2,-1.166
